ITEM: TIMESTEP
400
ITEM: NUMBER OF CELLS
59460
ITEM: BOX BOUNDS oo ro pp
-0.002 0.012857
0 0.002
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
0.000488547 1.2963e-05 3.12982e+25 -0.594878 3.92614 245.324 
0.000488547 1.66667e-05 3.12256e+25 -0.223989 1.07408 245.801 
0.000488547 2.03704e-05 3.06301e+25 18.0144 4.18199 256.67 
0.000562832 1.2963e-05 2.71009e+25 -1.52939 -4.12964 260.776 
0.000562832 1.66667e-05 2.75802e+25 5.72865 -2.3262 258.549 
0.000562832 2.03704e-05 2.61569e+25 12.8152 -5.51563 256.375 
0.000637117 1.2963e-05 2.79432e+25 29.6648 -3.24848 258.729 
0.000637117 1.66667e-05 2.94827e+25 55.1442 0.629399 253.986 
0.000637117 2.03704e-05 2.75802e+25 44.0065 -7.33627 261.476 
0.000414262 2.40741e-05 2.29472e+25 46.6616 2.45942 272.818 
0.000414262 2.77778e-05 2.42688e+25 29.3254 -1.63999 277.557 
0.000414262 3.14815e-05 2.33683e+25 13.1789 0.195259 288.262 
0.000488547 2.40741e-05 2.84661e+25 37.6829 0.621888 259.901 
0.000488547 2.77778e-05 2.76092e+25 21.2122 5.51655 278.985 
0.000488547 3.14815e-05 2.85823e+25 13.2378 5.15008 276.659 
0.000562832 2.40741e-05 2.67087e+25 8.23296 -1.22035 260.179 
0.000562832 2.77778e-05 2.70428e+25 29.9872 -5.15589 264.488 
0.000562832 3.14815e-05 2.69702e+25 34.4722 -4.33177 264.73 
0.000637117 2.40741e-05 2.65054e+25 30.5245 -5.77082 258.726 
0.000637117 2.77778e-05 2.86985e+25 30.3038 -6.95761 254.463 
0.000637117 3.14815e-05 2.81756e+25 37.0666 -12.0491 260.855 
0.000414262 3.51852e-05 2.3441e+25 38.529 -3.8632 272.465 
0.000414262 3.88889e-05 2.53435e+25 79.6434 0.246348 278.293 
0.000414262 4.25926e-05 2.61714e+25 56.9699 0.271487 263.252 
0.000488547 3.51852e-05 2.63892e+25 34.634 -2.89566 278.62 
0.000488547 3.88889e-05 2.69556e+25 25.6266 3.31972 265.573 
0.000488547 4.25926e-05 2.72752e+25 37.0556 9.05222 291.805 
0.000562832 3.51852e-05 2.52128e+25 37.9921 -10.1765 277.578 
0.000562832 3.88889e-05 2.58083e+25 12.4588 -5.70557 288.586 
0.000562832 4.25926e-05 2.5939e+25 23.6596 -9.75478 272.525 
0.000637117 3.51852e-05 2.74494e+25 40.3782 -0.911324 255.918 
