ITEM: TIMESTEP
600
ITEM: NUMBER OF CELLS
59460
ITEM: BOX BOUNDS oo ro pp
-0.002 0.012857
0 0.002
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-0.00185143 3.33333e-05 1.22037e+25 -107.901 1.27402 179.91 
-0.000774298 1.85185e-06 1.86918e+25 5.09244 0.0946113 256.782 
-0.000774298 5.55556e-06 1.76098e+25 -8.914 1.72239 250.65 
-0.000774298 9.25926e-06 1.84449e+25 -21.9805 0.921502 257.13 
-0.000700013 1.85185e-06 1.90331e+25 -2.26677 -2.5844 257.173 
-0.000700013 5.55556e-06 1.94615e+25 -4.38214 0.31258 251.631 
-0.000700013 9.25926e-06 1.928e+25 -4.34924 -2.13906 250.673 
-0.000625727 1.85185e-06 2.13931e+25 28.5899 -1.47063 265.243 
-0.000625727 5.55556e-06 2.31795e+25 26.3995 0.340497 245.852 
-0.000625727 9.25926e-06 2.30488e+25 32.2881 -4.08152 239.951 
-0.000551442 1.85185e-06 2.34773e+25 41.6333 0.484378 258.492 
-0.000551442 5.55556e-06 2.22065e+25 48.1102 0.728783 259.767 
-0.000551442 9.25926e-06 2.3332e+25 54.8241 -0.489036 251.22 
-0.000774298 1.2963e-05 1.76896e+25 -16.9234 3.62569 245.87 
-0.000774298 1.66667e-05 1.9004e+25 -3.91778 1.01902 242.808 
-0.000774298 2.03704e-05 1.93671e+25 17.8488 5.09893 243.437 
-0.000700013 1.2963e-05 1.86264e+25 13.2678 -0.461767 251.095 
-0.000700013 1.66667e-05 1.96648e+25 25.2095 -2.98566 241.38 
-0.000700013 2.03704e-05 2.02966e+25 22.3776 -1.87087 246.824 
-0.000625727 1.2963e-05 2.38113e+25 39.5703 -6.52843 241.148 
-0.000625727 1.66667e-05 2.31505e+25 39.4119 -5.57625 232.663 
-0.000625727 2.03704e-05 2.3441e+25 55.9532 -5.71967 236.818 
-0.000551442 1.2963e-05 2.40655e+25 57.5703 1.41756 244.514 
-0.000551442 1.66667e-05 2.33756e+25 54.5292 -0.140741 257.045 
-0.000551442 2.03704e-05 2.29472e+25 60.204 -0.0124045 259.288 
-0.000774298 2.40741e-05 1.87208e+25 22.2575 4.50172 243.203 
-0.000774298 2.77778e-05 1.87716e+25 8.07737 6.61528 248.161 
-0.000774298 3.14815e-05 2.01732e+25 11.5285 5.87296 232.915 
-0.000700013 2.40741e-05 2.18869e+25 24.3384 -2.18743 237.591 
-0.000700013 2.77778e-05 2.06016e+25 25.5176 -5.85555 242.93 
-0.000700013 3.14815e-05 2.15239e+25 43.0291 -3.35487 237.071 
-0.000625727 2.40741e-05 2.21774e+25 49.3554 -6.97892 246.319 
