ITEM: TIMESTEP
300000
ITEM: NUMBER OF CELLS
300
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_2[1] f_2[2] f_2[3] 
1 8.257e-09 163.186 -43.5656 -3.92419 
5 7.4313e-08 158.575 -33.8926 -9.03859 
9 1.40369e-07 159.887 1.70976 -11.1242 
13 2.06425e-07 145.449 43.3054 3.36441 
17 2.72481e-07 161.822 22.552 -3.87091 
21 3.38537e-07 174.854 1.50416 5.54372 
25 4.04593e-07 144.975 38.2805 6.46554 
29 4.70649e-07 149.05 64.6511 -2.39995 
33 5.36705e-07 160.979 23.9486 -7.4813 
37 6.02761e-07 165.375 22.6718 7.98182 
41 6.68817e-07 160.339 -8.5363 14.0926 
45 7.34873e-07 185.839 27.2328 18.7229 
49 8.00929e-07 159.836 -15.6926 -7.53118 
53 8.66985e-07 158.009 9.31025 4.04995 
57 9.33041e-07 152.331 2.03254 13.518 
61 9.99097e-07 166.802 -47.4956 14.4711 
65 1.06515e-06 160.483 16.7635 6.31244 
69 1.13121e-06 160.951 -10.6571 24.5479 
73 1.19727e-06 153.113 -11.6842 -1.60115 
2 2.4771e-08 146.225 -6.78998 14.1219 
6 9.0827e-08 154.958 -7.61879 -11.3902 
10 1.56883e-07 150.051 -36.5198 4.39196 
14 2.22939e-07 155.817 36.1379 6.05216 
18 2.88995e-07 157.844 -20.1586 -3.97583 
22 3.55051e-07 169.97 16.6532 13.2511 
26 4.21107e-07 164.246 74.3529 6.17819 
30 4.87163e-07 168.998 -13.994 19.2801 
34 5.53219e-07 158.247 45.6747 -14.8783 
38 6.19275e-07 148.737 -51.2348 -15.3554 
42 6.85331e-07 178.529 17.1247 9.79542 
46 7.51387e-07 141.165 29.8785 0.105561 
50 8.17443e-07 188.043 -26.3305 12.9734 
54 8.83499e-07 163.967 -45.9795 19.4765 
58 9.49555e-07 162.566 -40.3345 -10.5922 
62 1.01561e-06 179.626 -29.3129 11.0682 
66 1.08167e-06 170.321 -59.0923 15.8102 
70 1.14772e-06 156.338 -62.3939 21.4781 
74 1.21378e-06 152.447 -72.6071 6.64268 
3 4.1285e-08 150.453 9.84847 -20.5615 
7 1.07341e-07 153.625 35.6311 1.70965 
11 1.73397e-07 149.144 -20.672 -8.42429 
15 2.39453e-07 170.606 -15.7588 5.19358 
19 3.05509e-07 162.527 -73.7296 12.6785 
23 3.71565e-07 163.957 56.9533 -17.9367 
27 4.37621e-07 173.409 11.4981 6.22051 
31 5.03677e-07 144.864 66.8956 2.97501 
35 5.69733e-07 147.556 70.5505 0.608485 
39 6.35789e-07 157.656 21.8823 3.03593 
43 7.01845e-07 127.558 -37.1901 -3.48971 
47 7.67901e-07 189.028 -26.7237 -4.08169 
51 8.33957e-07 160.333 7.96658 3.83562 
55 9.00013e-07 177.438 -18.6249 19.9039 
59 9.66069e-07 144.653 -63.1436 -3.04635 
63 1.03212e-06 153.464 -9.11568 2.84404 
67 1.09818e-06 170.717 -74.8683 22.2249 
71 1.16424e-06 149.511 -61.0726 -15.2264 
75 1.23029e-06 162.034 -86.263 -10.0536 
4 5.7799e-08 164.459 -16.26 15.0477 
8 1.23855e-07 166.808 -11.129 -17.5514 
12 1.89911e-07 158.458 -7.57617 -3.58012 
16 2.55967e-07 153.777 57.2202 5.37963 
20 3.22023e-07 158.968 -22.8904 -8.772 
24 3.88079e-07 162.459 -3.52734 2.71571 
28 4.54135e-07 163.686 56.8403 31.6231 
32 5.20191e-07 170.11 55.2079 21.1922 
36 5.86247e-07 173.557 71.0439 13.524 
40 6.52303e-07 170.137 77.0021 4.09619 
44 7.18359e-07 152.018 -3.18497 -11.5913 
48 7.84415e-07 165.32 -39.5422 -3.66694 
52 8.50471e-07 164.198 -34.8392 3.28287 
56 9.16527e-07 167.343 3.65096 0.89129 
60 9.82583e-07 176.907 -101.262 2.40726 
64 1.04864e-06 164.723 26.1797 6.63006 
68 1.11469e-06 160.211 -22.3161 -29.585 
72 1.18075e-06 181.947 17.9055 6.73123 
78 1.27983e-06 159.343 -65.3314 -4.2006 
82 1.34589e-06 177.775 84.5557 14.3494 
86 1.41195e-06 154.648 81.2886 9.93946 
90 1.478e-06 157.795 52.3175 -9.57802 
94 1.54406e-06 175.971 45.1918 4.29191 
98 1.61011e-06 151.89 -6.91825 23.422 
102 1.67617e-06 151.557 45.8208 2.15322 
106 1.74223e-06 174.415 -76.1303 13.8047 
110 1.80828e-06 146.244 69.26 -6.85543 
114 1.87434e-06 155.785 30.5045 -18.9937 
118 1.94039e-06 142.052 19.068 3.02175 
122 2.00645e-06 171.706 57.8086 19.5936 
126 2.07251e-06 141.637 85.2816 4.77285 
130 2.13856e-06 164.529 -40.6863 18.6175 
134 2.20462e-06 158.824 -54.88 10.317 
138 2.27068e-06 145.599 -62.4674 10.3619 
142 2.33673e-06 166.273 13.4411 -9.67398 
146 2.40279e-06 164.115 70.2215 10.4412 
150 2.46884e-06 158.688 45.3508 9.30188 
77 1.26332e-06 159.09 -67.9373 9.03944 
81 1.32938e-06 160.853 -14.9885 -15.3579 
85 1.39543e-06 149.535 69.722 -7.37204 
89 1.46149e-06 156.732 1.55316 -0.182719 
93 1.52754e-06 160.424 34.6633 13.8976 
97 1.5936e-06 154.574 56.3188 0.688308 
101 1.65966e-06 161.685 51.2488 -6.8093 
105 1.72571e-06 162.756 16.9498 -3.42419 
109 1.79177e-06 148.988 -2.62332 11.2648 
113 1.85782e-06 177.136 45.0518 24.8613 
117 1.92388e-06 159.753 -43.7087 7.3863 
121 1.98994e-06 150.021 22.7609 12.1746 
125 2.05599e-06 169.464 30.5381 3.83397 
129 2.12205e-06 164.9 -61.0447 -1.59182 
133 2.1881e-06 147.277 15.6241 -22.7726 
137 2.25416e-06 144.251 -4.76328 8.95654 
141 2.32022e-06 174.997 -10.0189 19.111 
145 2.38627e-06 150.99 8.81135 19.1476 
149 2.45233e-06 158.508 70.9752 0.699357 
79 1.29635e-06 166.341 -73.2942 24.4249 
83 1.3624e-06 194.788 75.8217 -9.59576 
87 1.42846e-06 162.289 117.426 -3.8296 
91 1.49452e-06 164.381 36.1412 -6.58023 
95 1.56057e-06 161.214 20.6027 -0.0690028 
99 1.62663e-06 157.349 -20.0057 15.3207 
103 1.69269e-06 148.206 64.6434 8.13442 
107 1.75874e-06 163.506 -32.4306 -5.7288 
111 1.8248e-06 168.138 135.439 -4.48373 
115 1.89085e-06 149.649 5.58326 -7.78696 
119 1.95691e-06 175.59 -49.1795 -1.53503 
123 2.02297e-06 154.557 98.3663 7.79556 
127 2.08902e-06 161.534 31.2887 -0.377527 
131 2.15508e-06 161.644 -61.6651 -2.63327 
135 2.22113e-06 163.505 -65.4181 6.95514 
139 2.28719e-06 157.104 -88.4095 -11.6669 
143 2.35324e-06 166.152 30.6299 6.70117 
147 2.4193e-06 163.129 83.869 5.84555 
76 1.24681e-06 165.079 -67.4201 9.09528 
80 1.31286e-06 153.394 -29.9858 3.33684 
84 1.37892e-06 148.797 115.982 -5.65312 
88 1.44498e-06 180.942 -7.78021 5.95185 
92 1.51103e-06 178.397 15.5187 22.3662 
96 1.57709e-06 160.937 32.9353 -2.21948 
100 1.64314e-06 164.425 -29.9823 -5.64114 
104 1.7092e-06 153.386 28.3466 23.5277 
108 1.77525e-06 148.745 27.6429 20.0531 
112 1.84131e-06 149.803 59.6737 14.2196 
116 1.90737e-06 152.971 -10.9292 7.78187 
120 1.97342e-06 170.888 51.5083 10.6495 
124 2.03948e-06 147.871 115.786 9.9063 
128 2.10553e-06 157.938 -0.927666 3.47904 
132 2.17159e-06 162.715 -35.6644 25.9882 
136 2.23765e-06 174.764 0.160533 -6.24952 
140 2.3037e-06 148.629 -65.0605 4.12658 
144 2.36976e-06 191.009 35.3105 2.79925 
148 2.43581e-06 174.156 -13.5833 -6.61825 
151 2.48536e-06 154.103 22.8737 13.8607 
155 2.55141e-06 148.817 26.5056 9.37273 
159 2.61747e-06 155.417 43.1588 23.2872 
163 2.68352e-06 159.19 -31.4454 -2.51885 
167 2.74958e-06 165.66 8.18491 2.03437 
171 2.81564e-06 154.973 41.7572 -8.06369 
175 2.88169e-06 154.95 -8.80792 -14.4596 
179 2.94775e-06 149.683 -50.3612 -8.19354 
183 3.01381e-06 148.304 -13.7234 9.79374 
187 3.07986e-06 176.697 -7.26325 4.04366 
191 3.14592e-06 154.932 26.4552 9.72481 
195 3.21197e-06 158.147 -13.8599 -0.192191 
199 3.27803e-06 157.641 -34.7574 12.5224 
203 3.34408e-06 168.733 76.6301 13.7907 
207 3.41014e-06 149.052 -31.681 -4.38935 
211 3.4762e-06 176.007 26.4165 -6.24406 
215 3.54225e-06 158.181 7.88397 4.1521 
219 3.60831e-06 156.791 -40.8392 7.87921 
223 3.67437e-06 172.05 11.3342 3.90869 
153 2.51839e-06 145.18 -28.661 9.16544 
157 2.58444e-06 167.139 26.4886 15.1374 
