# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0.00828 0 0 0
2 0.00832 0 0 0
3 1729.27 101451 -568.068 244.785
4 1729.09 101451 567.898 -152.666
100000 4
1 0.00724 0 0 0
2 0.00728 0 0 0
3 1729.24 101458 -569.717 -89.9024
4 1729.18 101458 569.802 128.013
