ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.375 0.425 5.18675e+20 18.2638 -40.0043 272.166 
0.175 0.475 5.18701e+20 -5.40578 -55.6554 270.733 
0.375 0.475 5.18701e+20 7.16911 -45.3247 267.489 
0.075 0.525 5.18675e+20 8.70232 -27.6988 265.269 
0.275 0.525 5.18714e+20 -1.84438 -59.7775 272.578 
0.475 0.525 5.18701e+20 -8.11425 -10.1404 263.754 
0.075 0.575 5.18662e+20 24.2123 -26.3031 270.166 
0.275 0.575 5.18701e+20 -5.28868 -55.5848 274.129 
0.475 0.575 5.18688e+20 -27.6423 -8.23803 265.061 
0.075 0.625 5.18714e+20 39.4023 -19.8024 270.648 
0.275 0.625 5.18675e+20 -7.69113 -42.4567 276.962 
0.475 0.625 5.18688e+20 -40.5552 -7.55793 271.31 
0.075 0.675 5.18688e+20 49.0588 -11.5343 270.125 
0.275 0.675 5.18688e+20 -7.65328 -28.9163 280.128 
0.475 0.675 5.18688e+20 -54.4018 -6.00723 271.14 
0.075 0.725 5.18688e+20 53.313 -2.95133 275.903 
0.275 0.725 5.18688e+20 -10.296 -8.93185 284.505 
0.475 0.725 5.18688e+20 -59.4737 -2.41397 272.11 
0.075 0.775 5.18688e+20 54.1186 3.81459 276.193 
0.275 0.775 5.18688e+20 -11.0529 9.30848 282.333 
0.475 0.775 5.18688e+20 -58.5359 1.738 272.419 
0.075 0.825 5.18675e+20 49.5077 11.1685 272.503 
0.275 0.825 5.18688e+20 -7.34644 28.2536 279.067 
0.475 0.825 5.18701e+20 -54.6362 5.05863 272.467 
0.075 0.875 5.18701e+20 37.7235 20.7976 270.928 
0.275 0.875 5.18688e+20 -7.97944 45.2591 276.84 
0.475 0.875 5.18675e+20 -43.752 7.35288 269.095 
0.075 0.925 5.18688e+20 25.3428 23.6667 268.064 
0.275 0.925 5.18701e+20 -2.06249 54.2399 272.717 
0.475 0.925 5.18701e+20 -27.546 10.0606 265.637 
0.075 0.975 5.18701e+20 8.21839 26.6763 265.159 
0.275 0.975 5.18688e+20 -2.49685 58.6908 275.242 
0.475 0.975 5.18675e+20 -11.594 7.39648 261.617 
0.025 0.525 5.18675e+20 10.4269 -10.6986 266.525 
0.225 0.525 5.18662e+20 1.12409 -56.7519 272.481 
0.425 0.525 5.18662e+20 -7.14196 -28.2313 267.479 
0.025 0.575 5.18675e+20 25.1266 -8.30374 265.531 
0.225 0.575 5.18701e+20 5.07897 -54.9599 273.096 
0.425 0.575 5.18714e+20 -25.0355 -25.2936 271.75 
0.025 0.625 5.18701e+20 42.0182 -7.38338 269.254 
0.225 0.625 5.18688e+20 7.56349 -40.1735 276.713 
0.425 0.625 5.18688e+20 -38.6728 -19.1946 270.363 
0.025 0.675 5.18688e+20 54.2966 -5.42425 270.762 
0.225 0.675 5.18688e+20 7.48437 -27.6752 280.654 
0.425 0.675 5.18688e+20 -47.7599 -12.2111 273.362 
0.025 0.725 5.18688e+20 59.5018 -1.77672 273.205 
0.225 0.725 5.18714e+20 9.25032 -8.54051 280.708 
0.425 0.725 5.18675e+20 -53.8981 -3.62198 274.405 
0.025 0.775 5.18688e+20 61.2858 0.703885 273.484 
0.225 0.775 5.18675e+20 9.17801 9.28084 282.164 
0.425 0.775 5.18727e+20 -55.1805 4.9655 275.07 
0.025 0.825 5.18688e+20 52.2793 4.20496 270.925 
0.225 0.825 5.18701e+20 6.49809 28.4647 282.388 
0.425 0.825 5.18701e+20 -49.172 13.993 270.222 
0.025 0.875 5.18662e+20 42.1685 6.54572 269.225 
0.225 0.875 5.18688e+20 7.54058 45.2575 276.281 
0.425 0.875 5.18701e+20 -40.0161 17.3839 271.257 
0.025 0.925 5.18688e+20 28.2996 8.98477 264.554 
0.225 0.925 5.18662e+20 5.22192 52.9372 273.725 
0.425 0.925 5.18701e+20 -26.7566 24.0768 266.897 
0.025 0.975 5.18688e+20 8.45761 10.1753 263.464 
0.225 0.975 5.18701e+20 3.32318 59.618 273.099 
0.425 0.975 5.18714e+20 -10.1291 26.5301 265.14 
0.125 0.525 5.18701e+20 8.59781 -40.7813 270.285 
0.325 0.525 5.18688e+20 -2.45202 -52.1674 271.362 
0.125 0.575 5.18688e+20 19.7747 -39.6707 269.106 
0.325 0.575 5.18688e+20 -12.8707 -49.5686 273.431 
0.125 0.625 5.18662e+20 31.5159 -34.2298 273.604 
0.325 0.625 5.18688e+20 -20.0528 -36.3724 275.089 
0.125 0.675 5.18688e+20 38.2952 -20.7495 275.278 
0.325 0.675 5.18688e+20 -23.2819 -22.8759 277.425 
0.125 0.725 5.18675e+20 43.2415 -7.84661 276.436 
0.325 0.725 5.18675e+20 -27.9117 -10.9208 279.487 
0.125 0.775 5.18701e+20 41.9921 6.78692 277.174 
0.325 0.775 5.18688e+20 -25.6082 8.55792 279.567 
0.125 0.825 5.18675e+20 37.5953 20.3204 276.587 
0.325 0.825 5.18688e+20 -24.7841 23.5498 277.841 
0.125 0.875 5.18688e+20 32.6287 30.4555 273.239 
0.325 0.875 5.18636e+20 -18.1153 38.8087 275.189 
0.125 0.925 5.18688e+20 17.6483 39.8569 268.128 
0.325 0.925 5.18675e+20 -15.3653 49.2222 271.628 
0.125 0.975 5.18688e+20 7.00964 43.5383 269.611 
0.325 0.975 5.18701e+20 -5.80865 55.3912 270.796 
0.175 0.525 5.18675e+20 3.08089 -54.6937 268.831 
0.375 0.525 5.18688e+20 -7.26273 -42.942 267.373 
0.175 0.575 5.18688e+20 12.5854 -48.1078 274.007 
0.375 0.575 5.18675e+20 -19.0665 -38.5503 270.517 
0.175 0.625 5.18727e+20 19.5507 -40.2169 275.678 
0.375 0.625 5.18675e+20 -31.6265 -28.3782 274.228 
0.175 0.675 5.18688e+20 25.2102 -23.1141 277.237 
0.375 0.675 5.18701e+20 -37.5809 -19.8032 277.129 
0.175 0.725 5.18636e+20 28.3007 -8.84317 281.337 
0.375 0.725 5.18701e+20 -43.0018 -8.59255 277.314 
0.175 0.775 5.18714e+20 25.9479 9.91852 280.938 
0.375 0.775 5.18649e+20 -42.8028 5.88788 277.852 
0.175 0.825 5.18688e+20 23.6256 23.6842 279.374 
0.375 0.825 5.18675e+20 -39.9565 19.8755 276.43 
0.175 0.875 5.18714e+20 19.1374 38.2132 274.777 
0.375 0.875 5.18714e+20 -32.3873 31.5054 274.016 
0.175 0.925 5.18688e+20 12.567 51.212 273.629 
0.375 0.925 5.18675e+20 -20.1784 38.8017 270.536 
0.175 0.975 5.18688e+20 3.71087 54.1751 272.625 
0.375 0.975 5.18675e+20 -7.91924 45.4578 268.378 
0.525 0.025 5.18688e+20 9.15412 -11.1983 262.27 
0.725 0.025 5.18675e+20 1.34354 -60.126 274.041 
0.925 0.025 5.18662e+20 -10.7613 -30.356 266.948 
0.525 0.075 5.18701e+20 28.7985 -9.31956 268.348 
0.725 0.075 5.18701e+20 4.86563 -54.0554 276.789 
0.925 0.075 5.18675e+20 -22.374 -25.1626 269.405 
0.525 0.125 5.18675e+20 43.6796 -4.812 268.808 
0.725 0.125 5.18701e+20 6.91419 -42.8478 277.229 
0.925 0.125 5.18688e+20 -37.1237 -19.3839 269.786 
0.525 0.175 5.18688e+20 54.5878 -2.9792 269.864 
0.725 0.175 5.18688e+20 8.61176 -27.4674 278.288 
0.925 0.175 5.18701e+20 -48.9396 -11.6766 272.36 
0.525 0.225 5.18675e+20 58.3141 -2.07783 273.02 
0.725 0.225 5.18714e+20 8.92576 -8.4989 283.734 
0.925 0.225 5.18675e+20 -53.3509 -4.58763 274.143 
0.525 0.275 5.18675e+20 58.3607 1.59819 272.958 
0.725 0.275 5.18688e+20 8.55591 9.84108 282.102 
0.925 0.275 5.18675e+20 -54.8786 4.66979 276.791 
0.525 0.325 5.18701e+20 53.9743 3.23829 272.363 
0.725 0.325 5.18688e+20 7.9578 27.9876 279.081 
0.925 0.325 5.18701e+20 -46.901 13.9981 271.926 
0.525 0.375 5.18688e+20 44.9907 7.95556 268.274 
0.725 0.375 5.18675e+20 8.21526 42.8939 277.974 
0.925 0.375 5.18701e+20 -40.229 21.271 270.449 
0.525 0.425 5.18675e+20 25.6844 7.91503 265.33 
0.725 0.425 5.18675e+20 2.87283 54.6569 275.529 
0.925 0.425 5.18662e+20 -23.7243 24.8945 267.449 
0.525 0.475 5.18701e+20 9.59811 9.2276 265.882 
0.725 0.475 5.18688e+20 2.49231 59.7807 272.947 
0.925 0.475 5.18714e+20 -6.20785 26.145 264.904 
0.625 0.025 5.18688e+20 5.76402 -43.6012 267.256 
0.825 0.025 5.18675e+20 -3.39227 -54.4872 270.291 
0.625 0.075 5.18688e+20 18.6232 -38.452 270.431 
0.825 0.075 5.18701e+20 -13.4308 -49.2292 273.831 
0.625 0.125 5.18675e+20 32.0839 -30.6689 274.298 
0.825 0.125 5.18662e+20 -19.4737 -39.4916 274.85 
0.625 0.175 5.18662e+20 37.6291 -20.4049 274.114 
0.825 0.175 5.18675e+20 -23.1924 -26.5288 281.133 
0.625 0.225 5.18688e+20 43.9951 -8.93232 277.828 
0.825 0.225 5.18688e+20 -28.7663 -9.93028 278.757 
0.625 0.275 5.18675e+20 41.1833 7.42636 277.27 
0.825 0.275 5.18688e+20 -25.7034 7.1928 279.735 
0.625 0.325 5.18688e+20 37.7593 17.5466 277.873 
0.825 0.325 5.18675e+20 -23.5856 26.8011 279.031 
0.625 0.375 5.18701e+20 31.0685 33.2763 273.372 
0.825 0.375 5.18688e+20 -20.5116 39.9185 276.407 
0.625 0.425 5.18675e+20 20.1018 40.0471 269.433 
0.825 0.425 5.18688e+20 -12.5444 48.5837 271.438 
0.625 0.475 5.18675e+20 7.26489 41.8467 268.841 
0.825 0.475 5.18662e+20 -2.05615 54.4738 270.443 
0.675 0.025 5.18675e+20 4.46588 -56.2506 269.359 
0.875 0.025 5.18688e+20 -6.91119 -41.692 270.369 
0.675 0.075 5.18688e+20 14.5422 -46.5799 275.065 
0.875 0.075 5.18701e+20 -19.3042 -37.4553 270.14 
0.675 0.125 5.18675e+20 17.3861 -39.7214 274.276 
0.875 0.125 5.18701e+20 -29.9777 -32.599 274.397 
0.675 0.175 5.18714e+20 23.8705 -26.4176 277.931 
0.875 0.175 5.18701e+20 -37.7987 -20.307 275.891 
0.675 0.225 5.18662e+20 27.0172 -10.2699 279.705 
0.875 0.225 5.18688e+20 -42.9514 -5.45981 278.418 
0.675 0.275 5.18701e+20 28.7403 9.0152 279.986 
0.875 0.275 5.18701e+20 -42.4987 8.39014 278.665 
0.675 0.325 5.18675e+20 25.9367 25.6637 278.45 
0.875 0.325 5.18662e+20 -39.3624 21.6858 275.041 
0.675 0.375 5.18714e+20 20.37 37.0026 274.816 
0.875 0.375 5.18675e+20 -29.8597 30.097 273.247 
0.675 0.425 5.18714e+20 13.0068 47.2969 272.653 
0.875 0.425 5.18675e+20 -19.7494 38.8059 269.556 
0.675 0.475 5.18701e+20 3.08619 56.5296 271.244 
0.875 0.475 5.1874e+20 -7.58504 40.1735 269.346 
0.575 0.025 5.18688e+20 8.18491 -27.3934 267.779 
0.775 0.025 5.18649e+20 -2.00996 -60.0168 273.515 
0.975 0.025 5.18688e+20 -9.99512 -8.91432 265.388 
0.575 0.075 5.18688e+20 24.352 -24.3932 268.719 
0.775 0.075 5.18727e+20 -4.34232 -56.471 273.363 
0.975 0.075 5.18714e+20 -29.0248 -10.1741 265.716 
0.575 0.125 5.18701e+20 38.5007 -19.9363 269.456 
