TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE  F=POINT
0.025 0.025 5.20322e+20 -1.18366 -0.0845555 275.247 
0.225 0.025 5.22072e+20 -2.5962 14.2249 274.679 
0.425 0.025 5.20179e+20 -1.9451 6.7227 274.835 
0.025 0.075 5.17301e+20 -4.44011 1.50643 278.065 
0.225 0.075 5.19362e+20 -3.9135 10.133 276.585 
0.425 0.075 5.24809e+20 3.67796 5.38662 277.924 
0.025 0.125 5.15459e+20 -7.9214 -0.711376 274.876 
0.225 0.125 5.20218e+20 -0.208621 9.01639 274.379 
0.425 0.125 5.15018e+20 8.10205 3.38367 275.235 
0.025 0.175 5.17845e+20 -9.22612 -2.35499 275.844 
0.225 0.175 5.19751e+20 -0.955265 5.9814 273.794 
0.425 0.175 5.16289e+20 13.5573 3.99184 275.192 
0.025 0.225 5.19297e+20 -11.2064 -1.27917 275.097 
0.225 0.225 5.21048e+20 -1.42702 3.51756 275.813 
0.425 0.225 5.17612e+20 15.9138 2.55587 276.471 
0.025 0.275 5.19894e+20 -14.2458 -0.104249 275.725 
0.225 0.275 5.19907e+20 -2.66142 -0.93134 277.417 
0.425 0.275 5.19868e+20 13.4483 2.79351 278.527 
0.025 0.325 5.17313e+20 -13.9407 -0.197822 276.903 
0.225 0.325 5.18597e+20 -2.72393 -7.44651 274.344 
0.425 0.325 5.16367e+20 18.0703 -4.34783 275.404 
0.025 0.375 5.15304e+20 -9.62921 -0.259571 273.599 
0.225 0.375 5.1922e+20 -2.84579 -13.1384 275.077 
0.425 0.375 5.13397e+20 14.0862 -7.26699 275.758 
0.025 0.425 5.16108e+20 -8.22956 -1.97794 274.381 
0.225 0.425 5.15991e+20 1.84618 -13.6829 276.989 
0.425 0.425 5.16873e+20 9.75522 -7.66648 277.272 
0.025 0.475 5.15368e+20 -2.41948 -0.287598 275.603 
0.225 0.475 5.19272e+20 -2.03615 -14.2668 278.367 
0.425 0.475 5.18273e+20 3.8586 -6.4898 274.18 
0.075 0.025 5.17936e+20 -1.94968 2.39917 273.744 
0.275 0.025 5.22747e+20 0.422677 13.1935 276.696 
0.475 0.025 5.218e+20 0.926457 5.02282 274.109 
0.075 0.075 5.2014e+20 -5.93478 3.23689 274.177 
0.275 0.075 5.19246e+20 0.652916 11.975 274.225 
0.475 0.075 5.17923e+20 5.3785 -0.798488 276.123 
0.075 0.125 5.19855e+20 -10.4594 3.20086 273.752 
0.275 0.125 5.16133e+20 3.47067 9.87959 276.104 
0.475 0.125 5.14188e+20 9.06576 -1.27435 272.942 
0.075 0.175 5.18234e+20 -8.96478 0.362226 275.827 
0.275 0.175 5.18299e+20 0.202859 8.86912 274.356 
0.475 0.175 5.14227e+20 14.8858 0.486199 274.745 
0.075 0.225 5.13229e+20 -12.8136 -0.308708 275.854 
0.275 0.225 5.2132e+20 2.4339 3.35266 275.447 
0.475 0.225 5.14461e+20 15.0906 0.751624 274.004 
0.075 0.275 5.18325e+20 -12.9038 -1.25709 275.245 
0.275 0.275 5.16419e+20 2.28717 -2.32672 277.133 
0.475 0.275 5.14175e+20 15.8409 2.07544 274.969 
0.075 0.325 5.18921e+20 -13.135 -1.8715 274.35 
0.275 0.325 5.18066e+20 5.32582 -9.00112 276.843 
0.475 0.325 5.15304e+20 16.9746 0.348479 274.289 
0.075 0.375 5.13216e+20 -9.85874 -0.758583 277.31 
0.275 0.375 5.20815e+20 4.62081 -12.6684 277.438 
0.475 0.375 5.15135e+20 14.7505 -6.5265 274.755 
0.075 0.425 5.18597e+20 -5.34573 -2.62259 276.321 
0.275 0.425 5.23629e+20 4.90715 -14.8655 274.025 
0.475 0.425 5.14668e+20 9.13783 -3.85862 276.312 
0.075 0.475 5.21541e+20 -2.18199 -6.04085 276.599 
0.275 0.475 5.22578e+20 1.33508 -13.5696 275.925 
0.475 0.475 5.16471e+20 4.86725 -2.792 278.614 
0.125 0.025 5.21865e+20 -0.559764 10.02 275.192 
0.325 0.025 5.23603e+20 0.372604 12.5356 276.327 
0.125 0.075 5.19725e+20 -3.41935 5.58968 273.981 
0.325 0.075 5.18675e+20 0.609363 12.6377 274.139 
0.125 0.125 5.20153e+20 -4.73641 3.46907 271.571 
0.325 0.125 5.16004e+20 4.45409 9.27823 274.87 
0.125 0.175 5.15978e+20 -6.95129 4.99355 275.16 
0.325 0.175 5.17002e+20 4.38056 8.91669 275.376 
0.125 0.225 5.16004e+20 -7.72654 0.237957 275.275 
0.325 0.225 5.21593e+20 6.30027 3.33388 276.483 
0.125 0.275 5.17106e+20 -10.0941 1.07589 275.777 
0.325 0.275 5.23512e+20 7.3116 -1.21644 274.918 
0.125 0.325 5.12321e+20 -9.99861 -1.39553 275.511 
0.325 0.325 5.19816e+20 8.58854 -8.15039 274.923 
0.125 0.375 5.11089e+20 -7.42433 -6.75914 273.336 
0.325 0.375 5.1695e+20 7.19971 -11.4794 275.422 
0.125 0.425 5.16237e+20 -3.68811 -6.47446 275.801 
