ITEM: TIMESTEP
1141
ITEM: NUMBER OF CELLS
1200
ITEM: BOX BOUNDS oo pp pp
0 1
-0.5 0.5
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.000416667 0 0 0 0 0 
0.00375 0 0 0 0 0 
0.00708333 0 0 0 0 0 
0.0104167 0 0 0 0 0 
0.01375 0 0 0 0 0 
0.0170833 0 0 0 0 0 
0.0204167 0 0 0 0 0 
0.02375 0 0 0 0 0 
0.0270833 0 0 0 0 0 
0.0304167 0 0 0 0 0 
0.03375 0 0 0 0 0 
0.0370833 0 0 0 0 0 
0.0404167 0 0 0 0 0 
0.04375 0 0 0 0 0 
0.0470833 0 0 0 0 0 
0.0504167 0 0 0 0 0 
0.05375 0 0 0 0 0 
0.0570833 0 0 0 0 0 
0.0604167 0 0 0 0 0 
0.06375 0 0 0 0 0 
0.0670833 0 0 0 0 0 
0.0704167 0 0 0 0 0 
0.07375 0 0 0 0 0 
0.0770833 0 0 0 0 0 
0.0804167 0 0 0 0 0 
0.08375 0 0 0 0 0 
0.0870833 0 0 0 0 0 
0.0904167 0 0 0 0 0 
0.09375 0 0 0 0 0 
0.0970833 0 0 0 0 0 
0.100417 0 0 0 0 0 
0.10375 0 0 0 0 0 
0.107083 0 0 0 0 0 
0.110417 0 0 0 0 0 
0.11375 0 0 0 0 0 
0.117083 0 0 0 0 0 
0.120417 0 0 0 0 0 
0.12375 0 0 0 0 0 
0.127083 0 0 0 0 0 
0.130417 0 0 0 0 0 
0.13375 0 0 0 0 0 
0.137083 0 0 0 0 0 
0.140417 0 0 0 0 0 
0.14375 0 0 0 0 0 
0.147083 0 0 0 0 0 
0.150417 0 0 0 0 0 
0.15375 0 0 0 0 0 
0.157083 0 0 0 0 0 
0.160417 0 0 0 0 0 
0.16375 0 0 0 0 0 
0.167083 0 0 0 0 0 
0.170417 0 0 0 0 0 
0.17375 0 0 0 0 0 
0.177083 0 0 0 0 0 
0.180417 0 0 0 0 0 
0.18375 0 0 0 0 0 
