ITEM: TIMESTEP
57
ITEM: NUMBER OF CELLS
60
ITEM: BOX BOUNDS oo pp pp
0 1
-0.5 0.5
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.00833333 0 1.51225e+21 0.0390513 -0.111253 273.191 
0.075 0 1.51062e+21 0.902468 0.683669 273.79 
0.141667 0 1.50901e+21 -0.348514 -0.743635 272.336 
0.208333 0 1.51333e+21 -0.699138 1.36468 273.207 
0.025 0 1.50955e+21 -0.839796 -0.528393 272.714 
0.0916667 0 1.49857e+21 -1.14421 0.236162 273.606 
0.158333 0 1.50676e+21 0.195254 -0.00497831 272.554 
0.225 0 1.50518e+21 0.969246 0.714731 271.198 
0.0416667 0 1.50539e+21 0.46075 -0.650842 273.483 
0.108333 0 1.51075e+21 -0.511894 -0.140677 272.998 
0.175 0 1.5125e+21 -0.617235 0.609878 273.139 
0.241667 0 1.50235e+21 1.07319 -0.135497 271.293 
0.0583333 0 1.51424e+21 0.783523 -1.08824 272.117 
0.125 0 1.50934e+21 0.116883 -0.580733 273.048 
0.191667 0 1.50909e+21 -0.114834 0.684443 274.593 
0.291667 0 1.4274e+21 18.7936 -0.188638 263.213 
0.358333 0 1.19317e+21 68.8938 0.318938 233.28 
0.425 0 9.49794e+20 132.458 -1.19971 200.481 
0.491667 0 7.78574e+20 182.501 -0.211761 177.101 
0.275 0 1.46348e+21 9.44402 0.418304 266.837 
0.341667 0 1.24981e+21 55.306 0.609248 240.962 
0.408333 0 1.00151e+21 117.891 -0.819684 207.968 
0.475 0 8.03038e+20 174.11 0.106159 180.428 
0.308333 0 1.37301e+21 29.3442 -0.163842 255.989 
0.375 0 1.12285e+21 85.6466 0.206549 224.236 
0.441667 0 8.95436e+20 148.651 -0.381162 192.23 
0.258333 0 1.48844e+21 5.21868 1.37219 270.7 
0.325 0 1.32291e+21 41.092 0.729911 248.336 
0.391667 0 1.06863e+21 101.679 -0.953533 216.276 
0.458333 0 8.46107e+20 161.585 0.781299 185.522 
0.508333 0 7.58703e+20 187.857 0.0370873 174.558 
0.575 0 7.19751e+20 191.106 -1.0855 180.89 
0.641667 0 4.42084e+20 198.592 -2.41507 294.955 
0.708333 0 3.32621e+20 192.783 -0.601245 393.489 
0.541667 0 7.53718e+20 189.524 -0.799271 174.815 
0.608333 0 5.87211e+20 196.431 -1.37117 222.736 
0.675 0 3.6296e+20 197.257 -0.279378 360.004 
0.741667 0 3.19748e+20 189.485 -0.793296 404.3 
0.558333 0 7.45437e+20 190.733 0.636816 176.317 
0.625 0 5.03486e+20 199.633 1.24592 258.002 
0.691667 0 3.43164e+20 195.176 -0.923368 381.942 
0.525 0 7.4871e+20 189.634 -0.0664466 173.923 
0.591667 0 6.66418e+20 193.148 -0.149793 195.898 
0.658333 0 3.93111e+20 200.734 -1.74685 332.068 
0.725 0 3.22591e+20 191.11 0.158053 399.323 
0.791667 0 2.84635e+20 162.459 -0.212839 394.803 
0.858333 0 1.91114e+20 9.76495 0.379113 282.44 
0.925 0 1.87132e+20 -1.0551 -0.200112 273.844 
0.991667 0 1.88331e+20 2.27255 1.50986 274.674 
0.808333 0 2.56053e+20 121.359 -0.237174 371.1 
0.875 0 1.903e+20 5.63973 1.26239 274.574 
0.941667 0 1.88995e+20 -0.967229 -0.880532 273.877 
0.758333 0 3.1784e+20 186.828 -0.258967 401.688 
0.825 0 2.22094e+20 67.2247 1.18209 334.007 
0.891667 0 1.89184e+20 1.73871 0.521605 272.024 
0.958333 0 1.87984e+20 0.529374 1.13532 272.9 
0.775 0 3.07584e+20 180.563 1.69291 405.463 
0.841667 0 2.00186e+20 29.4187 -3.60814 300.585 
0.908333 0 1.88218e+20 0.0206947 -0.339652 273.558 
0.975 0 1.91891e+20 -1.8467 -2.27805 272.65 
