TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6485e-05,-1.4574e-05,2.6874e+25,0.12514,-0.11368,272.57
-1.6485e-05,-1.4096e-05,2.6842e+25,0.054942,0.16213,272.93
-1.6485e-05,-1.3618e-05,2.6781e+25,0.21851,-0.12328,273.06
-1.6485e-05,-1.314e-05,2.688e+25,0.91581,-0.93077,272.18
-1.6485e-05,-1.2663e-05,2.6896e+25,1.5179,-1.5682,272.22
-1.6485e-05,-1.2185e-05,2.6961e+25,-0.020009,-2.0797,271.9
-1.6485e-05,-1.1707e-05,2.6948e+25,-0.33215,-2.2163,271.28
-1.6485e-05,-1.1229e-05,2.6975e+25,-0.76322,-1.6376,271.7
-1.6485e-05,-1.0751e-05,2.6957e+25,-1.8022,-1.0345,271.49
-1.6485e-05,-1.0273e-05,2.696e+25,-1.193,-0.27979,271.95
-1.6485e-05,-9.7956e-06,2.6934e+25,0.70622,0.23174,272.17
-1.6485e-05,-9.3178e-06,2.6907e+25,0.28741,0.18388,272.44
-1.6485e-05,-8.8399e-06,2.6802e+25,-0.1804,0.16827,272.74
-1.6485e-05,-8.3621e-06,2.6813e+25,0.27168,0.45102,273.04
-1.6485e-05,-7.8842e-06,2.6752e+25,0.11484,0.16659,273.18
-1.6485e-05,-7.4064e-06,2.6858e+25,-0.4964,0.41332,272.52
-1.6485e-05,-6.9286e-06,2.6865e+25,-0.15285,0.21085,272.88
-1.6485e-05,-6.4508e-06,2.6856e+25,-0.35945,-0.052577,272.95
-1.6485e-05,-5.9729e-06,2.6876e+25,-0.23061,0.48539,272.31
-1.6485e-05,-5.4951e-06,2.6676e+25,0.42201,0.84938,273.73
-1.6485e-05,-5.0173e-06,2.675e+25,0.21845,0.72579,273.22
-1.6485e-05,-4.5394e-06,2.6816e+25,-0.064584,0.5182,272.54
-1.6485e-05,-4.0616e-06,2.6827e+25,-0.15304,0.56825,272.44
-1.6485e-05,-3.5838e-06,2.6815e+25,-0.58601,0.60416,272.23
-1.6485e-05,-3.1059e-06,2.6808e+25,0.01293,0.61566,272.77
-1.6485e-05,-2.6281e-06,2.6803e+25,-0.078325,1.0842,272.98
-1.6485e-05,-2.1502e-06,2.6818e+25,0.38314,2.3761,272.67
-1.6485e-05,-1.6724e-06,2.6814e+25,-0.30388,2.6202,273.06
-1.6485e-05,-1.1946e-06,2.6733e+25,0.15103,1.3123,273.1
-1.6485e-05,-7.1675e-07,2.6821e+25,-0.089062,1.8543,272.52
-1.6485e-05,-2.3892e-07,2.6808e+25,-0.47578,1.8622,272.69
-1.6485e-05,2.3892e-07,2.6883e+25,0.37678,1.5635,271.54
-1.6485e-05,7.1675e-07,2.6883e+25,-0.023468,1.115,271.77
-1.6485e-05,1.1946e-06,2.6918e+25,0.10652,1.0402,271.5
-1.6485e-05,1.6724e-06,2.6882e+25,-0.47682,0.6724,271.71
-1.6485e-05,2.1502e-06,2.6941e+25,0.44648,0.96324,271.3
-1.6485e-05,2.6281e-06,2.6848e+25,0.09322,1.3609,271.74
-1.6485e-05,3.1059e-06,2.6813e+25,-0.72851,1.9453,272.82
-1.6485e-05,3.5838e-06,2.6929e+25,-0.093493,1.9758,272.15
-1.6485e-05,4.0616e-06,2.6905e+25,0.23523,1.4184,271.9
-1.6485e-05,4.5394e-06,2.6909e+25,0.71488,1.4623,271.85
-1.6485e-05,5.0173e-06,2.7009e+25,0.2588,1.3587,271.67
-1.6485e-05,5.4951e-06,2.698e+25,0.063006,0.82264,271.1
-1.6485e-05,5.9729e-06,2.6925e+25,0.020039,0.65185,271.38
-1.6485e-05,6.4508e-06,2.6934e+25,0.019131,0.66961,272.2
-1.6485e-05,6.9286e-06,2.6874e+25,0.44992,0.34771,272.1
-1.6485e-05,7.4064e-06,2.6807e+25,0.12488,-0.16954,272.53
-1.6485e-05,7.8842e-06,2.6857e+25,0.16797,-0.16116,271.88
-1.6485e-05,8.3621e-06,2.6805e+25,0.14032,0.15794,272.86
-1.6485e-05,8.8399e-06,2.6761e+25,-0.2412,0.12684,272.64
-1.6485e-05,9.3178e-06,2.6745e+25,-1.4268,1.2989,272.51
-1.6485e-05,9.7956e-06,2.6698e+25,-0.68509,1.8076,273.26
-1.6485e-05,1.0273e-05,2.6737e+25,-0.33024,2.3671,272.83
