ITEM: TIMESTEP
770000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68351e+25 0.0376491 -0.0422793 272.974 
-1.50517e-05 -1.69631e-05 2.68401e+25 -0.0060442 -0.00918822 272.815 
-1.31404e-05 -1.69631e-05 2.68355e+25 -0.00212524 0.0271224 272.896 
-1.12291e-05 -1.69631e-05 2.68401e+25 -0.0434879 0.0419362 272.79 
-9.31775e-06 -1.69631e-05 2.68454e+25 -0.0917589 0.00116773 272.788 
-7.40642e-06 -1.69631e-05 2.68521e+25 -0.0436516 -0.0144698 272.809 
-5.49508e-06 -1.69631e-05 2.6846e+25 -0.169345 -0.0112519 272.824 
-3.58375e-06 -1.69631e-05 2.68496e+25 -0.145451 0.0366195 272.852 
-1.67242e-06 -1.69631e-05 2.6845e+25 -0.233309 -0.00618485 272.828 
-1.69631e-05 -1.64852e-05 2.68399e+25 -0.00274145 -0.0620892 272.848 
-1.50517e-05 -1.64852e-05 2.68744e+25 0.0407828 0.0305891 272.495 
-1.31404e-05 -1.64852e-05 2.68667e+25 0.0196522 0.0518064 272.489 
-1.12291e-05 -1.64852e-05 2.68654e+25 -0.0421206 0.0304529 272.513 
-9.31775e-06 -1.64852e-05 2.68761e+25 -0.243799 -0.0092103 272.499 
-7.40642e-06 -1.64852e-05 2.68837e+25 -0.157149 -0.0616188 272.372 
-5.49508e-06 -1.64852e-05 2.68729e+25 -0.392357 0.0196847 272.438 
-3.58375e-06 -1.64852e-05 2.68704e+25 -0.420788 0.0790507 272.562 
-1.67242e-06 -1.64852e-05 2.68624e+25 -0.473415 -0.0517534 272.683 
-1.69631e-05 -1.60074e-05 2.68504e+25 -0.0164745 -0.0533863 272.762 
-1.50517e-05 -1.60074e-05 2.68844e+25 0.0906546 0.0988358 272.473 
-1.31404e-05 -1.60074e-05 2.69046e+25 -0.0325385 0.0310026 272.196 
-1.12291e-05 -1.60074e-05 2.68963e+25 0.09413 0.0122829 272.286 
-9.31775e-06 -1.60074e-05 2.68818e+25 -0.334166 -0.020068 272.36 
-7.40642e-06 -1.60074e-05 2.68981e+25 -0.380299 -0.0360943 272.198 
-5.49508e-06 -1.60074e-05 2.68987e+25 -0.644716 0.0506255 272.181 
-3.58375e-06 -1.60074e-05 2.68861e+25 -0.740868 0.0944999 272.358 
-1.67242e-06 -1.60074e-05 2.68835e+25 -0.783729 -0.0544183 272.462 
-1.69631e-05 -1.55296e-05 2.6842e+25 -0.016985 -0.014696 272.824 
-1.50517e-05 -1.55296e-05 2.69023e+25 -0.0240797 0.140375 272.278 
