ITEM: TIMESTEP
10000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 0 0 0 0 
-1.50517e-05 -1.69631e-05 0 0 0 0 
-1.31404e-05 -1.69631e-05 0 0 0 0 
-1.12291e-05 -1.69631e-05 0 0 0 0 
-9.31775e-06 -1.69631e-05 0 0 0 0 
-7.40642e-06 -1.69631e-05 0 0 0 0 
-5.49508e-06 -1.69631e-05 0 0 0 0 
-3.58375e-06 -1.69631e-05 0 0 0 0 
-1.67242e-06 -1.69631e-05 0 0 0 0 
-1.69631e-05 -1.64852e-05 0 0 0 0 
-1.50517e-05 -1.64852e-05 0 0 0 0 
-1.31404e-05 -1.64852e-05 0 0 0 0 
-1.12291e-05 -1.64852e-05 0 0 0 0 
-9.31775e-06 -1.64852e-05 0 0 0 0 
-7.40642e-06 -1.64852e-05 0 0 0 0 
-5.49508e-06 -1.64852e-05 0 0 0 0 
-3.58375e-06 -1.64852e-05 0 0 0 0 
-1.67242e-06 -1.64852e-05 0 0 0 0 
-1.69631e-05 -1.60074e-05 0 0 0 0 
-1.50517e-05 -1.60074e-05 0 0 0 0 
-1.31404e-05 -1.60074e-05 0 0 0 0 
-1.12291e-05 -1.60074e-05 0 0 0 0 
-9.31775e-06 -1.60074e-05 0 0 0 0 
-7.40642e-06 -1.60074e-05 0 0 0 0 
-5.49508e-06 -1.60074e-05 0 0 0 0 
-3.58375e-06 -1.60074e-05 0 0 0 0 
-1.67242e-06 -1.60074e-05 0 0 0 0 
-1.69631e-05 -1.55296e-05 0 0 0 0 
-1.50517e-05 -1.55296e-05 0 0 0 0 
-1.31404e-05 -1.55296e-05 0 0 0 0 
-1.12291e-05 -1.55296e-05 0 0 0 0 
-9.31775e-06 -1.55296e-05 0 0 0 0 
-7.40642e-06 -1.55296e-05 0 0 0 0 
-5.49508e-06 -1.55296e-05 0 0 0 0 
-3.58375e-06 -1.55296e-05 0 0 0 0 
-1.67242e-06 -1.55296e-05 0 0 0 0 
-1.69631e-05 -1.50517e-05 0 0 0 0 
-1.50517e-05 -1.50517e-05 0 0 0 0 
-1.31404e-05 -1.50517e-05 0 0 0 0 
-1.12291e-05 -1.50517e-05 0 0 0 0 
-9.31775e-06 -1.50517e-05 0 0 0 0 
-7.40642e-06 -1.50517e-05 0 0 0 0 
-5.49508e-06 -1.50517e-05 0 0 0 0 
-3.58375e-06 -1.50517e-05 0 0 0 0 
-1.67242e-06 -1.50517e-05 0 0 0 0 
-1.69631e-05 -1.45739e-05 0 0 0 0 
-1.50517e-05 -1.45739e-05 0 0 0 0 
-1.31404e-05 -1.45739e-05 0 0 0 0 
