ITEM: TIMESTEP
340000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68253e+25 0.0476944 -0.0551472 272.943 
-1.50517e-05 -1.69631e-05 2.68362e+25 -0.00261545 0.020895 272.852 
-1.31404e-05 -1.69631e-05 2.68362e+25 -0.0467062 0.022478 272.821 
-1.12291e-05 -1.69631e-05 2.68563e+25 -0.160619 0.0356967 272.689 
-9.31775e-06 -1.69631e-05 2.68521e+25 -0.17583 -0.0111603 272.753 
-7.40642e-06 -1.69631e-05 2.68506e+25 -0.0335108 -0.0112316 272.777 
-5.49508e-06 -1.69631e-05 2.6838e+25 -0.274346 0.0343737 272.94 
-3.58375e-06 -1.69631e-05 2.68508e+25 -0.0841332 -0.00733926 272.947 
-1.67242e-06 -1.69631e-05 2.684e+25 -0.177487 0.0276524 272.872 
-1.69631e-05 -1.64852e-05 2.68378e+25 0.0310647 -0.099153 272.831 
-1.50517e-05 -1.64852e-05 2.68872e+25 0.00531208 0.0237496 272.424 
-1.31404e-05 -1.64852e-05 2.68691e+25 -0.090733 0.0715869 272.477 
-1.12291e-05 -1.64852e-05 2.68729e+25 -0.104027 -0.0291957 272.492 
-9.31775e-06 -1.64852e-05 2.68737e+25 -0.333369 -0.0578094 272.595 
-7.40642e-06 -1.64852e-05 2.68928e+25 -0.152729 -0.102578 272.319 
-5.49508e-06 -1.64852e-05 2.68647e+25 -0.347563 0.137316 272.445 
-3.58375e-06 -1.64852e-05 2.68671e+25 -0.2814 0.0216467 272.632 
-1.67242e-06 -1.64852e-05 2.68607e+25 -0.21883 0.0557412 272.716 
-1.69631e-05 -1.60074e-05 2.68584e+25 -0.041351 -0.103101 272.726 
-1.50517e-05 -1.60074e-05 2.68928e+25 -0.048833 0.144033 272.381 
-1.31404e-05 -1.60074e-05 2.68999e+25 -0.204925 0.149057 272.338 
-1.12291e-05 -1.60074e-05 2.68964e+25 -0.0449811 -0.122361 272.343 
-9.31775e-06 -1.60074e-05 2.68854e+25 -0.287067 -0.115128 272.381 
-7.40642e-06 -1.60074e-05 2.69115e+25 -0.396523 -0.111073 272.117 
-5.49508e-06 -1.60074e-05 2.69084e+25 -0.599417 0.172663 272.171 
-3.58375e-06 -1.60074e-05 2.688e+25 -0.495627 -0.0416942 272.458 
-1.67242e-06 -1.60074e-05 2.68573e+25 -0.440669 0.0147479 272.685 
-1.69631e-05 -1.55296e-05 2.68506e+25 -0.0521793 -0.0152386 272.758 
-1.50517e-05 -1.55296e-05 2.69175e+25 -0.0985994 0.2352 272.212 
-1.31404e-05 -1.55296e-05 2.6903e+25 -0.25179 0.141654 272.292 
