TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE T="cavity", I=100, J=100, K=1, F=POINT
-3.0082e-08 -7.3787e-09 2.62e+25 -0.28357 4.4052 272.12
-3.0082e-08 -6.2435e-09 2.6195e+25 -0.43737 4.6637 272.06
-3.0082e-08 -5.1083e-09 2.6176e+25 -0.41682 4.8819 271.92
-3.0082e-08 -3.9731e-09 2.6122e+25 -0.31695 5.164 271.99
-3.0082e-08 -2.838e-09 2.6091e+25 -0.10633 5.3905 271.92
-3.0082e-08 -1.7028e-09 2.6072e+25 -0.26624 5.7178 271.9
-3.0082e-08 -5.6759e-10 2.6026e+25 -0.20886 5.8573 271.88
-3.0082e-08 5.6759e-10 2.6006e+25 -0.39789 6.1524 271.5
-3.0082e-08 1.7028e-09 2.5965e+25 -0.38788 6.4404 271.4
-3.0082e-08 2.838e-09 2.5911e+25 -0.44629 6.648 271.72
-3.0082e-08 3.9731e-09 2.5902e+25 -0.49152 7.1143 271.65
-3.0082e-08 5.1083e-09 2.5868e+25 -0.29383 7.407 271.7
-3.0082e-08 6.2435e-09 2.5815e+25 -0.20919 7.4027 271.35
-3.0082e-08 7.3787e-09 2.5755e+25 -0.36875 7.4549 271.45
-3.0082e-08 8.5138e-09 2.5701e+25 -0.19909 7.9108 271.31
-3.0082e-08 9.649e-09 2.5632e+25 -0.31324 8.1754 271.42
-3.0082e-08 1.0784e-08 2.5597e+25 -0.36937 8.4197 271.42
-3.0082e-08 1.1919e-08 2.5526e+25 -0.19719 8.6125 271.24
-3.0082e-08 1.3055e-08 2.5457e+25 -0.3351 8.7692 271.03
-3.0082e-08 1.419e-08 2.5425e+25 -0.124 9.0698 271.08
-3.0082e-08 1.5325e-08 2.5333e+25 -0.48875 9.3474 271.1
-3.0082e-08 1.646e-08 2.5237e+25 -0.33401 9.5208 271.14
-3.0082e-08 1.7595e-08 2.5196e+25 -0.47801 9.7529 270.77
-3.0082e-08 1.873e-08 2.5098e+25 -0.24683 10.145 270.98
-3.0082e-08 1.9866e-08 2.5031e+25 -0.16227 10.207 271.07
-3.0082e-08 2.1001e-08 2.4934e+25 -0.29444 10.393 270.96
-3.0082e-08 2.2136e-08 2.4877e+25 -0.34218 10.587 271
-3.0082e-08 2.3271e-08 2.4782e+25 -0.091208 10.629 270.88
-3.0082e-08 2.4406e-08 2.4677e+25 -0.22042 10.801 270.94
-3.0082e-08 2.5542e-08 2.4543e+25 -0.1887 10.716 270.92
-3.0082e-08 2.6677e-08 2.4446e+25 0.066494 10.645 270.97
-3.0082e-08 2.7812e-08 2.4344e+25 0.11634 10.214 271.18
-3.0082e-08 2.8947e-08 2.435e+25 1.0142 8.9534 271.48
-3.0082e-08 3.0082e-08 2.4426e+25 3.2557 6.4112 271.89
-3.0082e-08 3.1217e-08 2.4804e+25 11.728 1.7785 273.79
-2.8947e-08 -3.1217e-08 2.6189e+25 -0.65513 0.039081 272.42
-2.8947e-08 -3.0082e-08 2.6236e+25 -0.81383 0.091962 272.51
-2.8947e-08 -2.8947e-08 2.6267e+25 -0.46155 0.39928 272.54
-2.8947e-08 -2.7812e-08 2.6261e+25 -0.50313 0.78751 272.62
-2.8947e-08 -2.6677e-08 2.6314e+25 -0.4637 0.92945 272.17
-2.8947e-08 -2.5542e-08 2.6332e+25 -0.53264 1.1446 272.21
-2.8947e-08 -2.4406e-08 2.6331e+25 -0.35258 1.3808 272.27
-2.8947e-08 -2.3271e-08 2.6324e+25 -0.43265 1.531 272.2
-2.8947e-08 -2.2136e-08 2.6309e+25 -0.33034 1.7138 272.15
-2.8947e-08 -2.1001e-08 2.6324e+25 -0.49482 1.8551 272.35
-2.8947e-08 -1.9866e-08 2.6312e+25 -0.55636 1.9835 272.54
-2.8947e-08 -1.873e-08 2.6298e+25 -0.57186 2.3632 272.59
-2.8947e-08 -1.7595e-08 2.6299e+25 -0.59076 2.6518 272.36
-2.8947e-08 -1.646e-08 2.6277e+25 -0.5447 2.979 272.47
-2.8947e-08 -1.5325e-08 2.6307e+25 -0.5508 3.1306 272.34
-2.8947e-08 -1.419e-08 2.6304e+25 -0.40002 3.1955 272.19
-2.8947e-08 -1.3055e-08 2.6316e+25 -0.41579 3.4468 272.26
-2.8947e-08 -1.1919e-08 2.6263e+25 -0.43747 3.7554 272.14
-2.8947e-08 -1.0784e-08 2.6264e+25 -0.47721 3.8973 272.25
-2.8947e-08 -9.649e-09 2.6298e+25 -0.62999 4.015 272.13
-2.8947e-08 -8.5138e-09 2.6231e+25 -0.4349 4.3034 272.42
-2.8947e-08 -7.3787e-09 2.6195e+25 -0.55941 4.6305 272.21
-2.8947e-08 -6.2435e-09 2.6202e+25 -0.60983 5.0439 271.88
-2.8947e-08 -5.1083e-09 2.6177e+25 -0.65459 5.1517 271.92
-2.8947e-08 -3.9731e-09 2.618e+25 -0.42906 5.3915 271.69
-2.8947e-08 -2.838e-09 2.6118e+25 -0.51034 5.7889 271.82
-2.8947e-08 -1.7028e-09 2.6101e+25 -0.41357 5.9903 271.9
-2.8947e-08 -5.6759e-10 2.6076e+25 -0.5917 6.3461 271.55
-2.8947e-08 5.6759e-10 2.601e+25 -0.6811 6.6037 271.31
-2.8947e-08 1.7028e-09 2.5985e+25 -0.55325 6.6404 271.37
-2.8947e-08 2.838e-09 2.597e+25 -0.86556 6.9447 271.65
-2.8947e-08 3.9731e-09 2.5905e+25 -0.7918 7.2554 271.55
-2.8947e-08 5.1083e-09 2.5869e+25 -0.56436 7.4808 271.48
-2.8947e-08 6.2435e-09 2.5825e+25 -0.32115 7.8003 271.15
-2.8947e-08 7.3787e-09 2.5757e+25 -0.59727 8.1068 271.27
-2.8947e-08 8.5138e-09 2.573e+25 -0.55753 8.36 271.3
-2.8947e-08 9.649e-09 2.5682e+25 -0.47722 8.5672 271.31
-2.8947e-08 1.0784e-08 2.5607e+25 -0.47817 8.618 271.46
-2.8947e-08 1.1919e-08 2.554e+25 -0.53798 8.8719 271.41
-2.8947e-08 1.3055e-08 2.5495e+25 -0.39554 8.9866 271.29
-2.8947e-08 1.419e-08 2.5434e+25 -0.52495 9.3729 271.44
-2.8947e-08 1.5325e-08 2.5334e+25 -0.57671 9.6112 271.37
-2.8947e-08 1.646e-08 2.5283e+25 -0.51522 9.786 271.25
-2.8947e-08 1.7595e-08 2.5236e+25 -0.64356 9.8599 270.99
-2.8947e-08 1.873e-08 2.5177e+25 -0.48846 10.046 270.95
-2.8947e-08 1.9866e-08 2.5101e+25 -0.24543 10.265 271.08
-2.8947e-08 2.1001e-08 2.5002e+25 -0.31668 10.323 270.88
-2.8947e-08 2.2136e-08 2.4915e+25 -0.3851 10.317 271.06
-2.8947e-08 2.3271e-08 2.4854e+25 -0.17571 10.348 271.27
-2.8947e-08 2.4406e-08 2.4749e+25 -0.11913 10.197 271.09
-2.8947e-08 2.5542e-08 2.4671e+25 0.21496 9.881 271.41
-2.8947e-08 2.6677e-08 2.4634e+25 0.60127 9.147 271.26
-2.8947e-08 2.7812e-08 2.4632e+25 1.2521 8.107 271.72
-2.8947e-08 2.8947e-08 2.4658e+25 2.9976 6.5211 272.11
-2.8947e-08 3.0082e-08 2.48e+25 6.7168 3.4881 272.82
-2.8947e-08 3.1217e-08 2.5139e+25 14.439 0.775 274.28
-2.7812e-08 -3.1217e-08 2.6212e+25 -0.77518 0.047311 272.55
-2.7812e-08 -3.0082e-08 2.6237e+25 -0.67725 0.065118 272.7
-2.7812e-08 -2.8947e-08 2.6279e+25 -0.79513 0.18655 272.62
-2.7812e-08 -2.7812e-08 2.6279e+25 -0.92865 0.52858 272.54
-2.7812e-08 -2.6677e-08 2.6299e+25 -0.74532 0.93791 272.46
-2.7812e-08 -2.5542e-08 2.6319e+25 -0.68405 1.1396 272.34
-2.7812e-08 -2.4406e-08 2.631e+25 -0.63019 1.2926 272.31
-2.7812e-08 -2.3271e-08 2.635e+25 -0.58206 1.53 272.06
-2.7812e-08 -2.2136e-08 2.6332e+25 -0.71059 1.7668 272.27
-2.7812e-08 -2.1001e-08 2.6311e+25 -0.4788 1.8745 272.56
-2.7812e-08 -1.9866e-08 2.6322e+25 -0.92546 2.1033 272.41
-2.7812e-08 -1.873e-08 2.6312e+25 -0.76883 2.3016 272.35
-2.7812e-08 -1.7595e-08 2.6341e+25 -0.80444 2.5557 272.17
-2.7812e-08 -1.646e-08 2.6322e+25 -1.0657 2.8258 272.17
-2.7812e-08 -1.5325e-08 2.6324e+25 -0.59415 3.1068 272.15
-2.7812e-08 -1.419e-08 2.6319e+25 -0.74132 3.2791 272.22
-2.7812e-08 -1.3055e-08 2.6318e+25 -0.57774 3.5157 272.06
-2.7812e-08 -1.1919e-08 2.6273e+25 -0.83031 3.7861 272.13
-2.7812e-08 -1.0784e-08 2.6261e+25 -0.56484 4.2107 272.33
-2.7812e-08 -9.649e-09 2.628e+25 -0.67099 4.356 272.04
-2.7812e-08 -8.5138e-09 2.6249e+25 -0.84977 4.5023 272.12
-2.7812e-08 -7.3787e-09 2.6195e+25 -0.8188 4.9478 272.03
-2.7812e-08 -6.2435e-09 2.6203e+25 -0.88444 5.1561 271.84
-2.7812e-08 -5.1083e-09 2.6186e+25 -0.93229 5.4315 271.83
-2.7812e-08 -3.9731e-09 2.6161e+25 -0.72001 5.7497 271.98
-2.7812e-08 -2.838e-09 2.613e+25 -0.71791 5.9551 271.8
-2.7812e-08 -1.7028e-09 2.6105e+25 -0.84296 6.1843 271.6
-2.7812e-08 -5.6759e-10 2.6066e+25 -0.58993 6.4848 272
-2.7812e-08 5.6759e-10 2.6032e+25 -0.80727 6.5875 271.58
-2.7812e-08 1.7028e-09 2.5991e+25 -0.91807 6.8954 271.62
-2.7812e-08 2.838e-09 2.5949e+25 -0.99789 7.2469 271.67
-2.7812e-08 3.9731e-09 2.5885e+25 -0.94098 7.363 271.74
-2.7812e-08 5.1083e-09 2.5868e+25 -0.75151 7.6143 271.66
-2.7812e-08 6.2435e-09 2.5862e+25 -0.73228 7.9902 271.24
-2.7812e-08 7.3787e-09 2.5811e+25 -0.79942 8.0797 271.13
-2.7812e-08 8.5138e-09 2.5743e+25 -0.85393 8.4486 271.22
-2.7812e-08 9.649e-09 2.573e+25 -0.50111 8.5632 271.27
-2.7812e-08 1.0784e-08 2.5628e+25 -0.61596 8.7646 271.33
-2.7812e-08 1.1919e-08 2.5569e+25 -0.60297 8.9599 271.29
-2.7812e-08 1.3055e-08 2.5518e+25 -0.75516 9.0505 271.35
-2.7812e-08 1.419e-08 2.5447e+25 -0.66839 9.255 271.36
-2.7812e-08 1.5325e-08 2.5393e+25 -0.80515 9.5316 271.41
-2.7812e-08 1.646e-08 2.5347e+25 -0.77266 9.8069 271.38
-2.7812e-08 1.7595e-08 2.5282e+25 -0.56963 10.039 271.19
-2.7812e-08 1.873e-08 2.5213e+25 -0.69361 10.054 271.04
-2.7812e-08 1.9866e-08 2.5142e+25 -0.36317 10.146 271.42
-2.7812e-08 2.1001e-08 2.5107e+25 -0.25163 10.19 271.2
-2.7812e-08 2.2136e-08 2.5006e+25 -0.24309 10.038 271.11
-2.7812e-08 2.3271e-08 2.4933e+25 0.12114 9.705 271.36
-2.7812e-08 2.4406e-08 2.4877e+25 0.10656 9.3733 271.38
-2.7812e-08 2.5542e-08 2.4848e+25 0.87657 8.8563 271.67
-2.7812e-08 2.6677e-08 2.4844e+25 1.4923 8.0717 271.59
-2.7812e-08 2.7812e-08 2.4913e+25 2.6863 6.7119 271.79
-2.7812e-08 2.8947e-08 2.4931e+25 5.2069 4.6027 272.53
-2.7812e-08 3.0082e-08 2.5086e+25 9.4052 2.5679 273.49
-2.7812e-08 3.1217e-08 2.5342e+25 15.833 0.64663 274.62
-2.6677e-08 -3.1217e-08 2.6241e+25 -0.91303 0.066709 272.57
-2.6677e-08 -3.0082e-08 2.6245e+25 -0.8123 0.30797 272.61
-2.6677e-08 -2.8947e-08 2.6262e+25 -1.0844 0.38619 272.53
-2.6677e-08 -2.7812e-08 2.6289e+25 -1.1062 0.54842 272.56
-2.6677e-08 -2.6677e-08 2.6303e+25 -1.0386 0.69635 272.31
-2.6677e-08 -2.5542e-08 2.6319e+25 -0.86861 1.027 272.37
-2.6677e-08 -2.4406e-08 2.6331e+25 -0.79278 1.1892 272.36
-2.6677e-08 -2.3271e-08 2.6341e+25 -0.84053 1.4157 272.35
-2.6677e-08 -2.2136e-08 2.6309e+25 -0.78508 1.5773 272.25
-2.6677e-08 -2.1001e-08 2.632e+25 -0.6672 1.778 272.33
-2.6677e-08 -1.9866e-08 2.6339e+25 -1.1393 2.1109 272.36
-2.6677e-08 -1.873e-08 2.6332e+25 -1.1423 2.3466 272.32
-2.6677e-08 -1.7595e-08 2.6331e+25 -0.97982 2.6845 272.32
-2.6677e-08 -1.646e-08 2.6329e+25 -1.1542 2.8224 272.31
-2.6677e-08 -1.5325e-08 2.631e+25 -0.80719 2.8498 272.36
-2.6677e-08 -1.419e-08 2.6326e+25 -0.76491 3.1379 272.2
-2.6677e-08 -1.3055e-08 2.6302e+25 -1.0669 3.4556 272.17
-2.6677e-08 -1.1919e-08 2.6281e+25 -0.98013 3.6598 272.17
-2.6677e-08 -1.0784e-08 2.6284e+25 -1.0937 3.9844 272.11
-2.6677e-08 -9.649e-09 2.6284e+25 -0.92204 4.3541 272.08
-2.6677e-08 -8.5138e-09 2.6231e+25 -1.072 4.5519 272
-2.6677e-08 -7.3787e-09 2.6238e+25 -0.97971 4.791 271.94
-2.6677e-08 -6.2435e-09 2.6206e+25 -1.2782 4.9838 272.01
-2.6677e-08 -5.1083e-09 2.6169e+25 -1.1549 5.355 272.14
-2.6677e-08 -3.9731e-09 2.6128e+25 -1.1152 5.6868 272.12
-2.6677e-08 -2.838e-09 2.6125e+25 -1.0183 6.0902 272.05
-2.6677e-08 -1.7028e-09 2.6131e+25 -0.98571 6.2799 271.72
-2.6677e-08 -5.6759e-10 2.6082e+25 -0.79609 6.4107 271.92
-2.6677e-08 5.6759e-10 2.6042e+25 -1.0065 6.6596 271.63
-2.6677e-08 1.7028e-09 2.5996e+25 -1.1619 6.8321 271.71
-2.6677e-08 2.838e-09 2.5968e+25 -1.3048 7.04 271.64
-2.6677e-08 3.9731e-09 2.5942e+25 -1.1331 7.2704 271.56
-2.6677e-08 5.1083e-09 2.5912e+25 -1.1057 7.4186 271.57
-2.6677e-08 6.2435e-09 2.5875e+25 -0.85937 7.8882 271.54
-2.6677e-08 7.3787e-09 2.5813e+25 -1.0382 8.1589 271.24
