ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.6812e+25 0.0231731 -0.0183185 273.264 
-1.50517e-05 -1.69631e-05 2.68254e+25 0.0308765 0.0321562 272.977 
-1.31404e-05 -1.69631e-05 2.67983e+25 -0.10261 0.0258889 272.962 
-1.12291e-05 -1.69631e-05 2.68417e+25 -0.0791653 -0.00424157 272.646 
-9.31775e-06 -1.69631e-05 2.68675e+25 -0.0734212 -0.0312205 272.618 
-7.40642e-06 -1.69631e-05 2.68538e+25 0.040632 -0.0375429 272.731 
-5.49508e-06 -1.69631e-05 2.68119e+25 -0.40571 -0.00618081 273.147 
-3.58375e-06 -1.69631e-05 2.6871e+25 0.180837 -0.00123073 272.707 
-1.67242e-06 -1.69631e-05 2.68314e+25 -0.285406 -0.0034415 272.954 
-1.69631e-05 -1.64852e-05 2.68542e+25 -0.00609869 0.0417284 272.793 
-1.50517e-05 -1.64852e-05 2.69127e+25 -0.11876 0.0903496 272.282 
-1.31404e-05 -1.64852e-05 2.68323e+25 -0.340698 0.166748 272.684 
-1.12291e-05 -1.64852e-05 2.6867e+25 -0.0782554 -0.0918621 272.52 
-9.31775e-06 -1.64852e-05 2.68849e+25 -0.405445 -0.0887879 272.438 
-7.40642e-06 -1.64852e-05 2.69209e+25 0.214047 -0.0655775 272.203 
-5.49508e-06 -1.64852e-05 2.68265e+25 -0.345143 0.124874 272.668 
-3.58375e-06 -1.64852e-05 2.69019e+25 -0.0338399 0.0914882 272.335 
-1.67242e-06 -1.64852e-05 2.68336e+25 -0.456769 0.0900179 272.944 
-1.69631e-05 -1.60074e-05 2.69081e+25 0.0088409 0.00543893 272.486 
-1.50517e-05 -1.60074e-05 2.69276e+25 -0.14031 0.179726 272.088 
-1.31404e-05 -1.60074e-05 2.68991e+25 -0.304793 0.132377 272.42 
-1.12291e-05 -1.60074e-05 2.69067e+25 -0.324291 -0.224242 272.198 
-9.31775e-06 -1.60074e-05 2.68405e+25 -0.417619 -0.0416675 272.629 
-7.40642e-06 -1.60074e-05 2.69437e+25 -0.280348 -0.118821 271.801 
-5.49508e-06 -1.60074e-05 2.68813e+25 -0.447516 -0.125031 272.417 
-3.58375e-06 -1.60074e-05 2.69106e+25 -0.267889 0.0681049 272.231 
-1.67242e-06 -1.60074e-05 2.68075e+25 -0.895619 0.12464 273.16 
-1.69631e-05 -1.55296e-05 2.6873e+25 0.0132064 -0.0670286 272.692 
-1.50517e-05 -1.55296e-05 2.69581e+25 -0.217391 0.301812 271.916 
-1.31404e-05 -1.55296e-05 2.69101e+25 -0.347574 0.0353806 272.153 
