ITEM: TIMESTEP
70000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.6792e+25 0.0645148 -0.0549913 273.308 
-1.50517e-05 -1.69631e-05 2.68063e+25 0.117339 -0.0287694 273.207 
-1.31404e-05 -1.69631e-05 2.68183e+25 0.0354349 0.0559446 272.794 
-1.12291e-05 -1.69631e-05 2.68567e+25 -0.0287271 0.0599327 272.562 
-9.31775e-06 -1.69631e-05 2.68522e+25 -0.0459631 -0.120917 272.831 
-7.40642e-06 -1.69631e-05 2.68551e+25 0.0958413 0.0305678 272.667 
-5.49508e-06 -1.69631e-05 2.68352e+25 -0.530659 0.0472127 273.123 
-3.58375e-06 -1.69631e-05 2.68758e+25 0.163135 -0.0651711 272.558 
-1.67242e-06 -1.69631e-05 2.68137e+25 -0.407225 -0.0106898 273.123 
-1.69631e-05 -1.64852e-05 2.6846e+25 0.0637336 -0.0409993 272.764 
-1.50517e-05 -1.64852e-05 2.69098e+25 0.0557471 0.0159147 272.251 
-1.31404e-05 -1.64852e-05 2.68479e+25 -0.307983 0.228455 272.489 
-1.12291e-05 -1.64852e-05 2.68605e+25 -0.111774 -0.0140677 272.46 
-9.31775e-06 -1.64852e-05 2.68575e+25 -0.722935 -0.0648914 272.721 
-7.40642e-06 -1.64852e-05 2.69176e+25 0.314749 -0.075586 272.1 
-5.49508e-06 -1.64852e-05 2.68596e+25 -0.263004 0.051669 272.45 
-3.58375e-06 -1.64852e-05 2.68868e+25 -0.135739 0.0636995 272.366 
-1.67242e-06 -1.64852e-05 2.68324e+25 -0.451474 0.102126 273.003 
-1.69631e-05 -1.60074e-05 2.6909e+25 -0.0253228 -0.109153 272.427 
-1.50517e-05 -1.60074e-05 2.69269e+25 0.0704247 0.232932 272.082 
-1.31404e-05 -1.60074e-05 2.69386e+25 -0.383387 0.212442 272.168 
-1.12291e-05 -1.60074e-05 2.69194e+25 -0.318848 -0.135812 272.012 
-9.31775e-06 -1.60074e-05 2.68214e+25 -0.547352 0.0862879 272.597 
-7.40642e-06 -1.60074e-05 2.69652e+25 -0.244189 -0.28785 271.575 
-5.49508e-06 -1.60074e-05 2.68927e+25 -0.388988 -0.166374 272.237 
-3.58375e-06 -1.60074e-05 2.69007e+25 -0.23073 0.113563 272.116 
-1.67242e-06 -1.60074e-05 2.67937e+25 -0.857487 0.210089 273.184 
-1.69631e-05 -1.55296e-05 2.68767e+25 -0.0633452 -0.12465 272.716 
-1.50517e-05 -1.55296e-05 2.69541e+25 0.112733 0.289552 271.885 
-1.31404e-05 -1.55296e-05 2.69284e+25 -0.372822 0.19971 271.995 
