ITEM: TIMESTEP
300000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68647e+25 -0.00472107 0.0152298 272.934 
-1.50517e-05 -1.69631e-05 2.68784e+25 0.206952 0.02506 272.837 
-1.31404e-05 -1.69631e-05 2.68864e+25 0.135947 -0.0289918 272.787 
-1.12291e-05 -1.69631e-05 2.68797e+25 -0.119421 0.01874 272.751 
-9.31775e-06 -1.69631e-05 2.68491e+25 0.0522803 0.0182349 273.045 
-7.40642e-06 -1.69631e-05 2.68834e+25 -0.253387 0.0715711 272.725 
-5.49508e-06 -1.69631e-05 2.6875e+25 -0.0951302 -0.0180543 272.842 
-3.58375e-06 -1.69631e-05 2.69046e+25 -0.40961 -0.0610355 272.666 
-1.67242e-06 -1.69631e-05 2.68766e+25 -0.12024 0.0525518 272.77 
-1.69631e-05 -1.64852e-05 2.6875e+25 -0.0587636 0.0777847 272.885 
-1.50517e-05 -1.64852e-05 2.68865e+25 0.216043 -0.0817515 272.65 
-1.31404e-05 -1.64852e-05 2.68976e+25 -0.0331629 -0.0403779 272.658 
-1.12291e-05 -1.64852e-05 2.68906e+25 -0.0885868 0.0701059 272.597 
-9.31775e-06 -1.64852e-05 2.68727e+25 -0.249358 -0.0373619 272.787 
-7.40642e-06 -1.64852e-05 2.69118e+25 -0.479378 0.132226 272.661 
-5.49508e-06 -1.64852e-05 2.68891e+25 -0.578809 -0.0863723 272.668 
-3.58375e-06 -1.64852e-05 2.69064e+25 -0.584062 -0.110327 272.595 
-1.67242e-06 -1.64852e-05 2.689e+25 -0.543895 0.0591692 272.684 
-1.69631e-05 -1.60074e-05 2.68698e+25 -0.00545585 0.112685 272.869 
-1.50517e-05 -1.60074e-05 2.69097e+25 0.0217145 -0.0609025 272.492 
-1.31404e-05 -1.60074e-05 2.68968e+25 0.0674838 -0.0190018 272.561 
-1.12291e-05 -1.60074e-05 2.68986e+25 -0.494425 0.105909 272.531 
-9.31775e-06 -1.60074e-05 2.68816e+25 -0.675534 0.0890271 272.748 
-7.40642e-06 -1.60074e-05 2.69058e+25 -0.571788 0.203498 272.475 
-5.49508e-06 -1.60074e-05 2.68804e+25 -1.07223 -0.161398 272.728 
-3.58375e-06 -1.60074e-05 2.6892e+25 -0.818557 -0.131646 272.648 
-1.67242e-06 -1.60074e-05 2.69172e+25 -0.783717 -0.00930205 272.461 
-1.69631e-05 -1.55296e-05 2.68743e+25 0.0489308 0.118082 272.855 
-1.50517e-05 -1.55296e-05 2.69163e+25 0.0740815 -0.162976 272.379 
-1.31404e-05 -1.55296e-05 2.6921e+25 -0.254841 0.310607 272.366 
