ITEM: TIMESTEP
120000
ITEM: NUMBER OF CELLS
3136
ITEM: BOX BOUNDS ss ss pp
-3.1785e-08 3.1785e-08
-3.1785e-08 3.1785e-08
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-3.12174e-08 -3.12174e-08 2.61963e+25 -0.18738 0.264262 272.24 
-2.66767e-08 -3.12174e-08 2.62413e+25 -0.913034 0.0667087 272.568 
-2.2136e-08 -3.12174e-08 2.62656e+25 -1.34916 0.0692382 272.786 
-1.75953e-08 -3.12174e-08 2.63608e+25 -1.65551 0.0810741 272.705 
-1.30546e-08 -3.12174e-08 2.64602e+25 -2.06591 -0.0216994 272.671 
-8.51384e-09 -3.12174e-08 2.6538e+25 -2.44845 0.0682406 273.009 
-3.97313e-09 -3.12174e-08 2.67078e+25 -2.82961 0.0782656 273.133 
-3.12174e-08 -3.00822e-08 2.62352e+25 -0.217973 0.690321 272.558 
-2.66767e-08 -3.00822e-08 2.62449e+25 -0.812304 0.307974 272.609 
-2.2136e-08 -3.00822e-08 2.63011e+25 -1.58463 0.0255862 272.66 
-1.75953e-08 -3.00822e-08 2.63616e+25 -2.1739 0.0673011 272.577 
-1.30546e-08 -3.00822e-08 2.64781e+25 -2.57801 -0.0730649 272.565 
-8.51384e-09 -3.00822e-08 2.65837e+25 -2.77935 0.269862 272.946 
-3.97313e-09 -3.00822e-08 2.67127e+25 -3.01494 0.14516 273.15 
-3.12174e-08 -2.89471e-08 2.62979e+25 -0.00539323 0.951023 272.166 
-2.66767e-08 -2.89471e-08 2.62623e+25 -1.0844 0.386194 272.528 
-2.2136e-08 -2.89471e-08 2.63008e+25 -1.66957 0.145554 272.819 
-1.75953e-08 -2.89471e-08 2.63579e+25 -2.32803 0.362885 273.01 
-1.30546e-08 -2.89471e-08 2.64729e+25 -2.75478 0.155391 272.685 
-8.51384e-09 -2.89471e-08 2.66046e+25 -3.18297 0.111629 272.737 
-3.97313e-09 -2.89471e-08 2.66904e+25 -3.28255 0.238696 273.145 
-3.12174e-08 -2.78119e-08 2.63477e+25 -0.144231 0.984907 272.046 
-2.66767e-08 -2.78119e-08 2.62891e+25 -1.10616 0.548421 272.56 
-2.2136e-08 -2.78119e-08 2.63279e+25 -1.80414 0.418253 272.671 
-1.75953e-08 -2.78119e-08 2.63645e+25 -2.20615 0.581004 272.875 
-1.30546e-08 -2.78119e-08 2.65001e+25 -2.86515 0.323287 272.718 
-8.51384e-09 -2.78119e-08 2.65955e+25 -3.27678 0.148677 272.777 
-3.97313e-09 -2.78119e-08 2.67104e+25 -3.68714 0.269626 272.832 
-3.12174e-08 -2.66767e-08 2.63322e+25 0.0338369 1.10676 272.234 
-2.66767e-08 -2.66767e-08 2.63029e+25 -1.03855 0.696349 272.315 
-2.2136e-08 -2.66767e-08 2.63257e+25 -1.63869 0.616582 272.418 
-1.75953e-08 -2.66767e-08 2.63777e+25 -2.51516 0.581527 272.803 
-1.30546e-08 -2.66767e-08 2.65067e+25 -2.9497 0.484612 272.722 
-8.51384e-09 -2.66767e-08 2.66245e+25 -3.34883 0.237371 272.612 
-3.97313e-09 -2.66767e-08 2.67433e+25 -3.75237 0.233347 272.949 
-3.12174e-08 -2.55415e-08 2.63584e+25 -0.132519 1.36227 272.312 
-2.66767e-08 -2.55415e-08 2.6319e+25 -0.868611 1.02703 272.371 
-2.2136e-08 -2.55415e-08 2.63455e+25 -1.70417 0.840283 272.554 
-1.75953e-08 -2.55415e-08 2.64085e+25 -2.41822 0.838876 272.514 
-1.30546e-08 -2.55415e-08 2.65114e+25 -3.10365 0.570404 272.529 
