ITEM: TIMESTEP
700000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68691e+25 -0.0408894 0.021924 272.9 
-1.50517e-05 -1.69631e-05 2.68787e+25 0.0626968 0.0532991 272.846 
-1.31404e-05 -1.69631e-05 2.68784e+25 -0.0223647 -0.00961436 272.834 
-1.12291e-05 -1.69631e-05 2.68805e+25 -0.0114688 -0.0543398 272.776 
-9.31775e-06 -1.69631e-05 2.68676e+25 0.0715467 0.0233968 272.925 
-7.40642e-06 -1.69631e-05 2.68847e+25 -0.0795861 0.0372982 272.726 
-5.49508e-06 -1.69631e-05 2.68836e+25 -0.134941 -0.00413998 272.785 
-3.58375e-06 -1.69631e-05 2.6886e+25 -0.331685 0.0118033 272.755 
-1.67242e-06 -1.69631e-05 2.68756e+25 -0.157486 -0.000874129 272.854 
-1.69631e-05 -1.64852e-05 2.68773e+25 0.0242754 0.0569966 272.857 
-1.50517e-05 -1.64852e-05 2.68843e+25 0.135199 0.0120658 272.7 
-1.31404e-05 -1.64852e-05 2.6897e+25 0.00918064 -0.0173269 272.654 
-1.12291e-05 -1.64852e-05 2.69033e+25 -0.0183841 -0.0378156 272.577 
-9.31775e-06 -1.64852e-05 2.68911e+25 -0.197508 0.0236891 272.652 
-7.40642e-06 -1.64852e-05 2.69022e+25 -0.254229 0.024188 272.639 
-5.49508e-06 -1.64852e-05 2.69005e+25 -0.413213 0.0379352 272.585 
-3.58375e-06 -1.64852e-05 2.68947e+25 -0.557285 0.0713968 272.597 
-1.67242e-06 -1.64852e-05 2.68765e+25 -0.656827 0.0397167 272.809 
-1.69631e-05 -1.60074e-05 2.68733e+25 -0.0245435 0.0387681 272.893 
-1.50517e-05 -1.60074e-05 2.68988e+25 0.119785 0.00116078 272.561 
-1.31404e-05 -1.60074e-05 2.68974e+25 0.190086 -0.00331617 272.546 
-1.12291e-05 -1.60074e-05 2.69091e+25 -0.223131 0.0773261 272.44 
-9.31775e-06 -1.60074e-05 2.68965e+25 -0.408742 0.0697293 272.554 
-7.40642e-06 -1.60074e-05 2.69012e+25 -0.465976 0.0534539 272.531 
-5.49508e-06 -1.60074e-05 2.68995e+25 -0.731263 0.0659535 272.583 
-3.58375e-06 -1.60074e-05 2.68851e+25 -0.759275 0.0959617 272.663 
-1.67242e-06 -1.60074e-05 2.68918e+25 -0.839816 -0.01553 272.682 
-1.69631e-05 -1.55296e-05 2.68658e+25 0.00284444 0.0692022 272.915 
-1.50517e-05 -1.55296e-05 2.69046e+25 0.0855467 -0.0784446 272.502 
-1.31404e-05 -1.55296e-05 2.69068e+25 -0.0189198 0.101301 272.463 
