ITEM: TIMESTEP
570000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68339e+25 0.060346 -0.0638069 272.966 
-1.50517e-05 -1.69631e-05 2.68497e+25 -0.0550043 0.00352999 272.762 
-1.31404e-05 -1.69631e-05 2.68419e+25 -0.0179389 0.0255568 272.885 
-1.12291e-05 -1.69631e-05 2.68412e+25 -0.0167765 0.046716 272.816 
-9.31775e-06 -1.69631e-05 2.68503e+25 -0.146118 -0.0171805 272.779 
-7.40642e-06 -1.69631e-05 2.68622e+25 -0.0400758 -0.00858922 272.761 
-5.49508e-06 -1.69631e-05 2.68453e+25 -0.200589 -0.00997641 272.844 
-3.58375e-06 -1.69631e-05 2.68592e+25 -0.124055 0.0342423 272.812 
-1.67242e-06 -1.69631e-05 2.68503e+25 -0.212807 -0.00942933 272.794 
-1.69631e-05 -1.64852e-05 2.68367e+25 0.00663188 -0.103719 272.815 
-1.50517e-05 -1.64852e-05 2.68837e+25 -0.00952962 0.0473191 272.429 
-1.31404e-05 -1.64852e-05 2.68731e+25 -0.0197249 0.0424936 272.465 
-1.12291e-05 -1.64852e-05 2.68624e+25 -0.0277593 0.0576683 272.589 
-9.31775e-06 -1.64852e-05 2.68756e+25 -0.337003 -0.0716369 272.511 
-7.40642e-06 -1.64852e-05 2.68847e+25 -0.13368 -0.0648057 272.384 
-5.49508e-06 -1.64852e-05 2.68745e+25 -0.327258 0.0291668 272.419 
-3.58375e-06 -1.64852e-05 2.68772e+25 -0.327904 0.0587359 272.509 
-1.67242e-06 -1.64852e-05 2.6866e+25 -0.354669 -0.0393799 272.678 
-1.69631e-05 -1.60074e-05 2.68567e+25 -0.0480427 -0.0702817 272.728 
-1.50517e-05 -1.60074e-05 2.68936e+25 0.0737363 0.14638 272.412 
-1.31404e-05 -1.60074e-05 2.68986e+25 -0.0572045 -0.00433478 272.236 
-1.12291e-05 -1.60074e-05 2.68892e+25 0.0474123 0.0428885 272.367 
-9.31775e-06 -1.60074e-05 2.68795e+25 -0.364823 -0.0972083 272.42 
-7.40642e-06 -1.60074e-05 2.69068e+25 -0.373795 -0.0850087 272.175 
-5.49508e-06 -1.60074e-05 2.69043e+25 -0.566684 0.112346 272.187 
-3.58375e-06 -1.60074e-05 2.68869e+25 -0.640345 0.0576217 272.351 
-1.67242e-06 -1.60074e-05 2.68803e+25 -0.694963 -0.0355353 272.469 
-1.69631e-05 -1.55296e-05 2.68537e+25 -0.0178715 -0.00710349 272.774 
-1.50517e-05 -1.55296e-05 2.69143e+25 0.0730454 0.198744 272.235 
