TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=BLOCK
-1.50517e-05 -1.31404e-05 2.69975e+25 1.09812 0.509689 271.523 
-1.31404e-05 -1.31404e-05 2.69366e+25 0.870311 1.57336 271.568 
-1.12291e-05 -1.31404e-05 2.67385e+25 -1.11239 -0.379562 273.262 
-9.31775e-06 -1.31404e-05 2.68087e+25 -1.41735 -0.20032 272.839 
-7.40642e-06 -1.31404e-05 2.68446e+25 -2.30625 0.365983 272.377 
-5.49508e-06 -1.31404e-05 2.68903e+25 -1.9807 0.0379451 272.018 
-3.58375e-06 -1.31404e-05 2.6946e+25 -2.16726 0.0506148 272.143 
-1.67242e-06 -1.31404e-05 2.68587e+25 -2.54811 0.675806 272.404 
-1.69631e-05 -1.26626e-05 2.68278e+25 0.462778 -1.25199 272.738 
-1.50517e-05 -1.26626e-05 2.69795e+25 0.207838 0.680682 271.488 
-1.31404e-05 -1.26626e-05 2.69367e+25 0.293929 2.03573 271.857 
-1.12291e-05 -1.26626e-05 2.66248e+25 -0.262261 -0.439323 274.225 
-9.31775e-06 -1.26626e-05 2.69356e+25 -1.30402 -0.0711323 271.742 
-7.40642e-06 -1.26626e-05 2.67935e+25 -3.07633 0.804333 273.1 
-5.49508e-06 -1.26626e-05 2.68761e+25 -2.56339 -0.323941 272.527 
-3.58375e-06 -1.26626e-05 2.6904e+25 -3.15191 0.132405 271.949 
-1.67242e-06 -1.26626e-05 2.69111e+25 -2.85307 0.788086 272.682 
-1.69631e-05 -1.21847e-05 2.68788e+25 -0.266813 -1.58789 272.536 
-1.50517e-05 -1.21847e-05 2.70414e+25 0.297339 0.722904 270.502 
-1.31404e-05 -1.21847e-05 2.69744e+25 0.583987 2.30912 271.726 
-1.12291e-05 -1.21847e-05 2.67048e+25 -1.04643 0.414723 273.268 
-9.31775e-06 -1.21847e-05 2.68871e+25 -1.67009 0.286036 272.683 
-7.40642e-06 -1.21847e-05 2.6866e+25 -1.68684 1.47209 272.545 
-5.49508e-06 -1.21847e-05 2.68987e+25 -2.64614 -0.316776 272.347 
-3.58375e-06 -1.21847e-05 2.68135e+25 -2.80241 0.768312 272.465 
-1.67242e-06 -1.21847e-05 2.67897e+25 -2.40149 0.2631 272.536 
-1.69631e-05 -1.17069e-05 2.68966e+25 -0.0076284 -1.40231 272.169 
-1.50517e-05 -1.17069e-05 2.71542e+25 0.249928 0.638263 269.869 
-1.31404e-05 -1.17069e-05 2.68869e+25 0.264487 2.63462 271.788 
-1.12291e-05 -1.17069e-05 2.67596e+25 -0.769155 0.509893 273.476 
-9.31775e-06 -1.17069e-05 2.68436e+25 -2.00803 0.870732 271.926 
-7.40642e-06 -1.17069e-05 2.68948e+25 -2.15441 0.669505 271.858 
-5.49508e-06 -1.17069e-05 2.68336e+25 -1.98017 -0.465833 272.48 
-3.58375e-06 -1.17069e-05 2.68737e+25 -1.95747 0.926047 272.369 
-1.67242e-06 -1.17069e-05 2.68899e+25 -1.85307 0.225002 272.424 
-1.69631e-05 -1.12291e-05 2.68166e+25 0.0157091 -1.27886 272.944 
-1.50517e-05 -1.12291e-05 2.70953e+25 -0.238241 0.213613 270.285 
-1.31404e-05 -1.12291e-05 2.68347e+25 -0.781601 2.60332 272.359 
-1.12291e-05 -1.12291e-05 2.68371e+25 -2.03048 0.629083 272.939 
-9.31775e-06 -1.12291e-05 2.69684e+25 -2.47607 0.856441 272.061 
-7.40642e-06 -1.12291e-05 2.69093e+25 -2.23803 0.718197 272.112 
-5.49508e-06 -1.12291e-05 2.69395e+25 -2.11504 -0.11674 271.879 
-3.58375e-06 -1.12291e-05 2.69215e+25 -1.94945 0.435255 272.383 
-1.67242e-06 -1.12291e-05 2.68951e+25 -1.50156 0.445075 272.096 
-1.69631e-05 -1.07512e-05 2.69022e+25 -0.882294 -0.224376 271.723 
-1.50517e-05 -1.07512e-05 2.69764e+25 -1.44695 0.0527718 271.024 
-1.31404e-05 -1.07512e-05 2.68528e+25 -0.996798 2.82289 272.211 
-1.12291e-05 -1.07512e-05 2.68629e+25 -2.05535 0.753946 272.39 
-9.31775e-06 -1.07512e-05 2.68897e+25 -1.68487 0.815654 272.01 
-7.40642e-06 -1.07512e-05 2.67904e+25 -1.72707 0.775089 273.051 
-5.49508e-06 -1.07512e-05 2.69045e+25 -1.90169 0.812454 271.868 
-3.58375e-06 -1.07512e-05 2.70778e+25 -1.16941 0.150203 270.866 
-1.67242e-06 -1.07512e-05 2.68345e+25 -1.98846 0.11779 272.222 
-1.69631e-05 -1.02734e-05 2.69104e+25 -0.253207 0.944151 272.154 
-1.50517e-05 -1.02734e-05 2.7022e+25 -1.31549 -0.621261 270.512 
-1.31404e-05 -1.02734e-05 2.68705e+25 -1.74522 2.3809 273.059 
-1.12291e-05 -1.02734e-05 2.68557e+25 -2.40924 0.978759 272.63 
-9.31775e-06 -1.02734e-05 2.68343e+25 -1.90941 0.919539 272.7 
-7.40642e-06 -1.02734e-05 2.67471e+25 -1.64849 0.650821 272.975 
-5.49508e-06 -1.02734e-05 2.69379e+25 -1.01874 1.27423 271.7 
-3.58375e-06 -1.02734e-05 2.70396e+25 -1.4265 0.642399 270.417 
-1.67242e-06 -1.02734e-05 2.68737e+25 -2.52773 0.503036 271.525 
-1.69631e-05 -9.79558e-06 2.69379e+25 0.397765 0.876974 272.198 
-1.50517e-05 -9.79558e-06 2.70046e+25 -1.5164 -0.382945 271.276 
-1.31404e-05 -9.79558e-06 2.67722e+25 -2.7261 1.87225 273.484 
-1.12291e-05 -9.79558e-06 2.68849e+25 -1.76811 1.10709 272.684 
-9.31775e-06 -9.79558e-06 2.67824e+25 -1.75491 1.12697 273.416 
-7.40642e-06 -9.79558e-06 2.68186e+25 -1.11942 0.953646 272.818 
-5.49508e-06 -9.79558e-06 2.68612e+25 -0.290689 1.02283 272.176 
-3.58375e-06 -9.79558e-06 2.69782e+25 -2.39516 1.18439 271.098 
-1.67242e-06 -9.79558e-06 2.70096e+25 -3.51878 0.553846 271.093 
-1.69631e-05 -9.31775e-06 2.69199e+25 0.0586413 0.294848 272.83 
-1.50517e-05 -9.31775e-06 2.67946e+25 -1.21438 0.413601 273.102 
-1.31404e-05 -9.31775e-06 2.68313e+25 -2.81999 1.25396 273.032 
-1.12291e-05 -9.31775e-06 2.68469e+25 -0.690967 0.734227 272.283 
