ITEM: TIMESTEP
720000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68335e+25 0.0440699 -0.0472291 272.967 
-1.50517e-05 -1.69631e-05 2.68432e+25 -0.0278618 -0.0144355 272.811 
-1.31404e-05 -1.69631e-05 2.68375e+25 -0.0040356 0.0188213 272.89 
-1.12291e-05 -1.69631e-05 2.68402e+25 -0.021478 0.0543502 272.789 
-9.31775e-06 -1.69631e-05 2.68475e+25 -0.0841568 0.00059614 272.78 
-7.40642e-06 -1.69631e-05 2.68536e+25 -0.0300975 0.00454576 272.795 
-5.49508e-06 -1.69631e-05 2.68476e+25 -0.188346 -0.0121667 272.805 
-3.58375e-06 -1.69631e-05 2.6851e+25 -0.173663 0.043175 272.869 
-1.67242e-06 -1.69631e-05 2.68443e+25 -0.211866 -0.00661638 272.837 
-1.69631e-05 -1.64852e-05 2.68372e+25 -0.00548129 -0.062974 272.854 
-1.50517e-05 -1.64852e-05 2.6876e+25 0.0107422 0.0293059 272.484 
-1.31404e-05 -1.64852e-05 2.68693e+25 -0.00408656 0.0347589 272.492 
-1.12291e-05 -1.64852e-05 2.68677e+25 -0.0579419 0.0475245 272.513 
-9.31775e-06 -1.64852e-05 2.68743e+25 -0.261849 -0.0112399 272.516 
-7.40642e-06 -1.64852e-05 2.68845e+25 -0.169741 -0.0443838 272.376 
-5.49508e-06 -1.64852e-05 2.68756e+25 -0.397273 0.0223216 272.407 
-3.58375e-06 -1.64852e-05 2.68703e+25 -0.445841 0.0835235 272.565 
-1.67242e-06 -1.64852e-05 2.68594e+25 -0.457166 -0.0614909 272.715 
-1.69631e-05 -1.60074e-05 2.68529e+25 -0.0242333 -0.0495234 272.747 
-1.50517e-05 -1.60074e-05 2.68873e+25 0.0208542 0.107844 272.451 
-1.31404e-05 -1.60074e-05 2.69037e+25 -0.0941242 0.00377216 272.198 
-1.12291e-05 -1.60074e-05 2.68984e+25 0.051501 0.0197065 272.278 
-9.31775e-06 -1.60074e-05 2.68841e+25 -0.358207 -0.0288311 272.357 
-7.40642e-06 -1.60074e-05 2.69019e+25 -0.414112 -0.0394459 272.192 
-5.49508e-06 -1.60074e-05 2.69008e+25 -0.651907 0.0707798 272.168 
-3.58375e-06 -1.60074e-05 2.68852e+25 -0.778825 0.0948833 272.373 
-1.67242e-06 -1.60074e-05 2.68823e+25 -0.802504 -0.08017 272.49 
-1.69631e-05 -1.55296e-05 2.68459e+25 -0.017433 0.000171709 272.824 
-1.50517e-05 -1.55296e-05 2.69063e+25 -0.0647456 0.167763 272.262 
