ITEM: TIMESTEP
500000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68342e+25 0.0582443 -0.0568463 272.973 
-1.50517e-05 -1.69631e-05 2.68456e+25 -0.0476948 0.0231499 272.779 
-1.31404e-05 -1.69631e-05 2.68388e+25 -0.0312292 0.0257548 272.879 
-1.12291e-05 -1.69631e-05 2.68405e+25 -0.0683955 0.053259 272.804 
-9.31775e-06 -1.69631e-05 2.685e+25 -0.168681 -0.0351326 272.77 
-7.40642e-06 -1.69631e-05 2.68583e+25 -0.0642382 -0.0119433 272.775 
-5.49508e-06 -1.69631e-05 2.68468e+25 -0.244168 -0.00898149 272.854 
-3.58375e-06 -1.69631e-05 2.68594e+25 -0.10239 0.0168082 272.839 
-1.67242e-06 -1.69631e-05 2.68484e+25 -0.176425 -0.00496829 272.813 
-1.69631e-05 -1.64852e-05 2.68374e+25 0.0083858 -0.104754 272.811 
-1.50517e-05 -1.64852e-05 2.68825e+25 -0.0343399 0.0730648 272.432 
-1.31404e-05 -1.64852e-05 2.6872e+25 -0.0461076 0.0527794 272.451 
-1.12291e-05 -1.64852e-05 2.68622e+25 -0.0593314 0.0369288 272.58 
-9.31775e-06 -1.64852e-05 2.68761e+25 -0.301026 -0.107757 272.535 
-7.40642e-06 -1.64852e-05 2.68852e+25 -0.141587 -0.0855404 272.364 
-5.49508e-06 -1.64852e-05 2.68754e+25 -0.342844 0.0319423 272.385 
-3.58375e-06 -1.64852e-05 2.68728e+25 -0.270438 0.0504263 272.537 
-1.67242e-06 -1.64852e-05 2.68643e+25 -0.252327 -0.0339786 272.708 
-1.69631e-05 -1.60074e-05 2.68557e+25 -0.0510872 -0.0597491 272.71 
-1.50517e-05 -1.60074e-05 2.68968e+25 0.0890459 0.168416 272.369 
-1.31404e-05 -1.60074e-05 2.69021e+25 -0.134089 0.0437014 272.256 
-1.12291e-05 -1.60074e-05 2.68876e+25 -0.00325817 0.0170345 272.394 
-9.31775e-06 -1.60074e-05 2.68784e+25 -0.341777 -0.113106 272.4 
-7.40642e-06 -1.60074e-05 2.69064e+25 -0.355923 -0.113754 272.177 
-5.49508e-06 -1.60074e-05 2.69127e+25 -0.538554 0.122077 272.126 
-3.58375e-06 -1.60074e-05 2.68872e+25 -0.584678 0.0113117 272.366 
-1.67242e-06 -1.60074e-05 2.68757e+25 -0.564227 -0.048237 272.513 
-1.69631e-05 -1.55296e-05 2.68531e+25 -0.0163551 -0.0147453 272.766 
-1.50517e-05 -1.55296e-05 2.69186e+25 0.0765126 0.254047 272.212 
