ITEM: TIMESTEP
560000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68341e+25 0.0624614 -0.065662 272.968 
-1.50517e-05 -1.69631e-05 2.68506e+25 -0.0530945 0.00518799 272.759 
-1.31404e-05 -1.69631e-05 2.68416e+25 -0.0153666 0.0289494 272.881 
-1.12291e-05 -1.69631e-05 2.68414e+25 -0.0156616 0.0468105 272.815 
-9.31775e-06 -1.69631e-05 2.68506e+25 -0.140726 -0.0279052 272.776 
-7.40642e-06 -1.69631e-05 2.6862e+25 -0.0458314 -0.00531828 272.745 
-5.49508e-06 -1.69631e-05 2.68462e+25 -0.208844 -0.00575274 272.839 
-3.58375e-06 -1.69631e-05 2.68594e+25 -0.113516 0.0279891 272.813 
-1.67242e-06 -1.69631e-05 2.68512e+25 -0.202356 -0.00759525 272.799 
-1.69631e-05 -1.64852e-05 2.68369e+25 0.0103837 -0.110527 272.813 
-1.50517e-05 -1.64852e-05 2.68855e+25 -0.00329331 0.0458195 272.413 
-1.31404e-05 -1.64852e-05 2.68741e+25 -0.0094301 0.0436057 272.458 
-1.12291e-05 -1.64852e-05 2.68619e+25 -0.0145056 0.0508894 272.59 
-9.31775e-06 -1.64852e-05 2.68756e+25 -0.306718 -0.0862579 272.522 
-7.40642e-06 -1.64852e-05 2.68857e+25 -0.121779 -0.057566 272.379 
-5.49508e-06 -1.64852e-05 2.68752e+25 -0.346329 0.0399713 272.413 
-3.58375e-06 -1.64852e-05 2.68754e+25 -0.326732 0.0499448 272.522 
-1.67242e-06 -1.64852e-05 2.68654e+25 -0.324072 -0.0401279 272.677 
-1.69631e-05 -1.60074e-05 2.68568e+25 -0.0498551 -0.0785157 272.726 
-1.50517e-05 -1.60074e-05 2.68957e+25 0.0958339 0.132404 272.4 
-1.31404e-05 -1.60074e-05 2.69009e+25 -0.0445371 0.00828944 272.227 
-1.12291e-05 -1.60074e-05 2.68901e+25 0.050293 0.032474 272.364 
-9.31775e-06 -1.60074e-05 2.68789e+25 -0.32949 -0.101015 272.429 
-7.40642e-06 -1.60074e-05 2.69069e+25 -0.3568 -0.0769069 272.175 
-5.49508e-06 -1.60074e-05 2.69061e+25 -0.571077 0.125897 272.173 
-3.58375e-06 -1.60074e-05 2.68879e+25 -0.62755 0.0440996 272.343 
-1.67242e-06 -1.60074e-05 2.68787e+25 -0.667474 -0.0378697 272.489 
-1.69631e-05 -1.55296e-05 2.68527e+25 -0.0159169 -0.0186475 272.777 
-1.50517e-05 -1.55296e-05 2.69154e+25 0.096955 0.189905 272.228 
