ITEM: TIMESTEP
150000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.67242e-06 -1.36182e-05 2.69035e+25 -1.77741 0.556752 272.327 
-1.69631e-05 -1.31404e-05 2.68532e+25 0.0404657 -0.0933186 272.527 
-1.50517e-05 -1.31404e-05 2.6899e+25 -0.0738941 0.152226 271.971 
-1.31404e-05 -1.31404e-05 2.6912e+25 -0.144142 0.307803 272.067 
-1.12291e-05 -1.31404e-05 2.69114e+25 -0.452716 -0.184074 271.895 
-9.31775e-06 -1.31404e-05 2.69789e+25 -1.50836 0.304101 271.591 
-7.40642e-06 -1.31404e-05 2.69579e+25 -1.55428 -0.00410434 271.737 
-5.49508e-06 -1.31404e-05 2.6918e+25 -1.68869 0.524722 272.041 
-3.58375e-06 -1.31404e-05 2.69133e+25 -2.21622 0.128818 272.145 
-1.67242e-06 -1.31404e-05 2.69356e+25 -1.9437 0.662029 271.994 
-1.69631e-05 -1.26626e-05 2.68504e+25 0.0166737 -0.194246 272.689 
-1.50517e-05 -1.26626e-05 2.69166e+25 -0.0413061 0.203187 271.996 
-1.31404e-05 -1.26626e-05 2.69043e+25 -0.519562 0.506091 272.19 
-1.12291e-05 -1.26626e-05 2.69001e+25 -0.599703 0.136852 272.148 
-9.31775e-06 -1.26626e-05 2.69646e+25 -1.59583 0.343773 271.517 
-7.40642e-06 -1.26626e-05 2.69206e+25 -1.61172 0.0622363 271.981 
-5.49508e-06 -1.26626e-05 2.69039e+25 -2.11668 0.451815 272.192 
-3.58375e-06 -1.26626e-05 2.69016e+25 -2.49082 0.328332 272.081 
-1.67242e-06 -1.26626e-05 2.69216e+25 -2.20213 0.610848 272.144 
-1.69631e-05 -1.21847e-05 2.68624e+25 -0.0662086 -0.126549 272.8 
-1.50517e-05 -1.21847e-05 2.69536e+25 -0.085848 0.263158 271.618 
-1.31404e-05 -1.21847e-05 2.69053e+25 -0.729253 0.629911 272.068 
-1.12291e-05 -1.21847e-05 2.691e+25 -1.01691 0.486507 272.042 
-9.31775e-06 -1.21847e-05 2.69571e+25 -1.81248 0.495074 271.802 
-7.40642e-06 -1.21847e-05 2.69439e+25 -1.8642 0.265813 271.805 
-5.49508e-06 -1.21847e-05 2.69386e+25 -2.43666 0.56946 271.93 
-3.58375e-06 -1.21847e-05 2.69396e+25 -2.54603 0.432496 272.053 
-1.67242e-06 -1.21847e-05 2.69202e+25 -2.49362 0.423859 271.893 
-1.69631e-05 -1.17069e-05 2.68459e+25 0.0219129 -0.0881821 272.878 
-1.50517e-05 -1.17069e-05 2.6958e+25 -0.243751 0.614871 271.644 
-1.31404e-05 -1.17069e-05 2.69268e+25 -0.792734 0.665006 272.131 
-1.12291e-05 -1.17069e-05 2.68944e+25 -1.32427 0.683144 272.245 
-9.31775e-06 -1.17069e-05 2.69318e+25 -1.69097 0.732764 271.798 
-7.40642e-06 -1.17069e-05 2.69089e+25 -2.29863 0.369708 271.909 
-5.49508e-06 -1.17069e-05 2.69178e+25 -2.5168 0.635202 271.898 
-3.58375e-06 -1.17069e-05 2.69399e+25 -2.76108 0.407389 271.887 
-1.67242e-06 -1.17069e-05 2.69172e+25 -2.35477 0.389233 272.094 
-1.69631e-05 -1.12291e-05 2.68438e+25 0.0537133 -0.117373 272.838 
-1.50517e-05 -1.12291e-05 2.69374e+25 -0.360934 0.649139 271.928 
-1.31404e-05 -1.12291e-05 2.69118e+25 -0.789036 0.632314 272.124 
-1.12291e-05 -1.12291e-05 2.68692e+25 -1.43643 0.701236 272.251 
-9.31775e-06 -1.12291e-05 2.69371e+25 -1.78865 0.866211 271.986 
-7.40642e-06 -1.12291e-05 2.69373e+25 -2.4501 0.492739 272.057 
-5.49508e-06 -1.12291e-05 2.69528e+25 -2.71278 0.810893 271.737 
-3.58375e-06 -1.12291e-05 2.69386e+25 -2.94322 0.34266 271.979 
-1.67242e-06 -1.12291e-05 2.6921e+25 -2.72111 0.36838 272.076 
-1.69631e-05 -1.07512e-05 2.68485e+25 0.0460287 -0.20413 272.676 
-1.50517e-05 -1.07512e-05 2.69607e+25 -0.236998 0.679629 271.64 
-1.31404e-05 -1.07512e-05 2.68929e+25 -0.705001 0.71381 272.076 
-1.12291e-05 -1.07512e-05 2.69005e+25 -1.32684 0.814376 272.057 
-9.31775e-06 -1.07512e-05 2.69324e+25 -2.01553 1.00298 272.01 
-7.40642e-06 -1.07512e-05 2.69011e+25 -2.29061 0.41001 272.139 
-5.49508e-06 -1.07512e-05 2.69755e+25 -2.9366 0.96986 271.463 
-3.58375e-06 -1.07512e-05 2.69368e+25 -3.05295 0.422124 272.121 
-1.67242e-06 -1.07512e-05 2.68753e+25 -3.44387 0.319743 272.236 
-1.69631e-05 -1.02734e-05 2.68544e+25 -0.11354 -0.126791 272.606 
-1.50517e-05 -1.02734e-05 2.69274e+25 -0.0807681 0.667483 271.934 
-1.31404e-05 -1.02734e-05 2.69113e+25 -0.770563 0.738846 272.129 
-1.12291e-05 -1.02734e-05 2.69119e+25 -1.33334 1.09644 272.098 
-9.31775e-06 -1.02734e-05 2.69386e+25 -1.90198 1.08563 271.7 
-7.40642e-06 -1.02734e-05 2.68828e+25 -2.24362 0.533143 272.205 
-5.49508e-06 -1.02734e-05 2.69711e+25 -3.01697 1.06625 271.335 
-3.58375e-06 -1.02734e-05 2.69314e+25 -3.127 0.548983 271.848 
-1.67242e-06 -1.02734e-05 2.68733e+25 -4.00553 0.375845 272.293 
-1.69631e-05 -9.79558e-06 2.68694e+25 0.0263851 0.0159895 272.538 
-1.50517e-05 -9.79558e-06 2.69333e+25 -0.299003 0.771337 271.931 
-1.31404e-05 -9.79558e-06 2.69418e+25 -0.608146 0.951021 271.952 
-1.12291e-05 -9.79558e-06 2.69535e+25 -1.33366 1.23425 271.809 
-9.31775e-06 -9.79558e-06 2.69331e+25 -2.05951 1.31844 271.963 
-7.40642e-06 -9.79558e-06 2.69249e+25 -2.57111 0.716006 271.942 
-5.49508e-06 -9.79558e-06 2.69716e+25 -3.31371 1.15279 271.341 
-3.58375e-06 -9.79558e-06 2.69289e+25 -3.39799 0.745103 271.88 
-1.67242e-06 -9.79558e-06 2.69314e+25 -4.31709 0.488981 271.996 
-1.69631e-05 -9.31775e-06 2.68541e+25 0.0352808 -0.0348853 272.825 
-1.50517e-05 -9.31775e-06 2.69377e+25 -0.105281 0.908188 271.789 
-1.31404e-05 -9.31775e-06 2.69601e+25 -0.638849 1.14212 271.68 
-1.12291e-05 -9.31775e-06 2.69671e+25 -1.18771 1.35051 271.566 
-9.31775e-06 -9.31775e-06 2.69445e+25 -2.02923 1.43623 271.828 
-7.40642e-06 -9.31775e-06 2.69296e+25 -2.68003 1.03075 271.923 
-5.49508e-06 -9.31775e-06 2.69931e+25 -3.44709 1.24324 271.282 
-3.58375e-06 -9.31775e-06 2.69467e+25 -3.77676 0.951864 271.723 
-1.67242e-06 -9.31775e-06 2.68877e+25 -4.50469 0.516884 272.136 
-1.69631e-05 -8.83992e-06 2.68375e+25 -0.118306 0.0567252 273.011 
-1.50517e-05 -8.83992e-06 2.69477e+25 -0.129587 0.882917 271.848 
-1.31404e-05 -8.83992e-06 2.69645e+25 -0.558348 1.28956 271.531 
-1.12291e-05 -8.83992e-06 2.69495e+25 -1.19965 1.74617 271.804 
-9.31775e-06 -8.83992e-06 2.6943e+25 -1.74748 1.59886 271.906 
-7.40642e-06 -8.83992e-06 2.69453e+25 -2.91623 1.32664 271.567 
-5.49508e-06 -8.83992e-06 2.70057e+25 -3.59524 1.23609 271.165 
-3.58375e-06 -8.83992e-06 2.697e+25 -4.06289 1.12874 271.499 
-1.67242e-06 -8.83992e-06 2.68916e+25 -4.45927 0.4533 272.343 
-1.69631e-05 -8.36208e-06 2.68463e+25 0.00543517 0.199296 272.981 
-1.50517e-05 -8.36208e-06 2.69328e+25 -0.231086 0.901165 271.886 
-1.31404e-05 -8.36208e-06 2.69725e+25 -0.786498 1.31863 271.581 
-1.12291e-05 -8.36208e-06 2.6928e+25 -1.2532 1.93442 271.977 
-9.31775e-06 -8.36208e-06 2.69492e+25 -1.48926 1.58333 271.88 
-7.40642e-06 -8.36208e-06 2.69632e+25 -2.75555 1.70031 271.579 
-5.49508e-06 -8.36208e-06 2.69977e+25 -3.51283 1.28971 271.223 
-3.58375e-06 -8.36208e-06 2.69685e+25 -4.22259 1.23621 271.706 
-1.67242e-06 -8.36208e-06 2.69064e+25 -4.64207 0.482967 272.206 
-1.69631e-05 -7.88425e-06 2.68441e+25 -0.0194565 0.215996 272.932 
-1.50517e-05 -7.88425e-06 2.69267e+25 -0.158039 1.01655 271.886 
-1.31404e-05 -7.88425e-06 2.69571e+25 -0.959522 1.51665 271.679 
-1.12291e-05 -7.88425e-06 2.69326e+25 -1.26119 1.98348 271.908 
-9.31775e-06 -7.88425e-06 2.69272e+25 -1.77876 1.68182 271.923 
-7.40642e-06 -7.88425e-06 2.69912e+25 -2.84287 2.0651 271.452 
-5.49508e-06 -7.88425e-06 2.69794e+25 -3.70541 1.47487 271.397 
-3.58375e-06 -7.88425e-06 2.69454e+25 -4.08312 1.39144 271.761 
-1.67242e-06 -7.88425e-06 2.69207e+25 -4.72185 0.563345 272.137 
-1.69631e-05 -7.40642e-06 2.68483e+25 0.0372087 0.197846 272.874 
-1.50517e-05 -7.40642e-06 2.6957e+25 -0.156803 1.26022 271.616 
-1.31404e-05 -7.40642e-06 2.69416e+25 -0.82755 1.50787 271.79 
-1.12291e-05 -7.40642e-06 2.69184e+25 -1.38348 2.1043 272.024 
-9.31775e-06 -7.40642e-06 2.69659e+25 -1.77774 2.0219 271.54 
-7.40642e-06 -7.40642e-06 2.70006e+25 -2.88332 2.46519 271.373 
-5.49508e-06 -7.40642e-06 2.69677e+25 -3.57856 1.52633 271.659 
-3.58375e-06 -7.40642e-06 2.69728e+25 -4.23668 1.63299 271.633 
-1.67242e-06 -7.40642e-06 2.69102e+25 -4.65372 0.724002 272.141 
-1.69631e-05 -6.92858e-06 2.68507e+25 0.0641517 0.170897 272.863 
-1.50517e-05 -6.92858e-06 2.69523e+25 -0.285477 1.51078 271.715 
-1.31404e-05 -6.92858e-06 2.69563e+25 -0.879803 1.53829 271.68 
-1.12291e-05 -6.92858e-06 2.6942e+25 -1.23516 2.21198 271.843 
-9.31775e-06 -6.92858e-06 2.6955e+25 -1.98046 2.24644 271.54 
-7.40642e-06 -6.92858e-06 2.69626e+25 -2.90402 2.68389 271.729 
-5.49508e-06 -6.92858e-06 2.69635e+25 -3.50281 1.69261 271.721 
-3.58375e-06 -6.92858e-06 2.69354e+25 -4.40116 1.82574 271.83 
-1.67242e-06 -6.92858e-06 2.69007e+25 -4.97881 0.986962 272.027 
-1.69631e-05 -6.45075e-06 2.68572e+25 -0.014955 0.181484 272.791 
-1.50517e-05 -6.45075e-06 2.69399e+25 -0.224487 1.546 271.784 
-1.31404e-05 -6.45075e-06 2.69549e+25 -0.776394 1.659 271.706 
-1.12291e-05 -6.45075e-06 2.6935e+25 -1.25936 2.34738 271.691 
-9.31775e-06 -6.45075e-06 2.69622e+25 -2.40204 2.3552 271.61 
-7.40642e-06 -6.45075e-06 2.6958e+25 -2.98035 2.92633 271.734 
-5.49508e-06 -6.45075e-06 2.69542e+25 -3.72228 1.90486 271.681 
-3.58375e-06 -6.45075e-06 2.69355e+25 -4.58849 1.94711 271.809 
-1.67242e-06 -6.45075e-06 2.69142e+25 -5.36477 1.12689 272.003 
-1.69631e-05 -5.97292e-06 2.68812e+25 -0.00958382 0.205411 272.744 
-1.50517e-05 -5.97292e-06 2.69598e+25 -0.473605 1.6782 271.647 
-1.31404e-05 -5.97292e-06 2.69458e+25 -0.89518 1.84987 271.824 
-1.12291e-05 -5.97292e-06 2.69377e+25 -1.73451 2.53077 271.873 
-9.31775e-06 -5.97292e-06 2.69455e+25 -2.54886 2.67917 271.701 
-7.40642e-06 -5.97292e-06 2.6951e+25 -3.15673 3.10096 271.508 
-5.49508e-06 -5.97292e-06 2.69489e+25 -4.13397 2.06582 271.729 
-3.58375e-06 -5.97292e-06 2.69575e+25 -4.70487 2.18817 271.856 
-1.67242e-06 -5.97292e-06 2.69e+25 -5.59866 1.19333 272.073 
-1.69631e-05 -5.49508e-06 2.68476e+25 0.0585235 0.239658 272.738 
-1.50517e-05 -5.49508e-06 2.69157e+25 -0.682621 1.8771 271.851 
-1.31404e-05 -5.49508e-06 2.69159e+25 -1.02118 2.11444 272.024 
-1.12291e-05 -5.49508e-06 2.69416e+25 -2.31424 2.74375 271.791 
-9.31775e-06 -5.49508e-06 2.69297e+25 -2.76383 2.91313 271.834 
-7.40642e-06 -5.49508e-06 2.69843e+25 -3.71486 3.27145 271.433 
-5.49508e-06 -5.49508e-06 2.69417e+25 -4.47586 2.18124 271.764 
-3.58375e-06 -5.49508e-06 2.69339e+25 -5.2531 2.38878 271.932 
-1.67242e-06 -5.49508e-06 2.68939e+25 -5.50666 1.28764 272.295 
-1.69631e-05 -5.01725e-06 2.6861e+25 -0.0266411 0.170193 272.872 
-1.50517e-05 -5.01725e-06 2.69391e+25 -0.909763 1.98045 271.819 
-1.31404e-05 -5.01725e-06 2.69098e+25 -1.14732 2.433 271.879 
-1.12291e-05 -5.01725e-06 2.6909e+25 -2.21716 3.02143 272.076 
-9.31775e-06 -5.01725e-06 2.69414e+25 -2.97646 3.01875 271.838 
-7.40642e-06 -5.01725e-06 2.69586e+25 -3.75032 3.44057 271.571 
-5.49508e-06 -5.01725e-06 2.68996e+25 -4.48115 2.43692 272.071 
-3.58375e-06 -5.01725e-06 2.68909e+25 -5.60989 2.54185 271.923 
-1.67242e-06 -5.01725e-06 2.68889e+25 -5.72165 1.46715 272.277 
-1.69631e-05 -4.53942e-06 2.68472e+25 0.0205764 0.195278 272.715 
-1.50517e-05 -4.53942e-06 2.6957e+25 -0.571753 1.96142 271.881 
-1.31404e-05 -4.53942e-06 2.68914e+25 -1.12764 2.64361 272.23 
-1.12291e-05 -4.53942e-06 2.6906e+25 -2.15142 3.37005 272.057 
-9.31775e-06 -4.53942e-06 2.69391e+25 -3.21012 3.24433 271.737 
-7.40642e-06 -4.53942e-06 2.69536e+25 -3.84801 3.61901 271.825 
-5.49508e-06 -4.53942e-06 2.69133e+25 -4.75544 2.72095 271.952 
-3.58375e-06 -4.53942e-06 2.69262e+25 -5.73076 2.6988 271.895 
-1.67242e-06 -4.53942e-06 2.68849e+25 -5.84537 1.49879 272.176 
-1.69631e-05 -4.06158e-06 2.6839e+25 -0.0326459 0.224717 272.687 
-1.50517e-05 -4.06158e-06 2.6942e+25 -0.412898 2.18011 271.912 
-1.31404e-05 -4.06158e-06 2.69066e+25 -1.15637 2.87487 272.235 
-1.12291e-05 -4.06158e-06 2.69324e+25 -1.96934 3.72935 271.834 
-9.31775e-06 -4.06158e-06 2.69502e+25 -3.18622 3.53242 271.599 
-7.40642e-06 -4.06158e-06 2.69073e+25 -3.66666 3.66103 271.96 
-5.49508e-06 -4.06158e-06 2.6906e+25 -4.40783 3.20099 272.086 
-3.58375e-06 -4.06158e-06 2.69131e+25 -5.39639 2.78614 271.976 
-1.67242e-06 -4.06158e-06 2.68999e+25 -6.03109 1.54834 272.076 
-1.69631e-05 -3.58375e-06 2.68406e+25 -0.0583695 0.413374 272.848 
-1.50517e-05 -3.58375e-06 2.68915e+25 -0.344589 2.37464 272.209 
-1.31404e-05 -3.58375e-06 2.69097e+25 -0.888064 3.27064 272.085 
-1.12291e-05 -3.58375e-06 2.69125e+25 -1.98478 3.94567 271.951 
-9.31775e-06 -3.58375e-06 2.69589e+25 -3.0903 3.78828 271.527 
