ITEM: TIMESTEP
80000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.67929e+25 0.0410679 -0.0393281 273.306 
-1.50517e-05 -1.69631e-05 2.68103e+25 0.0354363 0.0158271 273.109 
-1.31404e-05 -1.69631e-05 2.6816e+25 -0.0523255 0.0457777 272.821 
-1.12291e-05 -1.69631e-05 2.68354e+25 -0.0205834 0.0717204 272.749 
-9.31775e-06 -1.69631e-05 2.68433e+25 -0.0057818 -0.0528595 272.783 
-7.40642e-06 -1.69631e-05 2.68574e+25 -0.0849686 0.00534426 272.642 
-5.49508e-06 -1.69631e-05 2.68089e+25 -0.443921 0.037127 273.156 
-3.58375e-06 -1.69631e-05 2.685e+25 0.182132 -0.0951423 272.733 
-1.67242e-06 -1.69631e-05 2.68233e+25 -0.355538 0.0142163 273.062 
-1.69631e-05 -1.64852e-05 2.68392e+25 0.060164 -0.00496795 272.843 
-1.50517e-05 -1.64852e-05 2.69043e+25 -0.0773679 0.0717122 272.3 
-1.31404e-05 -1.64852e-05 2.68436e+25 -0.273169 0.166405 272.535 
-1.12291e-05 -1.64852e-05 2.68593e+25 -0.146854 -0.0159446 272.566 
-9.31775e-06 -1.64852e-05 2.68336e+25 -0.586254 0.0386708 272.879 
-7.40642e-06 -1.64852e-05 2.69277e+25 0.176395 -0.100342 272.022 
-5.49508e-06 -1.64852e-05 2.6839e+25 -0.21633 0.077467 272.63 
-3.58375e-06 -1.64852e-05 2.68712e+25 -0.0119256 0.0197132 272.468 
-1.67242e-06 -1.64852e-05 2.68315e+25 -0.482248 0.0928482 272.99 
-1.69631e-05 -1.60074e-05 2.69073e+25 -0.0345009 -0.069385 272.488 
-1.50517e-05 -1.60074e-05 2.69167e+25 -0.00805729 0.220513 272.066 
-1.31404e-05 -1.60074e-05 2.69203e+25 -0.417526 0.148797 272.282 
-1.12291e-05 -1.60074e-05 2.68959e+25 -0.432464 -0.155587 272.192 
-9.31775e-06 -1.60074e-05 2.67985e+25 -0.612359 0.184761 272.936 
-7.40642e-06 -1.60074e-05 2.69694e+25 -0.286939 -0.300312 271.553 
-5.49508e-06 -1.60074e-05 2.68706e+25 -0.452847 -0.197511 272.439 
-3.58375e-06 -1.60074e-05 2.68854e+25 -0.263892 0.0922195 272.268 
-1.67242e-06 -1.60074e-05 2.67984e+25 -0.933153 0.106115 273.134 
-1.69631e-05 -1.55296e-05 2.68791e+25 0.00621238 -0.109316 272.616 
-1.50517e-05 -1.55296e-05 2.69535e+25 -0.0742092 0.272083 271.856 
-1.31404e-05 -1.55296e-05 2.6919e+25 -0.342702 0.0676996 272.094 
