ITEM: TIMESTEP
960000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68317e+25 0.0259778 -0.0154539 272.993 
-1.50517e-05 -1.69631e-05 2.68358e+25 0.0236866 -0.0166645 272.813 
-1.31404e-05 -1.69631e-05 2.68358e+25 -0.00882149 0.0194543 272.893 
-1.12291e-05 -1.69631e-05 2.68381e+25 -0.0596514 0.0298399 272.806 
-9.31775e-06 -1.69631e-05 2.68441e+25 -0.131695 0.0135208 272.818 
-7.40642e-06 -1.69631e-05 2.68524e+25 -0.0762176 -0.0231969 272.791 
-5.49508e-06 -1.69631e-05 2.68427e+25 -0.159858 -0.00984017 272.853 
-3.58375e-06 -1.69631e-05 2.68462e+25 -0.153353 0.0228216 272.872 
-1.67242e-06 -1.69631e-05 2.68405e+25 -0.229238 -0.013776 272.855 
-1.69631e-05 -1.64852e-05 2.68403e+25 -0.00446288 -0.0246675 272.817 
-1.50517e-05 -1.64852e-05 2.68667e+25 0.0477236 0.0111921 272.522 
-1.31404e-05 -1.64852e-05 2.68623e+25 0.0123084 0.0408818 272.513 
-1.12291e-05 -1.64852e-05 2.68583e+25 -0.0799723 0.0364827 272.546 
-9.31775e-06 -1.64852e-05 2.68715e+25 -0.281508 -0.0282289 272.537 
-7.40642e-06 -1.64852e-05 2.68797e+25 -0.206722 -0.0656005 272.424 
-5.49508e-06 -1.64852e-05 2.68686e+25 -0.426358 0.045696 272.458 
-3.58375e-06 -1.64852e-05 2.68643e+25 -0.441476 0.071098 272.587 
-1.67242e-06 -1.64852e-05 2.6865e+25 -0.499351 -0.0510404 272.648 
-1.69631e-05 -1.60074e-05 2.68505e+25 -0.0173839 -0.0181024 272.757 
-1.50517e-05 -1.60074e-05 2.68846e+25 0.0400812 0.0755454 272.454 
-1.31404e-05 -1.60074e-05 2.68977e+25 -0.0508251 0.0518167 272.271 
-1.12291e-05 -1.60074e-05 2.68929e+25 0.00741443 0.0196995 272.341 
-9.31775e-06 -1.60074e-05 2.68819e+25 -0.360497 -0.0514228 272.382 
-7.40642e-06 -1.60074e-05 2.68957e+25 -0.442496 -0.034442 272.208 
-5.49508e-06 -1.60074e-05 2.68954e+25 -0.69707 0.0847562 272.236 
-3.58375e-06 -1.60074e-05 2.68805e+25 -0.789865 0.0859534 272.424 
-1.67242e-06 -1.60074e-05 2.68828e+25 -0.827826 -0.0451391 272.456 
-1.69631e-05 -1.55296e-05 2.68445e+25 -0.0155382 0.0224067 272.804 
-1.50517e-05 -1.55296e-05 2.68996e+25 -0.0205407 0.0979994 272.26 
