ITEM: TIMESTEP
670000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68349e+25 0.0517014 -0.0554775 272.952 
-1.50517e-05 -1.69631e-05 2.68449e+25 -0.0632937 0.000711569 272.81 
-1.31404e-05 -1.69631e-05 2.68383e+25 0.00178292 0.0171717 272.891 
-1.12291e-05 -1.69631e-05 2.68398e+25 -0.0393982 0.0446312 272.806 
-9.31775e-06 -1.69631e-05 2.68466e+25 -0.104678 -0.00444266 272.803 
-7.40642e-06 -1.69631e-05 2.68588e+25 -0.024416 0.00729864 272.777 
-5.49508e-06 -1.69631e-05 2.68467e+25 -0.190812 -0.00787077 272.839 
-3.58375e-06 -1.69631e-05 2.68539e+25 -0.162768 0.0437389 272.849 
-1.67242e-06 -1.69631e-05 2.68495e+25 -0.208054 -0.0102196 272.822 
-1.69631e-05 -1.64852e-05 2.68394e+25 0.000302646 -0.075051 272.836 
-1.50517e-05 -1.64852e-05 2.68771e+25 0.00216813 0.0520407 272.486 
-1.31404e-05 -1.64852e-05 2.68689e+25 -0.0221655 0.0292368 272.505 
-1.12291e-05 -1.64852e-05 2.6866e+25 -0.0905716 0.0633512 272.539 
-9.31775e-06 -1.64852e-05 2.68747e+25 -0.304681 -0.0486553 272.528 
-7.40642e-06 -1.64852e-05 2.68889e+25 -0.17149 -0.0284968 272.336 
-5.49508e-06 -1.64852e-05 2.68757e+25 -0.397112 0.0312917 272.401 
-3.58375e-06 -1.64852e-05 2.68756e+25 -0.416551 0.0730305 272.536 
-1.67242e-06 -1.64852e-05 2.68627e+25 -0.426621 -0.0582078 272.704 
-1.69631e-05 -1.60074e-05 2.6852e+25 -0.0303501 -0.0661989 272.754 
-1.50517e-05 -1.60074e-05 2.68871e+25 0.0450603 0.14167 272.46 
-1.31404e-05 -1.60074e-05 2.68997e+25 -0.125424 -0.00942143 272.242 
-1.12291e-05 -1.60074e-05 2.6899e+25 0.0339155 0.051407 272.303 
-9.31775e-06 -1.60074e-05 2.68832e+25 -0.392576 -0.0738454 272.372 
-7.40642e-06 -1.60074e-05 2.69046e+25 -0.448017 -0.0323312 272.172 
-5.49508e-06 -1.60074e-05 2.69009e+25 -0.674674 0.0831254 272.179 
-3.58375e-06 -1.60074e-05 2.68856e+25 -0.732755 0.0705528 272.37 
-1.67242e-06 -1.60074e-05 2.68829e+25 -0.751225 -0.0610078 272.485 
-1.69631e-05 -1.55296e-05 2.68464e+25 -0.00705829 -0.0231891 272.822 
-1.50517e-05 -1.55296e-05 2.69085e+25 -0.0268328 0.209304 272.292 
