ITEM: TIMESTEP
840000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68303e+25 0.0319883 -0.0270963 272.988 
-1.50517e-05 -1.69631e-05 2.68376e+25 0.00857072 -0.0197173 272.814 
-1.31404e-05 -1.69631e-05 2.68365e+25 -0.00615991 0.0358788 272.891 
-1.12291e-05 -1.69631e-05 2.68347e+25 -0.0358685 0.0362035 272.828 
-9.31775e-06 -1.69631e-05 2.68454e+25 -0.105043 0.00431085 272.802 
-7.40642e-06 -1.69631e-05 2.68494e+25 -0.0437059 -0.0201625 272.809 
-5.49508e-06 -1.69631e-05 2.68432e+25 -0.153816 -0.0126378 272.829 
-3.58375e-06 -1.69631e-05 2.68478e+25 -0.136697 0.0337054 272.861 
-1.67242e-06 -1.69631e-05 2.68449e+25 -0.214631 -0.0108663 272.828 
-1.69631e-05 -1.64852e-05 2.68417e+25 -0.00735365 -0.0388957 272.807 
-1.50517e-05 -1.64852e-05 2.68716e+25 0.0219384 0.0111808 272.518 
-1.31404e-05 -1.64852e-05 2.68648e+25 0.00963732 0.0588032 272.511 
-1.12291e-05 -1.64852e-05 2.68591e+25 -0.0122055 0.0155249 272.554 
-9.31775e-06 -1.64852e-05 2.68757e+25 -0.226476 -0.00311267 272.496 
-7.40642e-06 -1.64852e-05 2.68783e+25 -0.161859 -0.0725191 272.414 
-5.49508e-06 -1.64852e-05 2.68732e+25 -0.391874 0.0178871 272.438 
-3.58375e-06 -1.64852e-05 2.68671e+25 -0.421967 0.0970219 272.591 
-1.67242e-06 -1.64852e-05 2.68632e+25 -0.458768 -0.0501939 272.669 
-1.69631e-05 -1.60074e-05 2.68538e+25 -0.0202752 -0.0232248 272.732 
-1.50517e-05 -1.60074e-05 2.68844e+25 0.0566114 0.08242 272.457 
-1.31404e-05 -1.60074e-05 2.69009e+25 -0.0289157 0.0271458 272.242 
-1.12291e-05 -1.60074e-05 2.68947e+25 0.119147 -0.0125484 272.317 
-9.31775e-06 -1.60074e-05 2.68848e+25 -0.294889 0.00705211 272.338 
-7.40642e-06 -1.60074e-05 2.68969e+25 -0.375294 -0.0548709 272.203 
-5.49508e-06 -1.60074e-05 2.69016e+25 -0.649341 0.0657021 272.201 
-3.58375e-06 -1.60074e-05 2.68839e+25 -0.73757 0.110591 272.405 
-1.67242e-06 -1.60074e-05 2.68864e+25 -0.756325 -0.0587459 272.426 
-1.69631e-05 -1.55296e-05 2.68438e+25 -0.00867833 0.0100367 272.807 
-1.50517e-05 -1.55296e-05 2.69011e+25 -0.0135907 0.116859 272.267 
