TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6963e-05,-1.6963e-05,2.6866e+25,0.17392,-0.10168,273.09
-1.6963e-05,-1.6485e-05,2.6852e+25,-0.012845,-0.1531,272.65
-1.6963e-05,-1.6007e-05,2.6902e+25,-0.030658,-0.10848,272.61
-1.6963e-05,-1.553e-05,2.6883e+25,-0.20455,0.014029,272.79
-1.6963e-05,-1.5052e-05,2.6859e+25,-0.065626,0.35041,272.97
-1.6963e-05,-1.4574e-05,2.6864e+25,0.13207,0.37244,272.93
-1.6963e-05,-1.4096e-05,2.6868e+25,0.068558,0.060141,272.74
-1.6963e-05,-1.3618e-05,2.6797e+25,-0.038225,0.050872,273.06
-1.6963e-05,-1.314e-05,2.6787e+25,0.22093,-0.14581,272.99
-1.6963e-05,-1.2663e-05,2.6823e+25,0.15606,-0.52774,272.69
-1.6963e-05,-1.2185e-05,2.6853e+25,-0.01406,-0.60314,272.53
-1.6963e-05,-1.1707e-05,2.6862e+25,-0.044605,-0.62098,272.79
-1.6963e-05,-1.1229e-05,2.682e+25,-0.0058663,-0.45871,272.86
-1.6963e-05,-1.0751e-05,2.6852e+25,-0.22586,-0.12224,272.33
-1.6963e-05,-1.0273e-05,2.6876e+25,-0.016254,0.10057,272.31
-1.6963e-05,-9.7956e-06,2.6886e+25,0.11678,0.016549,272.7
-1.6963e-05,-9.3178e-06,2.6837e+25,0.11125,-0.3454,272.97
-1.6963e-05,-8.8399e-06,2.6871e+25,-0.043849,-0.35618,272.99
-1.6963e-05,-8.3621e-06,2.6867e+25,0.005639,-0.23547,272.98
-1.6963e-05,-7.8842e-06,2.6839e+25,-0.092181,-0.1083,272.91
-1.6963e-05,-7.4064e-06,2.6833e+25,-0.01433,-0.0061109,272.87
-1.6963e-05,-6.9286e-06,2.6878e+25,0.048259,0.09148,272.85
-1.6963e-05,-6.4508e-06,2.6917e+25,-0.21271,0.41265,272.54
-1.6963e-05,-5.9729e-06,2.6892e+25,-0.14271,0.82029,272.86
-1.6963e-05,-5.4951e-06,2.6816e+25,0.19474,0.82293,272.59
-1.6963e-05,-5.0173e-06,2.6807e+25,0.035894,0.53083,273.09
-1.6963e-05,-4.5394e-06,2.6853e+25,0.010115,0.51816,272.74
-1.6963e-05,-4.0616e-06,2.687e+25,-0.1964,0.68845,272.74
-1.6963e-05,-3.5838e-06,2.6796e+25,-0.016648,1.0186,273.12
-1.6963e-05,-3.1059e-06,2.6865e+25,-0.036519,1.0082,272.89
-1.6963e-05,-2.6281e-06,2.6867e+25,0.44477,0.65239,272.98
-1.6963e-05,-2.1502e-06,2.6849e+25,0.10942,0.33991,272.6
-1.6963e-05,-1.6724e-06,2.6856e+25,-0.17654,0.32296,272.88
-1.6963e-05,-1.1946e-06,2.6782e+25,-0.087781,0.60745,273.33
-1.6963e-05,-7.1675e-07,2.6866e+25,-0.029017,0.54527,272.95
-1.6963e-05,-2.3892e-07,2.6808e+25,0.010422,0.55051,272.89
