TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6963e-05,1.5052e-05,2.6699e+25,-0.46269,4.1976,272.79
-1.6963e-05,1.553e-05,2.6622e+25,-0.65343,5.4591,272.79
-1.6963e-05,1.6007e-05,2.6508e+25,-0.82846,7.053,272.8
-1.6963e-05,1.6485e-05,2.628e+25,-0.3889,8.5397,272.81
-1.6963e-05,1.6963e-05,2.5528e+25,4.0612,6.242,273.07
-1.6485e-05,-1.6963e-05,2.6841e+25,0.0022753,-7.004e-05,272.92
-1.6485e-05,-1.6485e-05,2.6867e+25,0.0266,0.0028445,272.64
-1.6485e-05,-1.6007e-05,2.688e+25,-0.0027936,-0.043857,272.45
-1.6485e-05,-1.553e-05,2.6869e+25,-0.01554,-0.10533,272.57
-1.6485e-05,-1.5052e-05,2.6865e+25,0.032547,-0.12205,272.6
-1.6485e-05,-1.4574e-05,2.6866e+25,0.037181,-0.096038,272.58
-1.6485e-05,-1.4096e-05,2.6872e+25,0.043106,-0.083039,272.56
-1.6485e-05,-1.3618e-05,2.687e+25,-0.052467,-0.049829,272.56
-1.6485e-05,-1.314e-05,2.6869e+25,-0.021702,-0.034836,272.54
-1.6485e-05,-1.2663e-05,2.689e+25,0.0022212,-0.010216,272.42
-1.6485e-05,-1.2185e-05,2.687e+25,0.05006,-0.028182,272.46
-1.6485e-05,-1.1707e-05,2.6862e+25,0.0052501,-0.0020141,272.5
-1.6485e-05,-1.1229e-05,2.688e+25,-0.042025,0.021922,272.46
-1.6485e-05,-1.0751e-05,2.687e+25,0.0050952,0.030256,272.44
-1.6485e-05,-1.0273e-05,2.6881e+25,-0.10467,0.052781,272.45
-1.6485e-05,-9.7956e-06,2.6878e+25,-0.084926,0.10491,272.46
-1.6485e-05,-9.3178e-06,2.6874e+25,-0.050446,0.18026,272.49
-1.6485e-05,-8.8399e-06,2.6868e+25,-0.054166,0.21063,272.56
-1.6485e-05,-8.3621e-06,2.687e+25,-0.075422,0.28628,272.52
-1.6485e-05,-7.8842e-06,2.688e+25,-0.032188,0.37399,272.49
-1.6485e-05,-7.4064e-06,2.6867e+25,0.074764,0.34984,272.5
-1.6485e-05,-6.9286e-06,2.6886e+25,-0.016964,0.38275,272.41
-1.6485e-05,-6.4508e-06,2.6883e+25,-0.066386,0.36872,272.39
-1.6485e-05,-5.9729e-06,2.6874e+25,-0.080243,0.39807,272.52
-1.6485e-05,-5.4951e-06,2.6872e+25,0.00021439,0.49412,272.54
-1.6485e-05,-5.0173e-06,2.6879e+25,-0.043069,0.5789,272.41
-1.6485e-05,-4.5394e-06,2.6877e+25,0.0066056,0.60518,272.42
-1.6485e-05,-4.0616e-06,2.6877e+25,-0.0054599,0.64585,272.4
-1.6485e-05,-3.5838e-06,2.6879e+25,-0.10802,0.7118,272.45
-1.6485e-05,-3.1059e-06,2.6876e+25,-0.12758,0.8005,272.46
-1.6485e-05,-2.6281e-06,2.688e+25,-0.038037,0.89723,272.41
-1.6485e-05,-2.1502e-06,2.6876e+25,-0.043549,0.96179,272.46
-1.6485e-05,-1.6724e-06,2.6875e+25,-0.038636,0.97982,272.43
-1.6485e-05,-1.1946e-06,2.6866e+25,0.0065396,1.0089,272.52
-1.6485e-05,-7.1675e-07,2.6867e+25,-0.020494,1.0541,272.5
-1.6485e-05,-2.3892e-07,2.6851e+25,-0.052408,1.0823,272.49
-1.6485e-05,2.3892e-07,2.6847e+25,-0.10496,1.1674,272.45
-1.6485e-05,7.1675e-07,2.6863e+25,-0.0070879,1.2041,272.41
-1.6485e-05,1.1946e-06,2.6873e+25,-0.085369,1.2733,272.38
-1.6485e-05,1.6724e-06,2.6869e+25,-0.0109,1.3449,272.47
-1.6485e-05,2.1502e-06,2.6865e+25,-0.03209,1.3273,272.41
-1.6485e-05,2.6281e-06,2.6854e+25,-0.028092,1.3373,272.5
-1.6485e-05,3.1059e-06,2.6848e+25,-0.004793,1.3711,272.6
-1.6485e-05,3.5838e-06,2.6853e+25,0.035021,1.4111,272.53
-1.6485e-05,4.0616e-06,2.6851e+25,-0.047246,1.4352,272.52
-1.6485e-05,4.5394e-06,2.6836e+25,0.012374,1.4521,272.56
-1.6485e-05,5.0173e-06,2.6846e+25,-0.056671,1.5111,272.52
-1.6485e-05,5.4951e-06,2.6849e+25,-0.12045,1.5915,272.52
-1.6485e-05,5.9729e-06,2.6856e+25,-0.12761,1.6904,272.37
-1.6485e-05,6.4508e-06,2.6851e+25,-0.039392,1.7492,272.38
-1.6485e-05,6.9286e-06,2.6846e+25,0.027295,1.7655,272.52
-1.6485e-05,7.4064e-06,2.684e+25,-0.026567,1.8485,272.57
-1.6485e-05,7.8842e-06,2.6839e+25,-0.058205,1.9246,272.54
-1.6485e-05,8.3621e-06,2.6853e+25,-0.077119,2.0426,272.41
-1.6485e-05,8.8399e-06,2.6843e+25,-0.1532,2.1861,272.47
-1.6485e-05,9.3178e-06,2.6832e+25,-0.10717,2.3047,272.49
-1.6485e-05,9.7956e-06,2.6829e+25,-0.12653,2.4127,272.51
-1.6485e-05,1.0273e-05,2.6822e+25,-0.28218,2.5611,272.6
-1.6485e-05,1.0751e-05,2.6811e+25,-0.21036,2.7626,272.64
-1.6485e-05,1.1229e-05,2.6815e+25,-0.19969,2.9933,272.54
-1.6485e-05,1.1707e-05,2.6818e+25,-0.21998,3.2645,272.46
-1.6485e-05,1.2185e-05,2.6806e+25,-0.27242,3.5767,272.53
-1.6485e-05,1.2663e-05,2.6815e+25,-0.41275,4.0299,272.4
-1.6485e-05,1.314e-05,2.6818e+25,-0.54495,4.5164,272.39
-1.6485e-05,1.3618e-05,2.6791e+25,-0.75808,5.2081,272.42
-1.6485e-05,1.4096e-05,2.6781e+25,-0.94373,6.0362,272.45
-1.6485e-05,1.4574e-05,2.6755e+25,-1.3645,7.0841,272.44
-1.6485e-05,1.5052e-05,2.6711e+25,-1.748,8.3583,272.52
-1.6485e-05,1.553e-05,2.666e+25,-2.071,9.6622,272.49
-1.6485e-05,1.6007e-05,2.658e+25,-1.8835,10.484,272.62
-1.6485e-05,1.6485e-05,2.646e+25,0.79028,9.2217,272.82
-1.6485e-05,1.6963e-05,2.6233e+25,12.447,3.4823,273.42
-1.6007e-05,-1.6963e-05,2.6846e+25,0.02259,0.0067525,272.84
-1.6007e-05,-1.6485e-05,2.688e+25,0.064798,-0.044954,272.47
-1.6007e-05,-1.6007e-05,2.6896e+25,0.049942,-0.073659,272.38
-1.6007e-05,-1.553e-05,2.6885e+25,0.020933,-0.082017,272.34
-1.6007e-05,-1.5052e-05,2.6884e+25,0.037248,-0.11074,272.4
-1.6007e-05,-1.4574e-05,2.6888e+25,0.02968,-0.16336,272.36
-1.6007e-05,-1.4096e-05,2.6884e+25,-0.020732,-0.097242,272.38
-1.6007e-05,-1.3618e-05,2.6881e+25,-0.085613,-0.03018,272.38
-1.6007e-05,-1.314e-05,2.6883e+25,-0.051361,-0.015827,272.39
-1.6007e-05,-1.2663e-05,2.6903e+25,-0.071045,0.071725,272.23
-1.6007e-05,-1.2185e-05,2.6892e+25,0.02498,0.17862,272.33
-1.6007e-05,-1.1707e-05,2.6894e+25,-0.0071231,0.17822,272.26
-1.6007e-05,-1.1229e-05,2.6896e+25,-0.086251,0.20921,272.21
-1.6007e-05,-1.0751e-05,2.6898e+25,-0.048485,0.26437,272.21
-1.6007e-05,-1.0273e-05,2.69e+25,-0.094096,0.3151,272.19
-1.6007e-05,-9.7956e-06,2.6898e+25,-0.16135,0.27303,272.2
-1.6007e-05,-9.3178e-06,2.6896e+25,-0.081605,0.33325,272.26
-1.6007e-05,-8.8399e-06,2.6882e+25,-0.091129,0.3468,272.36
