ITEM: TIMESTEP
900000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68292e+25 0.0316407 -0.0221117 273.002 
-1.50517e-05 -1.69631e-05 2.68351e+25 0.0102018 -0.0149163 272.828 
-1.31404e-05 -1.69631e-05 2.68394e+25 -0.0103588 0.0235801 272.873 
-1.12291e-05 -1.69631e-05 2.68374e+25 -0.0580201 0.0369509 272.814 
-9.31775e-06 -1.69631e-05 2.68475e+25 -0.0985146 0.00896624 272.8 
-7.40642e-06 -1.69631e-05 2.68529e+25 -0.0477341 -0.0221668 272.798 
-5.49508e-06 -1.69631e-05 2.68421e+25 -0.150317 -0.0129371 272.856 
-3.58375e-06 -1.69631e-05 2.6847e+25 -0.155694 0.0357781 272.866 
-1.67242e-06 -1.69631e-05 2.68445e+25 -0.232458 -0.00718483 272.837 
-1.69631e-05 -1.64852e-05 2.6841e+25 -0.00230904 -0.0428999 272.812 
-1.50517e-05 -1.64852e-05 2.68674e+25 0.0328725 0.0207541 272.534 
-1.31404e-05 -1.64852e-05 2.6864e+25 0.0152852 0.0424278 272.512 
-1.12291e-05 -1.64852e-05 2.68582e+25 -0.0591263 0.0345022 272.556 
-9.31775e-06 -1.64852e-05 2.68733e+25 -0.231133 -0.0240738 272.518 
-7.40642e-06 -1.64852e-05 2.68802e+25 -0.173777 -0.0706645 272.432 
-5.49508e-06 -1.64852e-05 2.68686e+25 -0.408811 0.028336 272.476 
-3.58375e-06 -1.64852e-05 2.68651e+25 -0.431728 0.0809507 272.584 
-1.67242e-06 -1.64852e-05 2.68658e+25 -0.491279 -0.0461835 272.659 
-1.69631e-05 -1.60074e-05 2.68527e+25 -0.0175755 -0.0335638 272.743 
-1.50517e-05 -1.60074e-05 2.68842e+25 0.0576551 0.0754647 272.464 
-1.31404e-05 -1.60074e-05 2.69014e+25 -0.0357097 0.0330313 272.255 
-1.12291e-05 -1.60074e-05 2.6895e+25 0.0629091 0.00508253 272.331 
-9.31775e-06 -1.60074e-05 2.68869e+25 -0.320339 -0.0475766 272.339 
-7.40642e-06 -1.60074e-05 2.68984e+25 -0.408897 -0.0313996 272.207 
-5.49508e-06 -1.60074e-05 2.68956e+25 -0.707084 0.0684561 272.242 
-3.58375e-06 -1.60074e-05 2.68832e+25 -0.753523 0.0843961 272.401 
-1.67242e-06 -1.60074e-05 2.68844e+25 -0.825497 -0.0422463 272.449 
-1.69631e-05 -1.55296e-05 2.68457e+25 -0.0160671 0.00340635 272.797 
-1.50517e-05 -1.55296e-05 2.68999e+25 -0.00849173 0.094567 272.268 
