# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0.00064 0 0 0
2 0.00064 0 0 0
3 33.8541 101305 -162.742 -3331.04
4 33.8435 101301 150.12 1071.25
100000 4
1 0.00088 0 0 0
2 0.00086 0 0 0
3 33.9076 101464 -168.583 2834.06
4 33.8998 101458 159.441 -560.462
