# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0.00036 0 0 0
2 0.00036 0 0 0
3 33.9104 101513 -127.601 10110.7
4 33.9442 101562 129.327 -2962.06
100000 4
1 0.0002 0 0 0
2 0.00022 0 0 0
3 33.8692 101371 -125.842 5576.38
4 33.8843 101390 126.142 -1556.26
