ITEM: TIMESTEP
75000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_2[1] f_2[2] f_2[3] 
1 2.4771e-08 137.545 -39.306 2.13856 
5 2.22939e-07 113.109 -14.3664 48.609 
9 4.21107e-07 123.407 -38.6914 24.7327 
13 6.19275e-07 106.908 -12.9545 19.5266 
17 8.17443e-07 87.108 -8.35447 2.02382 
21 1.01561e-06 144.776 26.5862 25.403 
25 1.21378e-06 129.116 -11.4418 5.62423 
2 7.4313e-08 129.583 77.9926 16.5122 
6 2.72481e-07 131.191 57.3362 34.8562 
10 4.70649e-07 119.62 -18.1684 38.0225 
14 6.68817e-07 93.9962 -64.1113 19.283 
18 8.66985e-07 109.318 -24.3254 22.1952 
22 1.06515e-06 92.3513 58.5743 6.45968 
3 1.23855e-07 131.978 99.4282 -11.5239 
7 3.22023e-07 112.335 -32.4112 6.11333 
11 5.20191e-07 105.211 -24.4158 61.1402 
15 7.18359e-07 133.148 -71.9591 -5.37371 
19 9.16527e-07 108.737 -4.72532 -9.13446 
23 1.11469e-06 118.392 -18.736 22.7047 
4 1.73397e-07 94.7564 -29.3201 9.08612 
8 3.71565e-07 134.892 -35.1031 45.9778 
12 5.69733e-07 121.019 46.336 10.4346 
16 7.67901e-07 136.253 -9.51505 29.3516 
20 9.66069e-07 130.017 -3.7359 51.4727 
24 1.16424e-06 99.7571 -99.0897 -1.44687 
26 1.26332e-06 104.164 -7.83978 14.8333 
30 1.46149e-06 124.892 114.281 35.0644 
34 1.65966e-06 130.806 39.3789 20.7505 
38 1.85782e-06 132.164 -30.5907 15.1479 
42 2.05599e-06 123.331 -13.3494 27.2423 
46 2.25416e-06 144.58 8.3515 40.0121 
50 2.45233e-06 118.717 -9.70041 16.6747 
29 1.41195e-06 109.589 -8.30693 19.0721 
33 1.61012e-06 100.806 -4.02853 25.3673 
37 1.80828e-06 119.651 24.6275 16.5387 
41 2.00645e-06 132.641 36.1289 33.6676 
45 2.20462e-06 108.432 -72.0254 21.4975 
49 2.40279e-06 128.82 -17.2111 -9.26285 
27 1.31286e-06 130.897 20.8146 4.97033 
31 1.51103e-06 117.662 15.5889 10.6686 
35 1.7092e-06 125.757 -45.8805 23.7871 
39 1.90737e-06 141.652 -32.6057 42.4329 
43 2.10553e-06 95.8358 -37.8494 36.1605 
47 2.3037e-06 104.63 52.1482 16.7386 
28 1.3624e-06 114.348 80.8332 29.8451 
32 1.56057e-06 117.661 -25.1498 13.554 
36 1.75874e-06 108.952 74.1222 12.1461 
40 1.95691e-06 114.125 39.3586 18.8585 
44 2.15508e-06 110.999 -15.4638 -2.55737 
48 2.35324e-06 108.765 -14.0217 42.4592 
51 2.50187e-06 105.286 9.02578 16.5983 
55 2.70004e-06 149.254 -23.6342 -9.82986 
59 2.89821e-06 116.227 9.00827 9.0513 
63 3.09637e-06 106.537 52.166 0.434428 
67 3.29454e-06 69.4084 -6.59278 26.2773 
71 3.49271e-06 109.361 8.23384 22.73 
75 3.69088e-06 137.314 36.0267 39.5997 
53 2.60096e-06 83.3943 90.5914 0.515336 
57 2.79912e-06 112.65 51.7362 8.2977 
61 2.99729e-06 95.0919 -1.05917 31.4055 
65 3.19546e-06 116.152 -4.95882 7.01201 
69 3.39363e-06 118.429 -40.5239 18.5711 
73 3.5918e-06 102.312 71.5908 24.3992 
54 2.6505e-06 128.02 -62.2978 41.0861 
58 2.84867e-06 89.2096 -44.1966 -0.801541 
62 3.04683e-06 148.362 -29.271 10.1057 
66 3.245e-06 110.097 19.8469 37.1792 
70 3.44317e-06 143.503 31.6461 21.7321 
74 3.64134e-06 112.196 -50.3872 49.4741 
52 2.55141e-06 127.582 19.4378 -20.2845 
56 2.74958e-06 142.827 -18.1651 70.2554 
60 2.94775e-06 120.068 38.4626 26.0258 
64 3.14592e-06 131.028 54.4866 43.9097 
68 3.34408e-06 145.673 -48.9565 42.192 
72 3.54225e-06 98.0998 -7.94594 4.10677 
76 3.74042e-06 89.2663 -74.6689 20.1994 
80 3.93859e-06 93.1888 -89.3894 -5.95245 
84 4.13676e-06 122.022 14.3143 18.271 
88 4.33492e-06 176.242 64.5729 38.3259 
92 4.53309e-06 117.413 51.0094 -13.0007 
96 4.73126e-06 128.556 90.0093 10.5004 
100 4.92943e-06 82.258 -49.8112 19.6368 
77 3.78996e-06 119.199 13.4623 1.56345 
81 3.98813e-06 120.479 5.3607 -16.3998 
85 4.1863e-06 138.796 26.1035 36.5756 
89 4.38447e-06 130.82 -13.6381 20.2248 
93 4.58263e-06 128.26 -83.1205 30.0389 
97 4.7808e-06 107.073 -99.2124 14.4762 
78 3.8395e-06 125.754 95.5651 -7.66774 
82 4.03767e-06 84.1303 -27.7312 3.642 
86 4.23584e-06 119.43 -54.2472 6.14771 
90 4.43401e-06 107.409 58.2004 72.3735 
94 4.63218e-06 148.787 -7.14748 -15.937 
98 4.83034e-06 92.995 -0.709039 22.8604 
79 3.88905e-06 114.31 50.9385 10.2398 
83 4.08721e-06 99.7637 14.4917 25.9332 
87 4.28538e-06 137.128 -13.9875 4.71325 
91 4.48355e-06 104.163 47.7356 1.28519 
95 4.68172e-06 75.011 -56.7539 14.9608 
99 4.87989e-06 133.847 -35.3327 -4.17912 
