ITEM: TIMESTEP
1200000
ITEM: NUMBER OF CELLS
300
ITEM: BOX BOUNDS pp ss pp
0 1
0 6.3593e-05
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] f_1[5] f_1[6] f_1[7] f_1[8] 
4 7.41918e-07 201.437 1.79529 4.49302 273.13 102111 102124 -26.4076 1236.58 
8 1.58983e-06 201.065 1.79197 8.89815 273.673 102125 102120 -27.2229 -1345.33 
12 2.43773e-06 201.005 1.79144 13.0696 273.737 102118 102118 -30.7165 -6763.38 
16 3.28564e-06 200.865 1.79018 17.1713 273.972 102135 102134 -27.1289 -1007.16 
20 4.13355e-06 200.745 1.78912 21.4821 274.051 102104 102108 -11.5702 -6909.89 
24 4.98145e-06 200.667 1.78842 25.6664 274.215 102125 102132 -22.8251 -3154.45 
28 5.82936e-06 200.544 1.78732 29.5639 274.336 102107 102125 -30.7047 -5911.15 
32 6.67727e-06 200.357 1.78566 33.1538 274.652 102129 102126 -23.2132 -5411.66 
36 7.52517e-06 200.306 1.7852 36.6552 274.702 102122 102118 -5.75484 -4264.37 
40 8.37308e-06 200.189 1.78416 40.264 274.882 102129 102114 -25.3529 3366.74 
44 9.22099e-06 200.145 1.78377 43.4721 274.89 102110 102128 -15.6093 -4521.68 
48 1.00689e-05 200.15 1.78382 46.821 274.941 102132 102127 -19.2906 537.171 
52 1.09168e-05 200.021 1.78266 50.1354 275.051 102106 102120 5.50532 611.101 
56 1.17647e-05 200.049 1.78292 53.1252 275.036 102115 102130 -13.5596 -2521.63 
60 1.26126e-05 200.036 1.7828 56.2015 275.095 102130 102122 -7.87515 -3674.62 
64 1.34605e-05 199.947 1.782 59.1256 275.192 102121 102118 -7.26295 1951.5 
68 1.43084e-05 199.839 1.78104 61.8841 275.381 102136 102122 -6.10491 -1251.75 
72 1.51563e-05 199.858 1.78122 64.2848 275.37 102142 102122 -11.0478 4207.81 
78 1.64282e-05 199.864 1.78126 68.0346 275.367 102143 102133 -17.0187 -4191.02 
82 1.72761e-05 199.764 1.78038 70.3549 275.444 102121 102119 -4.09539 1510.9 
86 1.8124e-05 199.697 1.77978 72.2037 275.527 102117 102121 -0.645032 -628.072 
90 1.89719e-05 199.744 1.7802 74.3372 275.405 102097 102128 -4.08722 1954.87 
94 1.98198e-05 199.603 1.77894 76.0828 275.599 102096 102112 -16.2542 1951.37 
98 2.06677e-05 199.582 1.77875 77.6376 275.678 102114 102122 9.04726 -385.944 
102 2.15156e-05 199.762 1.78036 79.1971 275.467 102128 102122 -1.32669 -1138.45 
106 2.23635e-05 199.844 1.78109 80.5281 275.328 102119 102122 -20.584 -2982.82 
110 2.32114e-05 199.854 1.78118 81.9074 275.259 102098 102110 -0.759912 -1687 
114 2.40594e-05 199.764 1.78038 83.1034 275.454 102125 102132 -7.66219 -486.532 
118 2.49073e-05 199.739 1.78015 84.1155 275.468 102117 102125 -1.21833 2043.13 
122 2.57552e-05 199.664 1.77948 85.4548 275.562 102113 102116 5.69538 -753.502 
126 2.66031e-05 199.622 1.77911 86.5633 275.612 102111 102115 -2.04297 -417.639 
130 2.7451e-05 199.854 1.78118 87.141 275.353 102133 102114 -9.20183 -2864.67 
134 2.82989e-05 199.826 1.78093 87.6078 275.394 102134 102143 -4.82672 3439.91 
138 2.91468e-05 199.654 1.7794 88.2541 275.611 102127 102133 4.66315 -302.543 
142 2.99947e-05 199.611 1.77901 88.6456 275.672 102127 102123 -15.2379 3661.05 
146 3.08426e-05 199.651 1.77937 89.1211 275.591 102118 102120 15.6165 -1620.44 
150 3.16905e-05 199.557 1.77853 89.4579 275.746 102127 102127 -14.4686 6304.37 
77 1.62162e-05 199.84 1.78105 67.5558 275.359 102128 102126 -7.85194 6551.49 
81 1.70641e-05 199.797 1.78067 69.7325 275.37 102110 102112 -10.9326 -570.911 
85 1.7912e-05 199.692 1.77973 71.7464 275.502 102105 102126 -28.1659 -450.825 
89 1.87599e-05 199.79 1.78061 73.905 275.368 102106 102104 -18.5416 -5746.05 
93 1.96078e-05 199.649 1.77935 75.725 275.656 102141 102126 -14.0552 536.745 
97 2.04557e-05 199.668 1.77952 77.2757 275.589 102125 102122 -20.2542 -3524.06 
101 2.13037e-05 199.684 1.77967 78.7893 275.58 102131 102133 -15.7133 -2682.54 
105 2.21516e-05 199.823 1.7809 80.3029 275.349 102116 102117 -16.688 -4871.39 
109 2.29995e-05 199.911 1.78168 81.4107 275.242 102121 102119 2.2526 -839.637 
113 2.38474e-05 199.791 1.78062 82.8493 275.413 102123 102113 -9.91463 5.21547 
117 2.46953e-05 199.738 1.78015 83.9698 275.471 102118 102115 -11.6927 1813.09 
121 2.55432e-05 199.68 1.77963 85.2185 275.596 102135 102127 -9.1374 -1127.24 
125 2.63911e-05 199.708 1.77987 86.3843 275.545 102130 102123 -6.32968 270.217 
129 2.7239e-05 199.747 1.78022 87.0961 275.447 102113 102124 -8.04264 -495.142 
133 2.80869e-05 199.887 1.78147 87.508 275.274 102121 102126 6.93426 3287.01 
137 2.89348e-05 199.621 1.7791 88.2186 275.588 102101 102113 -12.8444 -3149.48 
