# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0.00888 0 0 0
2 0.00892 0 0 0
3 1728.34 101392 -571.998 -115.532
4 1727.99 101393 572.049 82.7633
100000 4
1 0.01148 0 0 0
2 0.0115 0 0 0
3 1728.27 101396 -570.466 -643.202
4 1728.13 101396 570.37 644.999
