# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0.0004 0 0 0
2 0.0004 0 0 0
3 33.8806 101415 -179.696 4506.12
4 33.9015 101411 175.321 -1537.88
100000 4
1 0.00042 0 0 0
2 0.00044 0 0 0
3 33.8985 101474 -172.692 3471.23
4 33.906 101466 174.379 -1981.9
