ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78783 19.1972 272.753 101547 
5 2.22939e-07 1.78867 17.1191 272.663 101560 
9 4.21107e-07 1.79126 15.6983 272.472 101636 
13 6.19275e-07 1.78956 14.6467 272.422 101522 
17 8.17443e-07 1.78935 13.3502 272.522 101547 
21 1.01561e-06 1.78167 11.4923 273.521 101482 
25 1.21378e-06 1.78369 10.2451 273.335 101527 
2 7.4313e-08 1.78904 18.4131 272.889 101666 
6 2.72481e-07 1.79011 16.6077 272.349 101526 
10 4.70649e-07 1.78906 15.8252 272.586 101554 
14 6.68817e-07 1.78882 13.8042 272.498 101508 
18 8.66985e-07 1.79046 13.2875 272.706 101679 
22 1.06515e-06 1.78092 11.2283 273.749 101523 
3 1.23855e-07 1.78787 17.9104 272.684 101523 
7 3.22023e-07 1.78809 16.5709 272.496 101465 
11 5.20191e-07 1.78919 15.6364 272.51 101534 
15 7.18359e-07 1.79098 13.906 272.338 101571 
19 9.16527e-07 1.78626 12.6788 273.051 101568 
23 1.11469e-06 1.7831 10.9867 273.183 101438 
4 1.73397e-07 1.78723 17.5246 272.671 101482 
8 3.71565e-07 1.78714 16.3633 272.61 101454 
12 5.69733e-07 1.78974 15.3505 272.292 101483 
16 7.67901e-07 1.78843 13.7522 272.488 101482 
20 9.66069e-07 1.78435 11.9147 273.566 101651 
24 1.16424e-06 1.78198 10.6619 273.179 101373 
26 1.26332e-06 1.78141 9.80107 273.759 101555 
30 1.46149e-06 1.78197 8.49605 273.461 101477 
34 1.65966e-06 1.78218 6.40679 273.683 101571 
38 1.85782e-06 1.78073 5.17607 274.094 101641 
42 2.05599e-06 1.77852 2.87301 274.001 101480 
46 2.25416e-06 1.78186 2.19591 273.768 101584 
50 2.45233e-06 1.78071 0.765574 273.79 101527 
29 1.41195e-06 1.78209 8.60677 273.561 101520 
33 1.61012e-06 1.78381 6.78756 273.423 101567 
37 1.80828e-06 1.77874 5.26039 273.878 101447 
41 2.00645e-06 1.77924 3.45001 274.035 101534 
45 2.20462e-06 1.77914 2.57328 274.162 101575 
49 2.40279e-06 1.77929 1.46848 273.677 101404 
27 1.31286e-06 1.78172 9.27822 273.78 101581 
31 1.51103e-06 1.78281 8.12969 273.616 101582 
35 1.7092e-06 1.78219 5.7305 273.379 101459 
39 1.90737e-06 1.77715 4.22665 274.114 101444 
43 2.10553e-06 1.78027 3.17075 274.093 101614 
47 2.3037e-06 1.77864 1.82212 273.987 101482 
28 1.3624e-06 1.78275 8.82848 273.702 101610 
32 1.56057e-06 1.78314 7.52335 273.387 101515 
36 1.75874e-06 1.78303 5.27901 273.236 101453 
40 1.95691e-06 1.77943 4.11256 274.188 101601 
44 2.15508e-06 1.77885 3.25636 273.893 101459 
48 2.35324e-06 1.77808 1.67598 273.822 101389 
51 2.50187e-06 1.77876 0.747954 273.951 101475 
55 2.70004e-06 1.78426 -0.439976 273.743 101712 
59 2.89821e-06 1.78054 -2.28039 273.657 101468 
63 3.09637e-06 1.77798 -3.76413 273.836 101388 
67 3.29454e-06 1.78415 -5.11702 273.599 101652 
71 3.49271e-06 1.78302 -6.65666 273.599 101587 
75 3.69088e-06 1.78392 -7.5563 273.374 101555 
53 2.60096e-06 1.77839 0.533165 274.051 101491 
57 2.79912e-06 1.7817 -1.18791 273.874 101614 
61 2.99729e-06 1.78178 -2.50859 273.594 101515 
65 3.19546e-06 1.78226 -4.21425 273.547 101525 
69 3.39363e-06 1.78197 -5.42672 273.437 101468 
73 3.5918e-06 1.78325 -7.31065 273.525 101573 
54 2.6505e-06 1.78048 0.0708196 273.867 101542 
58 2.84867e-06 1.7777 -1.65125 273.882 101389 
62 3.04683e-06 1.78106 -2.94228 273.768 101538 
66 3.245e-06 1.7836 -4.74476 273.603 101622 
70 3.44317e-06 1.78335 -6.33092 273.434 101545 
74 3.64134e-06 1.78239 -7.49432 273.583 101545 
52 2.55141e-06 1.77913 0.557708 273.982 101508 
56 2.74958e-06 1.78023 -0.879204 273.932 101552 
60 2.94775e-06 1.78195 -2.52961 273.477 101481 
64 3.14592e-06 1.7789 -3.52343 273.915 101470 
68 3.34408e-06 1.78601 -5.15864 273.488 101716 
72 3.54225e-06 1.78312 -6.76 273.414 101525 
76 3.74042e-06 1.7829 -7.76553 273.458 101529 
80 3.93859e-06 1.78234 -10.0944 273.662 101572 
84 4.13676e-06 1.78011 -11.3818 273.873 101523 
88 4.33492e-06 1.78051 -13.7801 273.978 101585 
92 4.53309e-06 1.78349 -15.4878 273.411 101544 
96 4.73126e-06 1.78471 -17.1374 273.368 101598 
100 4.92943e-06 1.7844 -19.3649 273.273 101545 
77 3.78996e-06 1.7803 -8.59623 273.875 101535 
81 3.98813e-06 1.78073 -10.4548 273.58 101450 
85 4.1863e-06 1.78153 -12.493 273.872 101604 
89 4.38447e-06 1.78306 -14.352 273.688 101623 
93 4.58263e-06 1.78408 -15.5031 273.31 101541 
97 4.7808e-06 1.78701 -17.5172 273.229 101677 
78 3.8395e-06 1.78157 -9.37522 273.522 101477 
82 4.03767e-06 1.78012 -10.8155 274.093 101606 
86 4.23584e-06 1.7825 -12.5391 273.681 101588 
90 4.43401e-06 1.78437 -14.5927 273.369 101579 
94 4.63218e-06 1.78326 -16.2302 273.43 101538 
98 4.83034e-06 1.78774 -18.1378 273.004 101635 
79 3.88905e-06 1.78184 -10.2201 273.474 101474 
83 4.08721e-06 1.77933 -11.3305 273.764 101439 
87 4.28538e-06 1.77769 -13.1325 273.948 101413 
91 4.48355e-06 1.78591 -15.3193 273.009 101533 
95 4.68172e-06 1.78624 -16.5171 273.233 101635 
99 4.87989e-06 1.78314 -18.5236 273.33 101494 
