ITEM: TIMESTEP
200000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78436 19.642 273.5 101627 
5 2.22939e-07 1.77995 18.2211 273.962 101547 
9 4.21107e-07 1.7847 17.3239 273.55 101665 
13 6.19275e-07 1.78489 15.8669 273.521 101665 
17 8.17443e-07 1.78236 13.9216 273.588 101546 
21 1.01561e-06 1.78389 12.3641 273.509 101604 
25 1.21378e-06 1.78072 11.0024 273.86 101553 
2 7.4313e-08 1.78002 19.4452 273.906 101530 
6 2.72481e-07 1.78167 17.6312 273.859 101607 
10 4.70649e-07 1.78524 17.1821 273.594 101712 
14 6.68817e-07 1.78451 15.832 273.38 101591 
18 8.66985e-07 1.78621 12.9498 272.986 101541 
22 1.06515e-06 1.78026 12.0223 273.535 101407 
3 1.23855e-07 1.78205 19.229 273.775 101597 
7 3.22023e-07 1.78132 16.9821 274.178 101705 
11 5.20191e-07 1.78317 16.7122 273.796 101669 
15 7.18359e-07 1.7847 15.4415 273.326 101582 
19 9.16527e-07 1.78434 12.9155 273.331 101563 
23 1.11469e-06 1.7818 12.0479 273.736 101569 
4 1.73397e-07 1.78018 18.7287 274.176 101640 
8 3.71565e-07 1.78083 16.5616 273.914 101580 
12 5.69733e-07 1.78292 16.1287 273.823 101665 
16 7.67901e-07 1.78308 14.5237 273.53 101565 
20 9.66069e-07 1.78268 12.8532 273.719 101612 
24 1.16424e-06 1.78143 11.3959 273.822 101579 
26 1.26332e-06 1.78108 10.662 274.027 101636 
30 1.46149e-06 1.77878 8.96199 273.868 101445 
34 1.65966e-06 1.78067 7.3164 274.004 101604 
38 1.85782e-06 1.77855 5.74328 274.016 101487 
42 2.05599e-06 1.78138 4.38823 273.604 101496 
46 2.25416e-06 1.78143 3.1801 274.006 101648 
50 2.45233e-06 1.78023 1.07549 273.983 101571 
29 1.41195e-06 1.7806 9.40977 273.872 101551 
33 1.61012e-06 1.78147 7.35394 274.271 101748 
37 1.80828e-06 1.7797 6.01587 273.842 101488 
41 2.00645e-06 1.78325 4.8143 273.481 101557 
45 2.20462e-06 1.78252 3.39306 273.85 101652 
49 2.40279e-06 1.77628 1.44701 274.198 101425 
27 1.31286e-06 1.78107 10.3154 274.022 101633 
31 1.51103e-06 1.77785 8.53597 274.095 101477 
35 1.7092e-06 1.77908 6.37758 274.152 101568 
39 1.90737e-06 1.78025 5.46079 274.189 101649 
43 2.10553e-06 1.78034 4.21809 274.005 101586 
47 2.3037e-06 1.78003 2.63893 274.179 101632 
28 1.3624e-06 1.78148 10.0066 273.903 101613 
32 1.56057e-06 1.78135 7.72695 273.976 101632 
36 1.75874e-06 1.78087 6.44099 273.675 101493 
40 1.95691e-06 1.78153 5.1182 273.845 101593 
44 2.15508e-06 1.77951 3.98772 273.791 101459 
48 2.35324e-06 1.77815 2.14779 274.265 101557 
51 2.50187e-06 1.77844 0.349171 274.109 101516 
55 2.70004e-06 1.78151 -0.836754 273.873 101603 
59 2.89821e-06 1.7814 -2.62031 273.713 101538 
63 3.09637e-06 1.78554 -5.02973 273.266 101607 
67 3.29454e-06 1.78628 -6.1377 272.694 101437 
71 3.49271e-06 1.78447 -8.36045 273.104 101486 
75 3.69088e-06 1.78692 -9.91681 273.034 101600 
53 2.60096e-06 1.78452 -0.344598 273.398 101598 
57 2.79912e-06 1.78233 -1.45187 273.702 101586 
61 2.99729e-06 1.78466 -4.05004 273.437 101621 
65 3.19546e-06 1.78684 -5.60138 273.15 101638 
69 3.39363e-06 1.78823 -7.40139 273.181 101729 
73 3.5918e-06 1.7857 -9.5305 273.031 101529 
54 2.6505e-06 1.7833 -0.552789 273.508 101570 
58 2.84867e-06 1.78252 -1.91034 273.625 101568 
62 3.04683e-06 1.78453 -5.12377 273.423 101608 
66 3.245e-06 1.78571 -5.85575 273.232 101604 
70 3.44317e-06 1.78508 -7.92784 273.049 101500 
74 3.64134e-06 1.78673 -9.62681 272.991 101572 
52 2.55141e-06 1.78104 0.227924 274.091 101657 
56 2.74958e-06 1.78191 -1.15531 273.621 101532 
60 2.94775e-06 1.78159 -3.39217 273.645 101523 
64 3.14592e-06 1.78811 -5.31316 272.818 101586 
68 3.34408e-06 1.78585 -6.67372 273.042 101541 
72 3.54225e-06 1.78641 -8.71654 273.139 101609 
76 3.74042e-06 1.78934 -10.1528 272.928 101698 
80 3.93859e-06 1.78616 -11.8285 272.871 101496 
84 4.13676e-06 1.78472 -13.0196 273.313 101578 
88 4.33492e-06 1.78663 -14.3412 273.309 101685 
92 4.53309e-06 1.78291 -15.364 273.502 101545 
96 4.73126e-06 1.78406 -17.6653 273.482 101603 
100 4.92943e-06 1.78739 -19.5005 272.979 101606 
77 3.78996e-06 1.78941 -10.5091 272.834 101666 
81 3.98813e-06 1.78656 -12.2879 272.824 101501 
85 4.1863e-06 1.78504 -13.439 273.363 101615 
89 4.38447e-06 1.78732 -14.7312 273.383 101752 
93 4.58263e-06 1.78095 -16.2155 273.801 101545 
97 4.7808e-06 1.78369 -18.0048 273.473 101579 
78 3.8395e-06 1.78768 -11.1554 272.531 101455 
82 4.03767e-06 1.7889 -13.0096 272.92 101670 
86 4.23584e-06 1.78358 -13.6109 273.543 101599 
90 4.43401e-06 1.78563 -15.2444 273.351 101644 
94 4.63218e-06 1.77946 -16.1614 273.979 101526 
98 4.83034e-06 1.78318 -18.1775 273.453 101543 
79 3.88905e-06 1.78546 -11.0498 272.78 101422 
83 4.08721e-06 1.78409 -12.9233 273.227 101510 
87 4.28538e-06 1.78547 -13.7023 273.355 101636 
91 4.48355e-06 1.78432 -15.126 273.344 101567 
95 4.68172e-06 1.78032 -16.9922 273.887 101541 
99 4.87989e-06 1.78476 -18.6739 273.114 101507 
