ITEM: TIMESTEP
550000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78266 19.2921 272.87 101296 
5 2.22939e-07 1.7863 18.1135 272.719 101447 
9 4.21107e-07 1.78553 15.6709 272.63 101371 
13 6.19275e-07 1.78391 13.8765 272.96 101401 
17 8.17443e-07 1.78155 12.0916 273.197 101355 
21 1.01561e-06 1.7833 10.6975 272.83 101318 
25 1.21378e-06 1.78403 8.81881 272.799 101348 
2 7.4313e-08 1.78159 18.8975 272.954 101267 
6 2.72481e-07 1.78539 16.9564 272.778 101418 
10 4.70649e-07 1.78523 15.0216 272.881 101446 
14 6.68817e-07 1.78446 13.5605 272.705 101337 
18 8.66985e-07 1.78203 12.0667 273.014 101314 
22 1.06515e-06 1.78239 10.4436 272.727 101228 
3 1.23855e-07 1.78314 18.9185 272.896 101333 
7 3.22023e-07 1.78247 16.2711 272.863 101283 
11 5.20191e-07 1.78397 14.5774 272.926 101392 
15 7.18359e-07 1.78402 13.1238 272.923 101393 
19 9.16527e-07 1.7835 11.2973 272.864 101342 
23 1.11469e-06 1.78584 10.4721 272.315 101271 
4 1.73397e-07 1.78579 18.5088 272.684 101405 
8 3.71565e-07 1.78065 16.379 273.099 101267 
12 5.69733e-07 1.78323 14.2832 273.082 101408 
16 7.67901e-07 1.78363 12.3986 273.052 101419 
20 9.66069e-07 1.78372 11.3712 272.636 101270 
24 1.16424e-06 1.78415 10.0037 272.562 101267 
26 1.26332e-06 1.78832 8.7217 272.567 101505 
30 1.46149e-06 1.7829 7.48917 273.029 101369 
34 1.65966e-06 1.78432 6.76954 272.974 101429 
38 1.85782e-06 1.78297 5.32844 272.89 101321 
42 2.05599e-06 1.78571 3.71067 272.499 101332 
46 2.25416e-06 1.78769 2.19116 272.318 101377 
50 2.45233e-06 1.7842 0.0892478 272.646 101301 
29 1.41195e-06 1.78438 7.63166 272.86 101390 
33 1.61012e-06 1.78251 7.20509 273.07 101362 
37 1.80828e-06 1.78247 5.43748 272.818 101266 
41 2.00645e-06 1.78676 4.07967 272.372 101344 
45 2.20462e-06 1.78346 2.08019 272.839 101331 
49 2.40279e-06 1.78294 0.416576 272.609 101215 
27 1.31286e-06 1.78332 8.26238 272.764 101294 
31 1.51103e-06 1.78439 7.30776 272.764 101355 
35 1.7092e-06 1.78294 6.47451 273.029 101372 
39 1.90737e-06 1.78473 4.80528 272.581 101306 
43 2.10553e-06 1.78215 3.22374 272.729 101215 
47 2.3037e-06 1.78448 0.892867 272.687 101332 
28 1.3624e-06 1.78119 8.19884 272.889 101220 
32 1.56057e-06 1.7827 7.0306 273.011 101351 
36 1.75874e-06 1.78426 5.87977 272.844 101378 
40 1.95691e-06 1.78534 4.28462 272.531 101322 
44 2.15508e-06 1.78226 2.56835 272.721 101219 
48 2.35324e-06 1.78484 0.932908 272.871 101421 
51 2.50187e-06 1.78258 -0.419771 272.609 101195 
55 2.70004e-06 1.78283 -2.34738 273.022 101362 
59 2.89821e-06 1.7786 -3.8288 273.868 101435 
63 3.09637e-06 1.78165 -5.54699 273.146 101342 
67 3.29454e-06 1.78074 -7.56164 273.192 101307 
71 3.49271e-06 1.78241 -8.67198 272.916 101299 
75 3.69088e-06 1.78242 -10.4253 273.222 101413 
53 2.60096e-06 1.78234 -1.5757 273.103 101365 
57 2.79912e-06 1.77959 -2.8995 273.238 101258 
61 2.99729e-06 1.78162 -4.4622 273.36 101419 
65 3.19546e-06 1.78281 -6.08891 273.015 101359 
69 3.39363e-06 1.78226 -8.0714 273.419 101477 
73 3.5918e-06 1.7796 -9.73953 273.407 101322 
54 2.6505e-06 1.78444 -2.33093 272.961 101431 
58 2.84867e-06 1.7814 -3.30499 273.22 101354 
62 3.04683e-06 1.78078 -4.87084 273.244 101328 
66 3.245e-06 1.78244 -6.75414 272.923 101304 
70 3.44317e-06 1.78188 -8.38764 273.443 101465 
74 3.64134e-06 1.78325 -10.2574 273.056 101399 
52 2.55141e-06 1.78306 -0.879459 272.843 101309 
56 2.74958e-06 1.78143 -2.57143 273.432 101435 
60 2.94775e-06 1.77983 -4.11839 273.684 101437 
64 3.14592e-06 1.78339 -5.89938 272.866 101336 
68 3.34408e-06 1.78118 -7.82916 273.4 101409 
72 3.54225e-06 1.77968 -8.93253 273.181 101242 
76 3.74042e-06 1.78049 -10.809 272.96 101207 
80 3.93859e-06 1.78716 -12.2346 272.802 101527 
84 4.13676e-06 1.78301 -13.3676 273.265 101463 
88 4.33492e-06 1.78205 -14.0933 273.031 101321 
92 4.53309e-06 1.77848 -16.0796 273.235 101194 
96 4.73126e-06 1.78311 -18.2628 272.91 101337 
100 4.92943e-06 1.78198 -18.8153 273.08 101336 
77 3.78996e-06 1.78396 -11.0907 272.597 101269 
81 3.98813e-06 1.78496 -12.4431 272.748 101382 
85 4.1863e-06 1.78294 -13.4987 272.974 101351 
89 4.38447e-06 1.78451 -14.5509 272.961 101435 
93 4.58263e-06 1.78251 -16.3558 273.032 101348 
97 4.7808e-06 1.78665 -18.3028 272.695 101458 
78 3.8395e-06 1.7844 -11.3258 272.682 101325 
82 4.03767e-06 1.78401 -12.849 272.753 101330 
86 4.23584e-06 1.78205 -13.3566 273.046 101327 
90 4.43401e-06 1.78304 -15.2089 273.073 101393 
94 4.63218e-06 1.78322 -16.6858 272.704 101267 
98 4.83034e-06 1.78549 -18.2715 272.344 101262 
79 3.88905e-06 1.78385 -11.973 272.906 101377 
83 4.08721e-06 1.78144 -13.1521 273.246 101367 
87 4.28538e-06 1.78121 -13.7575 273.276 101365 
91 4.48355e-06 1.77988 -15.5872 273.256 101282 
95 4.68172e-06 1.78028 -17.4461 273.144 101263 
99 4.87989e-06 1.78471 -18.6142 272.656 101333 
