ITEM: TIMESTEP
325000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_2[1] f_2[2] f_2[3] 
1 2.4771e-08 150.188 21.4091 29.2802 
5 2.22939e-07 186.333 -26.5063 9.58159 
9 4.21107e-07 148.291 -89.7771 -12.8888 
13 6.19275e-07 163.781 101.457 -9.56781 
17 8.17443e-07 171.085 -26.471 -18.3232 
21 1.01561e-06 161.189 80.1281 -0.179691 
25 1.21378e-06 171.389 10.3313 -33.8184 
2 7.4313e-08 163.275 -54.9458 -6.72637 
6 2.72481e-07 154.97 -1.30225 -0.369357 
10 4.70649e-07 128.516 44.0856 -4.67475 
14 6.68817e-07 163.655 31.394 -18.5343 
18 8.66985e-07 159.17 -42.8005 14.4676 
22 1.06515e-06 139.88 -41.2489 8.71511 
3 1.23855e-07 183.418 -62.993 -27.1024 
7 3.22023e-07 110.813 27.1599 0.51146 
11 5.20191e-07 162.105 136.687 -15.2346 
15 7.18359e-07 156.582 47.3451 -1.23548 
19 9.16527e-07 186.054 -24.0503 -15.2785 
23 1.11469e-06 177.329 4.6608 -14.2313 
4 1.73397e-07 155.861 13.4341 14.5017 
8 3.71565e-07 108.502 -32.1085 -2.32162 
12 5.69733e-07 102.076 92.3221 10.8995 
16 7.67901e-07 149.534 108.525 -9.79349 
20 9.66069e-07 200.237 111.261 -0.0252101 
24 1.16424e-06 131.375 -8.1899 20.849 
26 1.26332e-06 147.641 -21.2796 -10.1889 
30 1.46149e-06 164.297 -64.6606 -2.92068 
34 1.65966e-06 175.7 -47.5952 -13.9925 
38 1.85782e-06 154.309 89.3255 -32.4961 
42 2.05599e-06 171.637 51.9145 17.2976 
46 2.25416e-06 182.091 104.504 -25.6341 
50 2.45233e-06 142.999 -46.1779 1.02473 
29 1.41195e-06 147.813 15.4037 19.3773 
33 1.61012e-06 157.224 -19.575 -3.63003 
37 1.80828e-06 181.258 41.9307 26.9292 
41 2.00645e-06 194.285 45.3306 48.6538 
45 2.20462e-06 159.569 19.4797 -1.98468 
49 2.40279e-06 163.793 -45.9765 -4.44234 
27 1.31286e-06 146.721 102.966 -6.00375 
31 1.51103e-06 130.588 -1.59813 -0.0172274 
35 1.7092e-06 158.077 -104.942 1.11685 
39 1.90737e-06 140.437 78.1813 -27.0191 
43 2.10553e-06 191.02 58.2153 12.8295 
47 2.3037e-06 179.575 -53.964 -7.23022 
28 1.3624e-06 168.686 105.455 1.01936 
32 1.56057e-06 156.878 155.394 -45.0711 
36 1.75874e-06 143.403 -23.4894 3.16185 
40 1.95691e-06 132.977 108.996 4.56149 
44 2.15508e-06 131.937 112.046 7.96714 
48 2.35324e-06 177.147 -44.6576 -3.41821 
51 2.50187e-06 144.69 -54.2946 -12.8029 
55 2.70004e-06 138.592 33.7965 -13.4613 
59 2.89821e-06 174.45 44.9291 15.0374 
63 3.09637e-06 121.404 -20.7151 10.1901 
67 3.29454e-06 191.719 -47.5466 13.4176 
71 3.49271e-06 171.764 71.5948 25.8528 
75 3.69088e-06 159.29 -0.727617 -38.0527 
53 2.60096e-06 160.965 -119.511 -34.6267 
57 2.79912e-06 153.754 -81.261 -2.75264 
61 2.99729e-06 183.389 68.809 -11.5168 
65 3.19546e-06 147.985 36.1947 9.75059 
69 3.39363e-06 180.878 12.2489 -7.28696 
73 3.5918e-06 161.297 -33.1574 -19.2695 
54 2.6505e-06 163.042 -104.072 -42.1886 
58 2.84867e-06 158.077 -10.6157 7.29055 
62 3.04683e-06 198.748 -90.0737 27.6711 
66 3.245e-06 127.044 -79.996 17.799 
70 3.44317e-06 209.196 -52.7897 11.7018 
74 3.64134e-06 150.578 -7.57214 6.7349 
52 2.55141e-06 161.412 64.8547 12.1373 
56 2.74958e-06 159.951 -55.4071 50.2865 
60 2.94775e-06 171.115 -2.76872 4.7418 
64 3.14592e-06 186.292 67.5993 9.56943 
68 3.34408e-06 138.242 -45.9653 39.5258 
72 3.54225e-06 148.681 -52.9547 -3.423 
76 3.74042e-06 150.148 -16.2131 12.1167 
80 3.93859e-06 146.239 -171.358 -20.9372 
84 4.13676e-06 192.757 -105.82 -8.22482 
88 4.33492e-06 156.751 86.771 -19.0841 
92 4.53309e-06 196.467 23.0739 18.401 
96 4.73126e-06 114.375 162.801 2.3084 
100 4.92943e-06 181.701 83.691 -1.56912 
77 3.78996e-06 146.572 -89.953 -41.9198 
81 3.98813e-06 142.078 -105.608 12.4433 
85 4.1863e-06 172.702 -15.4352 -10.4943 
89 4.38447e-06 126.594 53.6233 38.9588 
93 4.58263e-06 145.51 53.293 8.98663 
97 4.7808e-06 168.97 -10.6396 -20.983 
78 3.8395e-06 146.927 -18.52 7.67593 
82 4.03767e-06 161.591 -17.7044 -14.1645 
86 4.23584e-06 154.566 -73.0563 -18.0561 
90 4.43401e-06 208.073 84.2904 -50.2973 
94 4.63218e-06 106.45 47.9028 -20.513 
98 4.83034e-06 156.407 -1.46272 2.80983 
79 3.88905e-06 162.102 29.0253 11.597 
83 4.08721e-06 129.668 -49.7565 -22.0471 
87 4.28538e-06 161.159 -10.6021 -1.94907 
91 4.48355e-06 169.933 109.039 -1.41508 
95 4.68172e-06 163.172 104.098 -16.7738 
99 4.87989e-06 156.235 4.20834 3.72769 
