ITEM: TIMESTEP
350000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78172 19.4339 273.179 101358 
5 2.22939e-07 1.78676 18.4661 272.974 101568 
9 4.21107e-07 1.78519 16.4961 273.042 101504 
13 6.19275e-07 1.78309 15.0512 273.227 101454 
17 8.17443e-07 1.78304 13.75 273.064 101390 
21 1.01561e-06 1.78479 11.207 273.443 101630 
25 1.21378e-06 1.78095 8.79614 273.94 101596 
2 7.4313e-08 1.78241 19.0744 273.369 101467 
6 2.72481e-07 1.78634 17.5057 273.145 101608 
10 4.70649e-07 1.78432 16.5033 273.13 101487 
14 6.68817e-07 1.78093 14.8348 273.382 101388 
18 8.66985e-07 1.78422 12.7202 273.349 101563 
22 1.06515e-06 1.7823 10.7523 273.468 101498 
3 1.23855e-07 1.78555 18.6869 273.072 101536 
7 3.22023e-07 1.78256 17.2039 273.483 101518 
11 5.20191e-07 1.78295 15.9096 273.353 101492 
15 7.18359e-07 1.78509 14.2318 273.139 101535 
19 9.16527e-07 1.78144 12.2385 273.566 101485 
23 1.11469e-06 1.78047 9.90987 273.511 101409 
4 1.73397e-07 1.78724 18.4341 273.241 101695 
8 3.71565e-07 1.78578 16.962 273.089 101555 
12 5.69733e-07 1.7833 15.6083 273.248 101473 
16 7.67901e-07 1.78641 13.9452 273.013 101563 
20 9.66069e-07 1.78198 12.0669 273.518 101499 
24 1.16424e-06 1.77998 9.41567 273.725 101461 
26 1.26332e-06 1.78008 8.50048 274.037 101582 
30 1.46149e-06 1.78011 7.20103 273.606 101425 
34 1.65966e-06 1.7782 5.40867 274.202 101536 
38 1.85782e-06 1.78095 4.02369 273.717 101513 
42 2.05599e-06 1.77878 3.53374 273.846 101437 
46 2.25416e-06 1.78362 1.66644 273.386 101543 
50 2.45233e-06 1.783 -0.658395 273.371 101502 
29 1.41195e-06 1.77974 7.00786 273.964 101536 
33 1.61012e-06 1.77847 5.5577 273.927 101450 
37 1.80828e-06 1.7793 4.50639 273.794 101448 
41 2.00645e-06 1.77899 3.69611 273.81 101436 
45 2.20462e-06 1.78423 2.11427 273.301 101545 
49 2.40279e-06 1.78291 0.180225 273.468 101533 
27 1.31286e-06 1.78141 8.27587 273.696 101532 
31 1.51103e-06 1.78146 6.76904 273.641 101514 
35 1.7092e-06 1.78102 5.0479 273.968 101610 
39 1.90737e-06 1.78292 3.85263 273.61 101586 
43 2.10553e-06 1.7813 2.8716 273.798 101563 
47 2.3037e-06 1.78387 1.10802 273.521 101607 
28 1.3624e-06 1.77891 7.79294 273.915 101471 
32 1.56057e-06 1.7813 6.06042 273.893 101599 
36 1.75874e-06 1.7804 4.72671 273.618 101445 
40 1.95691e-06 1.78092 3.80863 273.749 101524 
44 2.15508e-06 1.78215 2.52989 273.556 101522 
48 2.35324e-06 1.78285 0.609807 273.501 101541 
51 2.50187e-06 1.78535 -0.557042 273.093 101532 
55 2.70004e-06 1.78486 -2.40993 272.99 101466 
59 2.89821e-06 1.78129 -3.76967 273.594 101487 
63 3.09637e-06 1.78322 -5.12482 273.302 101489 
67 3.29454e-06 1.78215 -6.61897 273.262 101413 
71 3.49271e-06 1.78325 -7.91851 273.282 101483 
75 3.69088e-06 1.78288 -9.9289 273.4 101506 
53 2.60096e-06 1.78388 -1.65679 273.406 101565 
57 2.79912e-06 1.78346 -2.6473 273.297 101500 
61 2.99729e-06 1.78148 -4.60188 273.24 101367 
65 3.19546e-06 1.78413 -5.95018 273.267 101528 
69 3.39363e-06 1.78417 -7.11401 273.194 101503 
73 3.5918e-06 1.78797 -9.14464 272.773 101562 
54 2.6505e-06 1.78544 -1.81978 273.136 101554 
58 2.84867e-06 1.78387 -3.40344 273.61 101640 
62 3.04683e-06 1.78107 -4.57869 273.527 101450 
66 3.245e-06 1.78369 -6.3465 273.179 101470 
70 3.44317e-06 1.78332 -7.24861 273.058 101404 
74 3.64134e-06 1.78394 -9.4851 273.301 101529 
52 2.55141e-06 1.7843 -1.10227 273.129 101486 
56 2.74958e-06 1.78499 -2.22366 273.319 101596 
60 2.94775e-06 1.78353 -4.0191 273.338 101520 
64 3.14592e-06 1.78118 -5.6449 273.243 101351 
68 3.34408e-06 1.78289 -6.74749 273.471 101533 
72 3.54225e-06 1.78633 -8.39303 272.938 101530 
76 3.74042e-06 1.7815 -10.2357 273.406 101429 
80 3.93859e-06 1.78314 -11.3036 273.252 101465 
84 4.13676e-06 1.78169 -13.1487 273.554 101495 
88 4.33492e-06 1.78754 -14.4208 272.901 101586 
92 4.53309e-06 1.78633 -16.0248 272.885 101511 
96 4.73126e-06 1.78464 -17.7969 272.995 101455 
100 4.92943e-06 1.78503 -19.4156 273.119 101524 
77 3.78996e-06 1.78185 -10.3668 273.258 101394 
81 3.98813e-06 1.78149 -11.6167 273.168 101340 
85 4.1863e-06 1.78034 -13.6945 273.673 101462 
89 4.38447e-06 1.78582 -15.1661 272.731 101424 
93 4.58263e-06 1.78659 -16.1274 272.962 101554 
97 4.7808e-06 1.78882 -18.1482 272.516 101514 
78 3.8395e-06 1.78301 -11.0338 273.009 101368 
82 4.03767e-06 1.78068 -12.1646 273.488 101413 
86 4.23584e-06 1.78373 -13.8751 273.131 101454 
90 4.43401e-06 1.78616 -15.4724 272.948 101524 
94 4.63218e-06 1.78491 -16.2802 273.094 101508 
98 4.83034e-06 1.78444 -18.7555 273.1 101483 
79 3.88905e-06 1.78333 -11.4314 273.053 101403 
83 4.08721e-06 1.77995 -12.4604 273.573 101403 
87 4.28538e-06 1.78621 -14.6804 273.059 101568 
91 4.48355e-06 1.78628 -15.4881 272.965 101537 
95 4.68172e-06 1.78368 -17.1721 273.252 101496 
99 4.87989e-06 1.78583 -18.662 272.84 101465 
