# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
100000 4
1 0.00806 0 0 0
2 0.00804 0 0 0
3 1728.77 101422 -178.322 435.356
4 1728.67 101423 178.283 -410.25
150000 4
1 0.00957 0 0 0
2 0.00957 0 0 0
3 1728.97 101433 -179.398 287.624
4 1728.86 101433 179.382 -242.794
